,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,348.87,0.00,582.80,0.00,64.34,0.00,846.52,0.00,0.00,0.00,0.00,0.00,0.00
February,317.31,0.00,520.12,0.00,22.74,0.00,243.00,43.04,0.00,0.00,0.00,0.00,0.00
March,364.02,0.00,585.89,0.00,35.84,0.00,63.38,436.37,0.00,0.00,0.00,0.00,0.00
April,318.78,0.00,540.53,0.00,93.39,0.00,0.00,1415.75,0.00,0.00,0.00,0.00,0.00
May,364.02,0.00,585.89,0.00,158.14,0.00,0.00,2463.06,0.00,0.00,0.00,0.00,0.00
June,348.45,0.00,563.97,0.00,168.38,0.00,0.00,2609.70,0.00,0.00,0.00,0.00,0.00
July,334.35,0.00,562.45,0.00,130.38,0.00,0.00,1931.61,0.00,0.00,0.00,0.00,0.00
August,364.02,0.00,585.89,0.00,130.47,0.00,0.00,1915.09,0.00,0.00,0.00,0.00,0.00
September,333.93,0.00,543.61,0.00,119.13,0.00,0.00,1757.48,0.00,0.00,0.00,0.00,0.00
October,348.87,0.00,582.80,0.00,58.09,0.00,0.00,833.41,0.00,0.00,0.00,0.00,0.00
November,348.45,0.00,563.97,0.00,16.94,0.00,84.24,143.66,0.00,0.00,0.00,0.00,0.00
December,334.35,0.00,562.45,0.00,46.51,0.00,613.45,2.32,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,4125.40,,6780.38,,1044.35,,1850.59,13551.48,,,,,
Minimum of Months,317.31,0.00,520.12,0.00,16.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,364.02,0.00,585.89,0.00,168.38,0.00,846.52,2609.70,0.00,0.00,0.00,0.00,0.00
