Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.140690E+02,0.000000E+00,4.717138E-02,0.000000E+00,1.444781E+03,0.000000E+00,7.455674E-02,0.000000E+00,1.653313E+03,0.000000E+00,8.531836E-02,0.000000E+00,1.344424E+03,0.000000E+00,6.937713E-02,0.000000E+00,4.805788E+03,0.000000E+00,2.479626E-01,0.000000E+00
00:30:00,1.051699E+03,0.000000E+00,5.427225E-02,0.000000E+00,1.578688E+03,0.000000E+00,8.146540E-02,0.000000E+00,1.786508E+03,0.000000E+00,9.219007E-02,0.000000E+00,1.476371E+03,0.000000E+00,7.618482E-02,0.000000E+00,5.104264E+03,0.000000E+00,2.633478E-01,0.000000E+00
00:45:00,1.187878E+03,0.000000E+00,6.129818E-02,0.000000E+00,1.712763E+03,0.000000E+00,8.838275E-02,0.000000E+00,1.919486E+03,0.000000E+00,9.905066E-02,0.000000E+00,1.609007E+03,0.000000E+00,8.302808E-02,0.000000E+00,5.395986E+03,0.000000E+00,2.783824E-01,0.000000E+00
01:00:00,1.322288E+03,0.000000E+00,6.823267E-02,0.000000E+00,1.846814E+03,0.000000E+00,9.529881E-02,0.000000E+00,2.052109E+03,0.000000E+00,1.058928E-01,0.000000E+00,1.742016E+03,0.000000E+00,8.989049E-02,0.000000E+00,5.679257E+03,0.000000E+00,2.929777E-01,0.000000E+00
01:15:00,1.380782E+03,0.000000E+00,7.125058E-02,0.000000E+00,1.905607E+03,0.000000E+00,9.833264E-02,0.000000E+00,2.109283E+03,0.000000E+00,1.088431E-01,0.000000E+00,1.801255E+03,0.000000E+00,9.294738E-02,0.000000E+00,5.766545E+03,0.000000E+00,2.974652E-01,0.000000E+00
01:30:00,1.437151E+03,0.000000E+00,7.415861E-02,0.000000E+00,1.964639E+03,0.000000E+00,1.013786E-01,0.000000E+00,2.166598E+03,0.000000E+00,1.118005E-01,0.000000E+00,1.860853E+03,0.000000E+00,9.602265E-02,0.000000E+00,5.855757E+03,0.000000E+00,3.020559E-01,0.000000E+00
01:45:00,1.493062E+03,0.000000E+00,7.704251E-02,0.000000E+00,2.023838E+03,0.000000E+00,1.044332E-01,0.000000E+00,2.223994E+03,0.000000E+00,1.147619E-01,0.000000E+00,1.920722E+03,0.000000E+00,9.911179E-02,0.000000E+00,5.947461E+03,0.000000E+00,3.067821E-01,0.000000E+00
02:00:00,1.549391E+03,0.000000E+00,7.994832E-02,0.000000E+00,2.083130E+03,0.000000E+00,1.074925E-01,0.000000E+00,2.281407E+03,0.000000E+00,1.177242E-01,0.000000E+00,1.980773E+03,0.000000E+00,1.022103E-01,0.000000E+00,6.043232E+03,0.000000E+00,3.117246E-01,0.000000E+00
02:15:00,1.607020E+03,0.000000E+00,8.292162E-02,0.000000E+00,2.142653E+03,0.000000E+00,1.105638E-01,0.000000E+00,2.338984E+03,0.000000E+00,1.206950E-01,0.000000E+00,2.041129E+03,0.000000E+00,1.053246E-01,0.000000E+00,6.140954E+03,0.000000E+00,3.167781E-01,0.000000E+00
02:30:00,1.667230E+03,0.000000E+00,8.602845E-02,0.000000E+00,2.202265E+03,0.000000E+00,1.136396E-01,0.000000E+00,2.396596E+03,0.000000E+00,1.236677E-01,0.000000E+00,2.101637E+03,0.000000E+00,1.084467E-01,0.000000E+00,6.239496E+03,0.000000E+00,3.218721E-01,0.000000E+00
02:45:00,1.728671E+03,0.000000E+00,8.919944E-02,0.000000E+00,2.261944E+03,0.000000E+00,1.167190E-01,0.000000E+00,2.454231E+03,0.000000E+00,1.266415E-01,0.000000E+00,2.162265E+03,0.000000E+00,1.115751E-01,0.000000E+00,6.338851E+03,0.000000E+00,3.270048E-01,0.000000E+00
03:00:00,1.790854E+03,0.000000E+00,9.240844E-02,0.000000E+00,2.321671E+03,0.000000E+00,1.198009E-01,0.000000E+00,2.511878E+03,0.000000E+00,1.296161E-01,0.000000E+00,2.222988E+03,0.000000E+00,1.147084E-01,0.000000E+00,6.438988E+03,0.000000E+00,3.321758E-01,0.000000E+00
03:15:00,1.853504E+03,0.000000E+00,9.564145E-02,0.000000E+00,2.381305E+03,0.000000E+00,1.228780E-01,0.000000E+00,2.569401E+03,0.000000E+00,1.325842E-01,0.000000E+00,2.283659E+03,0.000000E+00,1.178390E-01,0.000000E+00,6.539801E+03,0.000000E+00,3.373804E-01,0.000000E+00
03:30:00,1.916556E+03,0.000000E+00,9.889511E-02,0.000000E+00,2.440899E+03,0.000000E+00,1.259530E-01,0.000000E+00,2.626853E+03,0.000000E+00,1.355487E-01,0.000000E+00,2.344324E+03,0.000000E+00,1.209693E-01,0.000000E+00,6.641341E+03,0.000000E+00,3.426220E-01,0.000000E+00
03:45:00,1.979864E+03,0.000000E+00,1.021619E-01,0.000000E+00,2.500394E+03,0.000000E+00,1.290229E-01,0.000000E+00,2.684183E+03,0.000000E+00,1.385068E-01,0.000000E+00,2.404922E+03,0.000000E+00,1.240961E-01,0.000000E+00,6.743482E+03,0.000000E+00,3.478935E-01,0.000000E+00
04:00:00,2.043299E+03,0.000000E+00,1.054351E-01,0.000000E+00,2.559741E+03,0.000000E+00,1.320850E-01,0.000000E+00,2.741347E+03,0.000000E+00,1.414562E-01,0.000000E+00,2.465396E+03,0.000000E+00,1.272164E-01,0.000000E+00,6.846107E+03,0.000000E+00,3.531892E-01,0.000000E+00
04:15:00,2.106784E+03,0.000000E+00,1.087108E-01,0.000000E+00,2.618922E+03,0.000000E+00,1.351385E-01,0.000000E+00,2.798329E+03,0.000000E+00,1.443962E-01,0.000000E+00,2.525723E+03,0.000000E+00,1.303291E-01,0.000000E+00,6.949172E+03,0.000000E+00,3.585067E-01,0.000000E+00
04:30:00,2.170251E+03,0.000000E+00,1.119854E-01,0.000000E+00,2.677917E+03,0.000000E+00,1.381822E-01,0.000000E+00,2.855114E+03,0.000000E+00,1.473259E-01,0.000000E+00,2.585880E+03,0.000000E+00,1.334328E-01,0.000000E+00,7.052622E+03,0.000000E+00,3.638432E-01,0.000000E+00
04:45:00,2.233646E+03,0.000000E+00,1.152563E-01,0.000000E+00,2.736710E+03,0.000000E+00,1.412155E-01,0.000000E+00,2.911688E+03,0.000000E+00,1.502446E-01,0.000000E+00,2.645847E+03,0.000000E+00,1.365267E-01,0.000000E+00,7.156415E+03,0.000000E+00,3.691972E-01,0.000000E+00
05:00:00,2.296920E+03,0.000000E+00,1.185208E-01,0.000000E+00,2.795285E+03,0.000000E+00,1.442374E-01,0.000000E+00,2.968038E+03,0.000000E+00,1.531517E-01,0.000000E+00,2.705606E+03,0.000000E+00,1.396097E-01,0.000000E+00,7.260507E+03,0.000000E+00,3.745666E-01,0.000000E+00
05:15:00,2.359951E+03,0.000000E+00,1.217728E-01,0.000000E+00,2.853548E+03,0.000000E+00,1.472433E-01,0.000000E+00,3.024073E+03,0.000000E+00,1.560425E-01,0.000000E+00,2.765059E+03,0.000000E+00,1.426771E-01,0.000000E+00,7.364453E+03,0.000000E+00,3.799284E-01,0.000000E+00
05:30:00,2.422700E+03,0.000000E+00,1.250103E-01,0.000000E+00,2.911487E+03,0.000000E+00,1.502325E-01,0.000000E+00,3.079779E+03,0.000000E+00,1.589164E-01,0.000000E+00,2.824192E+03,0.000000E+00,1.457278E-01,0.000000E+00,7.468207E+03,0.000000E+00,3.852805E-01,0.000000E+00
05:45:00,2.485133E+03,0.000000E+00,1.282314E-01,0.000000E+00,2.969087E+03,0.000000E+00,1.532042E-01,0.000000E+00,3.135145E+03,0.000000E+00,1.617727E-01,0.000000E+00,2.882988E+03,0.000000E+00,1.487612E-01,0.000000E+00,7.571722E+03,0.000000E+00,3.906202E-01,0.000000E+00
