Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.239187E+03,0.000000E+00,1.155523E-01,0.000000E+00,2.714776E+03,0.000000E+00,1.400950E-01,0.000000E+00,2.921732E+03,0.000000E+00,1.507748E-01,0.000000E+00,2.651940E+03,0.000000E+00,1.368523E-01,0.000000E+00,7.033664E+03,0.000000E+00,3.629416E-01,0.000000E+00
00:30:00,2.363602E+03,0.000000E+00,1.219705E-01,0.000000E+00,2.833715E+03,0.000000E+00,1.462303E-01,0.000000E+00,3.036811E+03,0.000000E+00,1.567107E-01,0.000000E+00,2.771191E+03,0.000000E+00,1.430038E-01,0.000000E+00,7.322772E+03,0.000000E+00,3.778501E-01,0.000000E+00
00:45:00,2.487087E+03,0.000000E+00,1.283407E-01,0.000000E+00,2.951767E+03,0.000000E+00,1.523198E-01,0.000000E+00,3.151010E+03,0.000000E+00,1.626012E-01,0.000000E+00,2.889577E+03,0.000000E+00,1.491106E-01,0.000000E+00,7.606393E+03,0.000000E+00,3.924753E-01,0.000000E+00
01:00:00,2.609569E+03,0.000000E+00,1.346591E-01,0.000000E+00,3.068868E+03,0.000000E+00,1.583602E-01,0.000000E+00,3.264261E+03,0.000000E+00,1.684427E-01,0.000000E+00,3.007029E+03,0.000000E+00,1.551692E-01,0.000000E+00,7.884463E+03,0.000000E+00,4.068139E-01,0.000000E+00
01:15:00,2.658267E+03,0.000000E+00,1.371719E-01,0.000000E+00,3.112761E+03,0.000000E+00,1.606250E-01,0.000000E+00,3.305381E+03,0.000000E+00,1.705643E-01,0.000000E+00,3.051631E+03,0.000000E+00,1.574706E-01,0.000000E+00,7.964885E+03,0.000000E+00,4.109621E-01,0.000000E+00
01:30:00,2.706799E+03,0.000000E+00,1.396758E-01,0.000000E+00,3.156560E+03,0.000000E+00,1.628847E-01,0.000000E+00,3.346410E+03,0.000000E+00,1.726810E-01,0.000000E+00,3.096159E+03,0.000000E+00,1.597679E-01,0.000000E+00,8.045640E+03,0.000000E+00,4.151264E-01,0.000000E+00
01:45:00,2.755135E+03,0.000000E+00,1.421696E-01,0.000000E+00,3.200245E+03,0.000000E+00,1.651384E-01,0.000000E+00,3.387304E+03,0.000000E+00,1.747905E-01,0.000000E+00,3.140587E+03,0.000000E+00,1.620600E-01,0.000000E+00,8.126703E+03,0.000000E+00,4.193065E-01,0.000000E+00
02:00:00,2.803236E+03,0.000000E+00,1.446512E-01,0.000000E+00,3.243786E+03,0.000000E+00,1.673847E-01,0.000000E+00,3.428004E+03,0.000000E+00,1.768901E-01,0.000000E+00,3.184884E+03,0.000000E+00,1.643453E-01,0.000000E+00,8.208015E+03,0.000000E+00,4.234999E-01,0.000000E+00
02:15:00,2.851276E+03,0.000000E+00,1.471298E-01,0.000000E+00,3.287368E+03,0.000000E+00,1.696332E-01,0.000000E+00,3.468765E+03,0.000000E+00,1.789927E-01,0.000000E+00,3.229233E+03,0.000000E+00,1.666333E-01,0.000000E+00,8.289503E+03,0.000000E+00,4.277030E-01,0.000000E+00
02:30:00,2.899226E+03,0.000000E+00,1.496037E-01,0.000000E+00,3.330971E+03,0.000000E+00,1.718828E-01,0.000000E+00,3.509591E+03,0.000000E+00,1.810990E-01,0.000000E+00,3.273610E+03,0.000000E+00,1.689230E-01,0.000000E+00,8.371117E+03,0.000000E+00,4.319131E-01,0.000000E+00
