Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.057698E+02,0.000000E+00,4.674777E-02,0.000000E+00,1.190385E+03,0.000000E+00,6.143652E-02,0.000000E+00,1.309176E+03,0.000000E+00,6.756756E-02,0.000000E+00,1.177736E+03,0.000000E+00,6.078367E-02,0.000000E+00,3.981410E+03,0.000000E+00,2.054727E-01,0.000000E+00
00:30:00,9.592092E+02,0.000000E+00,4.950492E-02,0.000000E+00,1.249318E+03,0.000000E+00,6.447678E-02,0.000000E+00,1.368962E+03,0.000000E+00,7.065178E-02,0.000000E+00,1.232949E+03,0.000000E+00,6.363192E-02,0.000000E+00,4.203912E+03,0.000000E+00,2.169533E-01,0.000000E+00
00:45:00,1.017182E+03,0.000000E+00,5.249592E-02,0.000000E+00,1.312896E+03,0.000000E+00,6.775672E-02,0.000000E+00,1.433395E+03,0.000000E+00,7.397581E-02,0.000000E+00,1.292779E+03,0.000000E+00,6.671842E-02,0.000000E+00,4.450996E+03,0.000000E+00,2.297008E-01,0.000000E+00
01:00:00,1.079613E+03,0.000000E+00,5.571691E-02,0.000000E+00,1.381181E+03,0.000000E+00,7.127950E-02,0.000000E+00,1.502529E+03,0.000000E+00,7.754233E-02,0.000000E+00,1.357310E+03,0.000000E+00,7.004745E-02,0.000000E+00,4.722882E+03,0.000000E+00,2.437262E-01,0.000000E+00
01:15:00,1.138758E+03,0.000000E+00,5.876882E-02,0.000000E+00,1.439957E+03,0.000000E+00,7.431252E-02,0.000000E+00,1.560727E+03,0.000000E+00,8.054546E-02,0.000000E+00,1.416140E+03,0.000000E+00,7.308325E-02,0.000000E+00,4.895547E+03,0.000000E+00,2.526289E-01,0.000000E+00
01:30:00,1.192362E+03,0.000000E+00,6.153458E-02,0.000000E+00,1.494194E+03,0.000000E+00,7.711116E-02,0.000000E+00,1.614215E+03,0.000000E+00,8.330541E-02,0.000000E+00,1.470484E+03,0.000000E+00,7.588745E-02,0.000000E+00,5.063860E+03,0.000000E+00,2.613055E-01,0.000000E+00
01:45:00,1.239940E+03,0.000000E+00,6.398918E-02,0.000000E+00,1.543823E+03,0.000000E+00,7.967187E-02,0.000000E+00,1.662946E+03,0.000000E+00,8.581966E-02,0.000000E+00,1.520281E+03,0.000000E+00,7.845684E-02,0.000000E+00,5.227891E+03,0.000000E+00,2.697597E-01,0.000000E+00
02:00:00,1.281258E+03,0.000000E+00,6.612046E-02,0.000000E+00,1.588713E+03,0.000000E+00,8.198787E-02,0.000000E+00,1.706809E+03,0.000000E+00,8.808266E-02,0.000000E+00,1.565272E+03,0.000000E+00,8.077809E-02,0.000000E+00,5.387592E+03,0.000000E+00,2.779885E-01,0.000000E+00
02:15:00,1.330926E+03,0.000000E+00,6.868250E-02,0.000000E+00,1.642134E+03,0.000000E+00,8.474407E-02,0.000000E+00,1.759119E+03,0.000000E+00,9.078144E-02,0.000000E+00,1.618968E+03,0.000000E+00,8.354850E-02,0.000000E+00,5.547939E+03,0.000000E+00,2.862485E-01,0.000000E+00
02:30:00,1.389652E+03,0.000000E+00,7.171199E-02,0.000000E+00,1.704293E+03,0.000000E+00,8.795102E-02,0.000000E+00,1.820091E+03,0.000000E+00,9.392706E-02,0.000000E+00,1.681507E+03,0.000000E+00,8.677504E-02,0.000000E+00,5.708782E+03,0.000000E+00,2.945318E-01,0.000000E+00
02:45:00,1.458282E+03,0.000000E+00,7.525263E-02,0.000000E+00,1.775279E+03,0.000000E+00,9.161323E-02,0.000000E+00,1.889825E+03,0.000000E+00,9.752459E-02,0.000000E+00,1.752967E+03,0.000000E+00,9.046176E-02,0.000000E+00,5.869917E+03,0.000000E+00,3.028282E-01,0.000000E+00
