Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.690608E+03,0.000000E+00,8.725353E-02,0.000000E+00,1.966300E+03,0.000000E+00,1.014822E-01,0.000000E+00,2.069564E+03,0.000000E+00,1.068118E-01,0.000000E+00,1.968253E+03,0.000000E+00,1.015830E-01,0.000000E+00,4.876610E+03,0.000000E+00,2.516749E-01,0.000000E+00
00:30:00,1.750674E+03,0.000000E+00,9.035189E-02,0.000000E+00,2.034775E+03,0.000000E+00,1.050144E-01,0.000000E+00,2.138431E+03,0.000000E+00,1.103640E-01,0.000000E+00,2.033415E+03,0.000000E+00,1.049442E-01,0.000000E+00,5.079969E+03,0.000000E+00,2.621694E-01,0.000000E+00
00:45:00,1.815363E+03,0.000000E+00,9.368878E-02,0.000000E+00,2.107776E+03,0.000000E+00,1.087800E-01,0.000000E+00,2.211788E+03,0.000000E+00,1.141480E-01,0.000000E+00,2.103144E+03,0.000000E+00,1.085410E-01,0.000000E+00,5.308180E+03,0.000000E+00,2.739451E-01,0.000000E+00
01:00:00,1.884729E+03,0.000000E+00,9.726700E-02,0.000000E+00,2.185358E+03,0.000000E+00,1.127820E-01,0.000000E+00,2.289689E+03,0.000000E+00,1.181664E-01,0.000000E+00,2.177505E+03,0.000000E+00,1.123768E-01,0.000000E+00,5.561555E+03,0.000000E+00,2.870178E-01,0.000000E+00
01:15:00,1.938097E+03,0.000000E+00,1.000207E-01,0.000000E+00,2.236061E+03,0.000000E+00,1.153983E-01,0.000000E+00,2.338791E+03,0.000000E+00,1.207000E-01,0.000000E+00,2.228406E+03,0.000000E+00,1.150032E-01,0.000000E+00,5.728751E+03,0.000000E+00,2.956404E-01,0.000000E+00
01:30:00,1.986440E+03,0.000000E+00,1.025150E-01,0.000000E+00,2.281779E+03,0.000000E+00,1.177569E-01,0.000000E+00,2.382942E+03,0.000000E+00,1.229777E-01,0.000000E+00,2.274307E+03,0.000000E+00,1.173713E-01,0.000000E+00,5.891873E+03,0.000000E+00,3.040519E-01,0.000000E+00
01:45:00,2.029688E+03,0.000000E+00,1.047461E-01,0.000000E+00,2.322450E+03,0.000000E+00,1.198550E-01,0.000000E+00,2.422079E+03,0.000000E+00,1.249966E-01,0.000000E+00,2.315164E+03,0.000000E+00,1.194790E-01,0.000000E+00,6.051008E+03,0.000000E+00,3.122568E-01,0.000000E+00
02:00:00,2.067741E+03,0.000000E+00,1.067091E-01,0.000000E+00,2.357985E+03,0.000000E+00,1.216879E-01,0.000000E+00,2.456117E+03,0.000000E+00,1.267521E-01,0.000000E+00,2.350768E+03,0.000000E+00,1.213154E-01,0.000000E+00,6.206203E+03,0.000000E+00,3.202574E-01,0.000000E+00
02:15:00,2.114036E+03,0.000000E+00,1.090972E-01,0.000000E+00,2.401842E+03,0.000000E+00,1.239501E-01,0.000000E+00,2.498457E+03,0.000000E+00,1.289361E-01,0.000000E+00,2.394847E+03,0.000000E+00,1.235891E-01,0.000000E+00,6.362449E+03,0.000000E+00,3.283115E-01,0.000000E+00
02:30:00,2.168926E+03,0.000000E+00,1.119287E-01,0.000000E+00,2.454394E+03,0.000000E+00,1.266609E-01,0.000000E+00,2.549459E+03,0.000000E+00,1.315668E-01,0.000000E+00,2.447715E+03,0.000000E+00,1.263162E-01,0.000000E+00,6.519709E+03,0.000000E+00,3.364169E-01,0.000000E+00
02:45:00,2.232510E+03,0.000000E+00,1.152086E-01,0.000000E+00,2.515795E+03,0.000000E+00,1.298282E-01,0.000000E+00,2.609277E+03,0.000000E+00,1.346523E-01,0.000000E+00,2.509519E+03,0.000000E+00,1.295042E-01,0.000000E+00,6.677919E+03,0.000000E+00,3.445714E-01,0.000000E+00
03:00:00,2.305010E+03,0.000000E+00,1.189484E-01,0.000000E+00,2.586180E+03,0.000000E+00,1.334587E-01,0.000000E+00,2.678039E+03,0.000000E+00,1.381991E-01,0.000000E+00,2.580403E+03,0.000000E+00,1.331606E-01,0.000000E+00,6.836989E+03,0.000000E+00,3.527704E-01,0.000000E+00
03:15:00,2.369246E+03,0.000000E+00,1.222615E-01,0.000000E+00,2.648420E+03,0.000000E+00,1.366688E-01,0.000000E+00,2.738671E+03,0.000000E+00,1.413262E-01,0.000000E+00,2.643009E+03,0.000000E+00,1.363896E-01,0.000000E+00,6.966422E+03,0.000000E+00,3.594406E-01,0.000000E+00
03:30:00,2.425002E+03,0.000000E+00,1.251371E-01,0.000000E+00,2.702253E+03,0.000000E+00,1.394450E-01,0.000000E+00,2.790923E+03,0.000000E+00,1.440207E-01,0.000000E+00,2.697046E+03,0.000000E+00,1.391764E-01,0.000000E+00,7.066100E+03,0.000000E+00,3.645764E-01,0.000000E+00
03:45:00,2.472279E+03,0.000000E+00,1.275752E-01,0.000000E+00,2.747591E+03,0.000000E+00,1.417830E-01,0.000000E+00,2.834705E+03,0.000000E+00,1.462784E-01,0.000000E+00,2.742416E+03,0.000000E+00,1.415160E-01,0.000000E+00,7.135921E+03,0.000000E+00,3.681728E-01,0.000000E+00
04:00:00,2.511012E+03,0.000000E+00,1.295728E-01,0.000000E+00,2.784414E+03,0.000000E+00,1.436819E-01,0.000000E+00,2.870000E+03,0.000000E+00,1.480983E-01,0.000000E+00,2.779101E+03,0.000000E+00,1.434077E-01,0.000000E+00,7.175785E+03,0.000000E+00,3.702248E-01,0.000000E+00
