Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.247461E+02,0.000000E+00,4.772250E-02,0.000000E+00,1.468565E+03,0.000000E+00,7.578435E-02,0.000000E+00,1.682663E+03,0.000000E+00,8.683322E-02,0.000000E+00,1.365277E+03,0.000000E+00,7.045350E-02,0.000000E+00,4.780862E+03,0.000000E+00,2.466826E-01,0.000000E+00
00:30:00,1.067063E+03,0.000000E+00,5.506529E-02,0.000000E+00,1.607232E+03,0.000000E+00,8.293871E-02,0.000000E+00,1.820724E+03,0.000000E+00,9.395611E-02,0.000000E+00,1.501879E+03,0.000000E+00,7.750144E-02,0.000000E+00,5.095437E+03,0.000000E+00,2.629001E-01,0.000000E+00
00:45:00,1.207941E+03,0.000000E+00,6.233369E-02,0.000000E+00,1.746141E+03,0.000000E+00,9.010552E-02,0.000000E+00,1.958625E+03,0.000000E+00,1.010707E-01,0.000000E+00,1.639261E+03,0.000000E+00,8.458959E-02,0.000000E+00,5.403483E+03,0.000000E+00,2.787790E-01,0.000000E+00
01:00:00,1.347036E+03,0.000000E+00,6.950994E-02,0.000000E+00,1.885087E+03,0.000000E+00,9.727418E-02,0.000000E+00,2.096216E+03,0.000000E+00,1.081693E-01,0.000000E+00,1.777098E+03,0.000000E+00,9.170120E-02,0.000000E+00,5.703693E+03,0.000000E+00,2.942510E-01,0.000000E+00
01:15:00,1.407933E+03,0.000000E+00,7.265190E-02,0.000000E+00,1.946514E+03,0.000000E+00,1.004440E-01,0.000000E+00,2.156032E+03,0.000000E+00,1.112559E-01,0.000000E+00,1.838977E+03,0.000000E+00,9.489435E-02,0.000000E+00,5.799786E+03,0.000000E+00,2.991971E-01,0.000000E+00
01:30:00,1.466194E+03,0.000000E+00,7.565756E-02,0.000000E+00,2.008188E+03,0.000000E+00,1.036263E-01,0.000000E+00,2.215993E+03,0.000000E+00,1.143498E-01,0.000000E+00,1.901230E+03,0.000000E+00,9.810664E-02,0.000000E+00,5.897648E+03,0.000000E+00,3.042345E-01,0.000000E+00
01:45:00,1.524816E+03,0.000000E+00,7.868124E-02,0.000000E+00,2.070036E+03,0.000000E+00,1.068176E-01,0.000000E+00,2.276037E+03,0.000000E+00,1.174479E-01,0.000000E+00,1.963764E+03,0.000000E+00,1.013333E-01,0.000000E+00,5.997983E+03,0.000000E+00,3.094052E-01,0.000000E+00
02:00:00,1.583962E+03,0.000000E+00,8.173256E-02,0.000000E+00,2.131977E+03,0.000000E+00,1.100136E-01,0.000000E+00,2.336096E+03,0.000000E+00,1.205468E-01,0.000000E+00,2.026483E+03,0.000000E+00,1.045696E-01,0.000000E+00,6.102123E+03,0.000000E+00,3.147778E-01,0.000000E+00
02:15:00,1.644605E+03,0.000000E+00,8.486145E-02,0.000000E+00,2.194154E+03,0.000000E+00,1.132218E-01,0.000000E+00,2.396321E+03,0.000000E+00,1.236543E-01,0.000000E+00,2.089518E+03,0.000000E+00,1.078220E-01,0.000000E+00,6.209636E+03,0.000000E+00,3.203316E-01,0.000000E+00
02:30:00,1.708430E+03,0.000000E+00,8.815488E-02,0.000000E+00,2.256419E+03,0.000000E+00,1.164346E-01,0.000000E+00,2.456580E+03,0.000000E+00,1.267635E-01,0.000000E+00,2.152704E+03,0.000000E+00,1.110824E-01,0.000000E+00,6.318293E+03,0.000000E+00,3.259465E-01,0.000000E+00
02:45:00,1.772761E+03,0.000000E+00,9.147519E-02,0.000000E+00,2.318745E+03,0.000000E+00,1.196506E-01,0.000000E+00,2.516856E+03,0.000000E+00,1.298737E-01,0.000000E+00,2.216009E+03,0.000000E+00,1.143489E-01,0.000000E+00,6.427976E+03,0.000000E+00,3.316116E-01,0.000000E+00
03:00:00,1.837840E+03,0.000000E+00,9.483364E-02,0.000000E+00,2.381115E+03,0.000000E+00,1.228689E-01,0.000000E+00,2.577136E+03,0.000000E+00,1.329841E-01,0.000000E+00,2.279406E+03,0.000000E+00,1.176202E-01,0.000000E+00,6.538613E+03,0.000000E+00,3.373241E-01,0.000000E+00
03:15:00,1.903364E+03,0.000000E+00,9.821491E-02,0.000000E+00,2.443381E+03,0.000000E+00,1.260818E-01,0.000000E+00,2.637279E+03,0.000000E+00,1.360874E-01,0.000000E+00,2.342740E+03,0.000000E+00,1.208883E-01,0.000000E+00,6.650064E+03,0.000000E+00,3.430774E-01,0.000000E+00
03:30:00,1.969270E+03,0.000000E+00,1.016158E-01,0.000000E+00,2.505594E+03,0.000000E+00,1.292920E-01,0.000000E+00,2.697339E+03,0.000000E+00,1.391865E-01,0.000000E+00,2.406060E+03,0.000000E+00,1.241556E-01,0.000000E+00,6.762378E+03,0.000000E+00,3.488746E-01,0.000000E+00
03:45:00,2.035410E+03,0.000000E+00,1.050287E-01,0.000000E+00,2.567697E+03,0.000000E+00,1.324965E-01,0.000000E+00,2.757263E+03,0.000000E+00,1.422785E-01,0.000000E+00,2.469300E+03,0.000000E+00,1.274187E-01,0.000000E+00,6.875398E+03,0.000000E+00,3.547074E-01,0.000000E+00
04:00:00,2.101656E+03,0.000000E+00,1.084470E-01,0.000000E+00,2.629638E+03,0.000000E+00,1.356925E-01,0.000000E+00,2.817006E+03,0.000000E+00,1.453610E-01,0.000000E+00,2.532404E+03,0.000000E+00,1.306748E-01,0.000000E+00,6.988980E+03,0.000000E+00,3.605683E-01,0.000000E+00
04:15:00,2.167928E+03,0.000000E+00,1.118665E-01,0.000000E+00,2.691397E+03,0.000000E+00,1.388789E-01,0.000000E+00,2.876549E+03,0.000000E+00,1.484332E-01,0.000000E+00,2.595346E+03,0.000000E+00,1.339223E-01,0.000000E+00,7.103066E+03,0.000000E+00,3.664544E-01,0.000000E+00
