Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.316916E+03,0.000000E+00,1.195639E-01,0.000000E+00,2.803037E+03,0.000000E+00,1.446501E-01,0.000000E+00,3.017531E+03,0.000000E+00,1.557189E-01,0.000000E+00,2.738365E+03,0.000000E+00,1.413127E-01,0.000000E+00,7.352143E+03,0.000000E+00,3.793778E-01,0.000000E+00
00:30:00,2.445359E+03,0.000000E+00,1.261899E-01,0.000000E+00,2.925823E+03,0.000000E+00,1.509839E-01,0.000000E+00,3.136294E+03,0.000000E+00,1.618449E-01,0.000000E+00,2.861473E+03,0.000000E+00,1.476632E-01,0.000000E+00,7.654335E+03,0.000000E+00,3.949614E-01,0.000000E+00
00:45:00,2.572881E+03,0.000000E+00,1.327684E-01,0.000000E+00,3.047735E+03,0.000000E+00,1.572726E-01,0.000000E+00,3.254171E+03,0.000000E+00,1.679251E-01,0.000000E+00,2.983729E+03,0.000000E+00,1.539697E-01,0.000000E+00,7.951301E+03,0.000000E+00,4.102752E-01,0.000000E+00
01:00:00,2.699404E+03,0.000000E+00,1.392953E-01,0.000000E+00,3.168704E+03,0.000000E+00,1.635126E-01,0.000000E+00,3.371074E+03,0.000000E+00,1.739550E-01,0.000000E+00,3.105064E+03,0.000000E+00,1.602286E-01,0.000000E+00,8.242970E+03,0.000000E+00,4.253154E-01,0.000000E+00
01:15:00,2.749990E+03,0.000000E+00,1.419056E-01,0.000000E+00,3.214348E+03,0.000000E+00,1.658678E-01,0.000000E+00,3.413704E+03,0.000000E+00,1.761545E-01,0.000000E+00,3.151445E+03,0.000000E+00,1.626219E-01,0.000000E+00,8.330463E+03,0.000000E+00,4.298286E-01,0.000000E+00
01:30:00,2.800396E+03,0.000000E+00,1.445063E-01,0.000000E+00,3.259889E+03,0.000000E+00,1.682174E-01,0.000000E+00,3.456243E+03,0.000000E+00,1.783489E-01,0.000000E+00,3.197745E+03,0.000000E+00,1.650106E-01,0.000000E+00,8.418331E+03,0.000000E+00,4.343599E-01,0.000000E+00
01:45:00,2.850590E+03,0.000000E+00,1.470959E-01,0.000000E+00,3.305303E+03,0.000000E+00,1.705603E-01,0.000000E+00,3.498694E+03,0.000000E+00,1.805388E-01,0.000000E+00,3.243936E+03,0.000000E+00,1.673936E-01,0.000000E+00,8.506540E+03,0.000000E+00,4.389088E-01,0.000000E+00
02:00:00,2.900531E+03,0.000000E+00,1.496725E-01,0.000000E+00,3.350558E+03,0.000000E+00,1.728950E-01,0.000000E+00,3.541060E+03,0.000000E+00,1.827243E-01,0.000000E+00,3.289983E+03,0.000000E+00,1.697693E-01,0.000000E+00,8.595020E+03,0.000000E+00,4.434720E-01,0.000000E+00
02:15:00,2.950397E+03,0.000000E+00,1.522453E-01,0.000000E+00,3.395843E+03,0.000000E+00,1.752314E-01,0.000000E+00,3.583615E+03,0.000000E+00,1.849197E-01,0.000000E+00,3.336075E+03,0.000000E+00,1.721473E-01,0.000000E+00,8.683690E+03,0.000000E+00,4.480457E-01,0.000000E+00
02:30:00,3.000156E+03,0.000000E+00,1.548126E-01,0.000000E+00,3.441134E+03,0.000000E+00,1.775681E-01,0.000000E+00,3.626270E+03,0.000000E+00,1.871206E-01,0.000000E+00,3.382187E+03,0.000000E+00,1.745265E-01,0.000000E+00,8.772491E+03,0.000000E+00,4.526266E-01,0.000000E+00
