Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.534138E+03,0.000000E+00,7.916501E-02,0.000000E+00,1.866694E+03,0.000000E+00,9.632634E-02,0.000000E+00,2.005305E+03,0.000000E+00,1.034792E-01,0.000000E+00,1.823942E+03,0.000000E+00,9.412013E-02,0.000000E+00,5.052395E+03,0.000000E+00,2.606663E-01,0.000000E+00
00:30:00,1.619416E+03,0.000000E+00,8.356376E-02,0.000000E+00,1.948283E+03,0.000000E+00,1.005345E-01,0.000000E+00,2.084396E+03,0.000000E+00,1.075583E-01,0.000000E+00,1.905777E+03,0.000000E+00,9.834102E-02,0.000000E+00,5.269193E+03,0.000000E+00,2.718395E-01,0.000000E+00
00:45:00,1.703651E+03,0.000000E+00,8.790868E-02,0.000000E+00,2.028817E+03,0.000000E+00,1.046882E-01,0.000000E+00,2.162438E+03,0.000000E+00,1.115834E-01,0.000000E+00,1.986566E+03,0.000000E+00,1.025079E-01,0.000000E+00,5.478971E+03,0.000000E+00,2.826503E-01,0.000000E+00
01:00:00,1.786800E+03,0.000000E+00,9.219751E-02,0.000000E+00,2.108259E+03,0.000000E+00,1.087855E-01,0.000000E+00,2.239397E+03,0.000000E+00,1.155524E-01,0.000000E+00,2.066271E+03,0.000000E+00,1.066188E-01,0.000000E+00,5.681714E+03,0.000000E+00,2.930977E-01,0.000000E+00
01:15:00,1.816965E+03,0.000000E+00,9.375383E-02,0.000000E+00,2.135029E+03,0.000000E+00,1.101666E-01,0.000000E+00,2.264294E+03,0.000000E+00,1.168368E-01,0.000000E+00,2.093497E+03,0.000000E+00,1.080235E-01,0.000000E+00,5.723477E+03,0.000000E+00,2.952502E-01,0.000000E+00
01:30:00,1.847067E+03,0.000000E+00,9.530670E-02,0.000000E+00,2.161756E+03,0.000000E+00,1.115453E-01,0.000000E+00,2.289168E+03,0.000000E+00,1.181199E-01,0.000000E+00,2.120691E+03,0.000000E+00,1.094262E-01,0.000000E+00,5.765281E+03,0.000000E+00,2.974035E-01,0.000000E+00
01:45:00,1.877096E+03,0.000000E+00,9.685574E-02,0.000000E+00,2.188437E+03,0.000000E+00,1.129215E-01,0.000000E+00,2.314016E+03,0.000000E+00,1.194015E-01,0.000000E+00,2.147846E+03,0.000000E+00,1.108269E-01,0.000000E+00,5.807159E+03,0.000000E+00,2.995609E-01,0.000000E+00
02:00:00,1.907034E+03,0.000000E+00,9.840015E-02,0.000000E+00,2.215058E+03,0.000000E+00,1.142947E-01,0.000000E+00,2.338823E+03,0.000000E+00,1.206810E-01,0.000000E+00,2.174947E+03,0.000000E+00,1.122249E-01,0.000000E+00,5.849108E+03,0.000000E+00,3.017226E-01,0.000000E+00
02:15:00,1.936988E+03,0.000000E+00,9.994547E-02,0.000000E+00,2.241732E+03,0.000000E+00,1.156708E-01,0.000000E+00,2.363702E+03,0.000000E+00,1.219645E-01,0.000000E+00,2.202106E+03,0.000000E+00,1.136260E-01,0.000000E+00,5.891109E+03,0.000000E+00,3.038876E-01,0.000000E+00
02:30:00,1.966947E+03,0.000000E+00,1.014911E-01,0.000000E+00,2.268453E+03,0.000000E+00,1.170494E-01,0.000000E+00,2.388646E+03,0.000000E+00,1.232514E-01,0.000000E+00,2.229314E+03,0.000000E+00,1.150297E-01,0.000000E+00,5.933157E+03,0.000000E+00,3.060556E-01,0.000000E+00
