Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.710154E+03,0.000000E+00,1.398542E-01,0.000000E+00,2.943748E+03,0.000000E+00,1.519093E-01,0.000000E+00,3.439668E+03,0.000000E+00,1.775002E-01,0.000000E+00,3.162904E+03,0.000000E+00,1.632182E-01,0.000000E+00,7.027718E+03,0.000000E+00,3.626293E-01,0.000000E+00
00:30:00,2.795646E+03,0.000000E+00,1.442633E-01,0.000000E+00,3.017189E+03,0.000000E+00,1.556964E-01,0.000000E+00,3.511083E+03,0.000000E+00,1.811823E-01,0.000000E+00,3.250177E+03,0.000000E+00,1.677188E-01,0.000000E+00,7.258987E+03,0.000000E+00,3.745527E-01,0.000000E+00
00:45:00,2.880122E+03,0.000000E+00,1.486199E-01,0.000000E+00,3.089938E+03,0.000000E+00,1.594479E-01,0.000000E+00,3.581848E+03,0.000000E+00,1.848310E-01,0.000000E+00,3.336452E+03,0.000000E+00,1.721679E-01,0.000000E+00,7.483970E+03,0.000000E+00,3.861516E-01,0.000000E+00
01:00:00,2.963508E+03,0.000000E+00,1.529202E-01,0.000000E+00,3.161955E+03,0.000000E+00,1.631615E-01,0.000000E+00,3.651915E+03,0.000000E+00,1.884436E-01,0.000000E+00,3.421666E+03,0.000000E+00,1.765622E-01,0.000000E+00,7.702634E+03,0.000000E+00,3.974242E-01,0.000000E+00
01:15:00,2.989799E+03,0.000000E+00,1.542766E-01,0.000000E+00,3.182555E+03,0.000000E+00,1.642243E-01,0.000000E+00,3.670769E+03,0.000000E+00,1.894163E-01,0.000000E+00,3.446851E+03,0.000000E+00,1.778615E-01,0.000000E+00,7.749753E+03,0.000000E+00,3.998537E-01,0.000000E+00
01:30:00,3.016055E+03,0.000000E+00,1.556308E-01,0.000000E+00,3.203335E+03,0.000000E+00,1.652960E-01,0.000000E+00,3.689808E+03,0.000000E+00,1.903981E-01,0.000000E+00,3.472041E+03,0.000000E+00,1.791606E-01,0.000000E+00,7.797158E+03,0.000000E+00,4.022969E-01,0.000000E+00
01:45:00,3.042363E+03,0.000000E+00,1.569876E-01,0.000000E+00,3.224265E+03,0.000000E+00,1.663754E-01,0.000000E+00,3.709006E+03,0.000000E+00,1.913881E-01,0.000000E+00,3.497248E+03,0.000000E+00,1.804605E-01,0.000000E+00,7.844851E+03,0.000000E+00,4.047551E-01,0.000000E+00
02:00:00,3.068759E+03,0.000000E+00,1.583491E-01,0.000000E+00,3.245324E+03,0.000000E+00,1.674616E-01,0.000000E+00,3.728341E+03,0.000000E+00,1.923852E-01,0.000000E+00,3.522470E+03,0.000000E+00,1.817612E-01,0.000000E+00,7.892804E+03,0.000000E+00,4.072273E-01,0.000000E+00
02:15:00,3.095574E+03,0.000000E+00,1.597324E-01,0.000000E+00,3.266672E+03,0.000000E+00,1.685627E-01,0.000000E+00,3.747991E+03,0.000000E+00,1.933987E-01,0.000000E+00,3.547985E+03,0.000000E+00,1.830773E-01,0.000000E+00,7.941029E+03,0.000000E+00,4.097141E-01,0.000000E+00
02:30:00,3.122649E+03,0.000000E+00,1.611294E-01,0.000000E+00,3.288193E+03,0.000000E+00,1.696730E-01,0.000000E+00,3.767856E+03,0.000000E+00,1.944235E-01,0.000000E+00,3.573709E+03,0.000000E+00,1.844043E-01,0.000000E+00,7.989428E+03,0.000000E+00,4.122104E-01,0.000000E+00
