,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,603.18,0.00,1102.66,0.00,27.91,0.00,212.25,205.57,0.00,0.00,0.00,0.00,0.00
February,548.61,0.00,984.06,0.00,53.94,0.00,7.33,718.17,0.00,0.00,0.00,0.00,0.00
March,629.38,0.00,1108.50,0.00,157.03,0.00,0.00,2180.28,0.00,0.00,0.00,0.00,0.00
April,551.15,0.00,1022.67,0.00,267.45,0.00,0.00,4019.20,0.00,0.00,0.00,0.00,0.00
May,629.38,0.00,1108.50,0.00,382.43,0.00,0.00,5956.36,0.00,0.00,0.00,0.00,0.00
June,602.46,0.00,1067.02,0.00,389.57,0.00,0.00,6042.52,0.00,0.00,0.00,0.00,0.00
July,578.08,0.00,1064.15,0.00,297.50,0.00,0.00,4409.81,0.00,0.00,0.00,0.00,0.00
August,629.38,0.00,1108.50,0.00,301.92,0.00,0.00,4425.74,0.00,0.00,0.00,0.00,0.00
September,577.35,0.00,1028.51,0.00,286.12,0.00,0.00,4216.46,0.00,0.00,0.00,0.00,0.00
October,603.18,0.00,1102.66,0.00,199.30,0.00,0.00,2836.05,0.00,0.00,0.00,0.00,0.00
November,602.46,0.00,1067.02,0.00,87.55,0.00,0.00,1186.31,0.00,0.00,0.00,0.00,0.00
December,578.08,0.00,1064.15,0.00,28.63,0.00,110.63,326.75,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,7132.69,,12828.38,,2479.36,,330.21,36523.22,,,,,
Minimum of Months,548.61,0.00,984.06,0.00,27.91,0.00,0.00,205.57,0.00,0.00,0.00,0.00,0.00
Maximum of Months,629.38,0.00,1108.50,0.00,389.57,0.00,212.25,6042.52,0.00,0.00,0.00,0.00,0.00
