Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.600938E+03,0.000000E+00,8.261254E-02,0.000000E+00,1.946435E+03,0.000000E+00,1.004416E-01,0.000000E+00,2.090894E+03,0.000000E+00,1.078963E-01,0.000000E+00,1.901611E+03,0.000000E+00,9.812848E-02,0.000000E+00,5.148302E+03,0.000000E+00,2.656235E-01,0.000000E+00
00:30:00,1.689901E+03,0.000000E+00,8.720142E-02,0.000000E+00,2.031541E+03,0.000000E+00,1.048312E-01,0.000000E+00,2.173361E+03,0.000000E+00,1.121496E-01,0.000000E+00,1.986971E+03,0.000000E+00,1.025312E-01,0.000000E+00,5.368059E+03,0.000000E+00,2.769507E-01,0.000000E+00
00:45:00,1.777834E+03,0.000000E+00,9.173711E-02,0.000000E+00,2.115610E+03,0.000000E+00,1.091673E-01,0.000000E+00,2.254801E+03,0.000000E+00,1.163499E-01,0.000000E+00,2.071305E+03,0.000000E+00,1.068810E-01,0.000000E+00,5.580858E+03,0.000000E+00,2.879187E-01,0.000000E+00
01:00:00,1.864690E+03,0.000000E+00,9.621720E-02,0.000000E+00,2.198604E+03,0.000000E+00,1.134479E-01,0.000000E+00,2.335174E+03,0.000000E+00,1.204951E-01,0.000000E+00,2.154572E+03,0.000000E+00,1.111757E-01,0.000000E+00,5.786681E+03,0.000000E+00,2.985264E-01,0.000000E+00
01:15:00,1.896611E+03,0.000000E+00,9.786419E-02,0.000000E+00,2.226988E+03,0.000000E+00,1.149123E-01,0.000000E+00,2.361597E+03,0.000000E+00,1.218583E-01,0.000000E+00,2.183439E+03,0.000000E+00,1.126650E-01,0.000000E+00,5.829926E+03,0.000000E+00,3.007556E-01,0.000000E+00
01:30:00,1.928462E+03,0.000000E+00,9.950728E-02,0.000000E+00,2.255327E+03,0.000000E+00,1.163741E-01,0.000000E+00,2.387997E+03,0.000000E+00,1.232200E-01,0.000000E+00,2.212271E+03,0.000000E+00,1.141523E-01,0.000000E+00,5.873226E+03,0.000000E+00,3.029864E-01,0.000000E+00
01:45:00,1.960230E+03,0.000000E+00,1.011460E-01,0.000000E+00,2.283614E+03,0.000000E+00,1.178333E-01,0.000000E+00,2.414366E+03,0.000000E+00,1.245801E-01,0.000000E+00,2.241061E+03,0.000000E+00,1.156374E-01,0.000000E+00,5.916613E+03,0.000000E+00,3.052220E-01,0.000000E+00
02:00:00,1.991895E+03,0.000000E+00,1.027795E-01,0.000000E+00,2.311836E+03,0.000000E+00,1.192890E-01,0.000000E+00,2.440689E+03,0.000000E+00,1.259380E-01,0.000000E+00,2.269790E+03,0.000000E+00,1.171194E-01,0.000000E+00,5.960079E+03,0.000000E+00,3.074622E-01,0.000000E+00
02:15:00,2.023571E+03,0.000000E+00,1.044137E-01,0.000000E+00,2.340112E+03,0.000000E+00,1.207478E-01,0.000000E+00,2.467088E+03,0.000000E+00,1.272998E-01,0.000000E+00,2.298578E+03,0.000000E+00,1.186045E-01,0.000000E+00,6.003602E+03,0.000000E+00,3.097059E-01,0.000000E+00
02:30:00,2.055246E+03,0.000000E+00,1.060479E-01,0.000000E+00,2.368435E+03,0.000000E+00,1.222090E-01,0.000000E+00,2.493552E+03,0.000000E+00,1.286651E-01,0.000000E+00,2.327416E+03,0.000000E+00,1.200924E-01,0.000000E+00,6.047177E+03,0.000000E+00,3.119530E-01,0.000000E+00
02:45:00,2.086905E+03,0.000000E+00,1.076813E-01,0.000000E+00,2.396795E+03,0.000000E+00,1.236722E-01,0.000000E+00,2.520071E+03,0.000000E+00,1.300333E-01,0.000000E+00,2.356291E+03,0.000000E+00,1.215822E-01,0.000000E+00,6.090790E+03,0.000000E+00,3.142021E-01,0.000000E+00
03:00:00,2.118538E+03,0.000000E+00,1.093134E-01,0.000000E+00,2.425184E+03,0.000000E+00,1.251370E-01,0.000000E+00,2.546639E+03,0.000000E+00,1.314040E-01,0.000000E+00,2.385196E+03,0.000000E+00,1.230735E-01,0.000000E+00,6.134438E+03,0.000000E+00,3.164530E-01,0.000000E+00
03:15:00,2.150066E+03,0.000000E+00,1.109401E-01,0.000000E+00,2.453526E+03,0.000000E+00,1.265993E-01,0.000000E+00,2.573177E+03,0.000000E+00,1.327733E-01,0.000000E+00,2.414053E+03,0.000000E+00,1.245624E-01,0.000000E+00,6.178104E+03,0.000000E+00,3.187048E-01,0.000000E+00
03:30:00,2.181478E+03,0.000000E+00,1.125608E-01,0.000000E+00,2.481815E+03,0.000000E+00,1.280588E-01,0.000000E+00,2.599681E+03,0.000000E+00,1.341407E-01,0.000000E+00,2.442855E+03,0.000000E+00,1.260484E-01,0.000000E+00,6.221789E+03,0.000000E+00,3.209576E-01,0.000000E+00
03:45:00,2.212767E+03,0.000000E+00,1.141750E-01,0.000000E+00,2.510047E+03,0.000000E+00,1.295154E-01,0.000000E+00,2.626145E+03,0.000000E+00,1.355060E-01,0.000000E+00,2.471597E+03,0.000000E+00,1.275313E-01,0.000000E+00,6.265483E+03,0.000000E+00,3.232103E-01,0.000000E+00
04:00:00,2.243928E+03,0.000000E+00,1.157826E-01,0.000000E+00,2.538221E+03,0.000000E+00,1.309688E-01,0.000000E+00,2.652569E+03,0.000000E+00,1.368691E-01,0.000000E+00,2.500278E+03,0.000000E+00,1.290109E-01,0.000000E+00,6.309187E+03,0.000000E+00,3.254628E-01,0.000000E+00
04:15:00,2.274959E+03,0.000000E+00,1.173833E-01,0.000000E+00,2.566342E+03,0.000000E+00,1.324193E-01,0.000000E+00,2.678956E+03,0.000000E+00,1.382301E-01,0.000000E+00,2.528902E+03,0.000000E+00,1.304873E-01,0.000000E+00,6.352923E+03,0.000000E+00,3.277164E-01,0.000000E+00
04:30:00,2.305854E+03,0.000000E+00,1.189768E-01,0.000000E+00,2.594408E+03,0.000000E+00,1.338669E-01,0.000000E+00,2.705305E+03,0.000000E+00,1.395891E-01,0.000000E+00,2.557467E+03,0.000000E+00,1.319607E-01,0.000000E+00,6.396693E+03,0.000000E+00,3.299710E-01,0.000000E+00
04:45:00,2.336606E+03,0.000000E+00,1.205629E-01,0.000000E+00,2.622420E+03,0.000000E+00,1.353116E-01,0.000000E+00,2.731618E+03,0.000000E+00,1.409461E-01,0.000000E+00,2.585974E+03,0.000000E+00,1.334309E-01,0.000000E+00,6.440510E+03,0.000000E+00,3.322282E-01,0.000000E+00
05:00:00,2.367202E+03,0.000000E+00,1.221409E-01,0.000000E+00,2.650379E+03,0.000000E+00,1.367536E-01,0.000000E+00,2.757894E+03,0.000000E+00,1.423012E-01,0.000000E+00,2.614422E+03,0.000000E+00,1.348982E-01,0.000000E+00,6.484374E+03,0.000000E+00,3.344878E-01,0.000000E+00
05:15:00,2.397544E+03,0.000000E+00,1.237059E-01,0.000000E+00,2.678207E+03,0.000000E+00,1.381889E-01,0.000000E+00,2.784054E+03,0.000000E+00,1.436504E-01,0.000000E+00,2.642734E+03,0.000000E+00,1.363585E-01,0.000000E+00,6.527885E+03,0.000000E+00,3.367295E-01,0.000000E+00
