Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.566576E+02,0.000000E+00,4.420675E-02,0.000000E+00,1.211254E+03,0.000000E+00,6.250248E-02,0.000000E+00,1.360002E+03,0.000000E+00,7.017917E-02,0.000000E+00,1.141946E+03,0.000000E+00,5.892490E-02,0.000000E+00,4.887580E+03,0.000000E+00,2.520665E-01,0.000000E+00
00:30:00,9.474975E+02,0.000000E+00,4.889261E-02,0.000000E+00,1.299037E+03,0.000000E+00,6.703087E-02,0.000000E+00,1.446520E+03,0.000000E+00,7.464210E-02,0.000000E+00,1.228565E+03,0.000000E+00,6.339332E-02,0.000000E+00,5.103704E+03,0.000000E+00,2.631977E-01,0.000000E+00
00:45:00,1.036822E+03,0.000000E+00,5.350015E-02,0.000000E+00,1.386276E+03,0.000000E+00,7.153116E-02,0.000000E+00,1.532294E+03,0.000000E+00,7.906660E-02,0.000000E+00,1.314949E+03,0.000000E+00,6.784966E-02,0.000000E+00,5.312808E+03,0.000000E+00,2.739657E-01,0.000000E+00
01:00:00,1.124495E+03,0.000000E+00,5.802239E-02,0.000000E+00,1.472880E+03,0.000000E+00,7.599862E-02,0.000000E+00,1.617253E+03,0.000000E+00,8.344902E-02,0.000000E+00,1.400891E+03,0.000000E+00,7.228309E-02,0.000000E+00,5.514870E+03,0.000000E+00,2.843697E-01,0.000000E+00
01:15:00,1.158651E+03,0.000000E+00,5.978413E-02,0.000000E+00,1.506126E+03,0.000000E+00,7.771402E-02,0.000000E+00,1.649234E+03,0.000000E+00,8.509912E-02,0.000000E+00,1.434479E+03,0.000000E+00,7.401624E-02,0.000000E+00,5.556527E+03,0.000000E+00,2.865098E-01,0.000000E+00
01:30:00,1.192233E+03,0.000000E+00,6.151608E-02,0.000000E+00,1.539508E+03,0.000000E+00,7.943628E-02,0.000000E+00,1.681295E+03,0.000000E+00,8.675310E-02,0.000000E+00,1.468274E+03,0.000000E+00,7.575984E-02,0.000000E+00,5.598261E+03,0.000000E+00,2.886519E-01,0.000000E+00
01:45:00,1.224985E+03,0.000000E+00,6.320494E-02,0.000000E+00,1.572999E+03,0.000000E+00,8.116405E-02,0.000000E+00,1.713413E+03,0.000000E+00,8.840999E-02,0.000000E+00,1.502236E+03,0.000000E+00,7.751204E-02,0.000000E+00,5.639988E+03,0.000000E+00,2.907941E-01,0.000000E+00
02:00:00,1.256312E+03,0.000000E+00,6.482000E-02,0.000000E+00,1.606565E+03,0.000000E+00,8.289575E-02,0.000000E+00,1.745559E+03,0.000000E+00,9.006840E-02,0.000000E+00,1.536327E+03,0.000000E+00,7.927086E-02,0.000000E+00,5.681713E+03,0.000000E+00,2.929361E-01,0.000000E+00
02:15:00,1.287050E+03,0.000000E+00,6.640402E-02,0.000000E+00,1.640297E+03,0.000000E+00,8.463610E-02,0.000000E+00,1.777830E+03,0.000000E+00,9.173327E-02,0.000000E+00,1.570628E+03,0.000000E+00,8.104060E-02,0.000000E+00,5.723392E+03,0.000000E+00,2.950756E-01,0.000000E+00
02:30:00,1.318156E+03,0.000000E+00,6.800756E-02,0.000000E+00,1.674172E+03,0.000000E+00,8.638392E-02,0.000000E+00,1.810203E+03,0.000000E+00,9.340356E-02,0.000000E+00,1.605110E+03,0.000000E+00,8.281977E-02,0.000000E+00,5.765017E+03,0.000000E+00,2.972120E-01,0.000000E+00
02:45:00,1.350099E+03,0.000000E+00,6.965511E-02,0.000000E+00,1.708166E+03,0.000000E+00,8.813789E-02,0.000000E+00,1.842660E+03,0.000000E+00,9.507816E-02,0.000000E+00,1.639744E+03,0.000000E+00,8.460681E-02,0.000000E+00,5.806610E+03,0.000000E+00,2.993453E-01,0.000000E+00
03:00:00,1.383709E+03,0.000000E+00,7.138940E-02,0.000000E+00,1.742256E+03,0.000000E+00,8.989682E-02,0.000000E+00,1.875182E+03,0.000000E+00,9.675615E-02,0.000000E+00,1.674503E+03,0.000000E+00,8.640030E-02,0.000000E+00,5.848157E+03,0.000000E+00,3.014750E-01,0.000000E+00
03:15:00,1.418452E+03,0.000000E+00,7.318327E-02,0.000000E+00,1.776357E+03,0.000000E+00,9.165632E-02,0.000000E+00,1.907690E+03,0.000000E+00,9.843343E-02,0.000000E+00,1.709298E+03,0.000000E+00,8.819565E-02,0.000000E+00,5.889636E+03,0.000000E+00,3.035998E-01,0.000000E+00
03:30:00,1.453662E+03,0.000000E+00,7.500101E-02,0.000000E+00,1.810449E+03,0.000000E+00,9.341536E-02,0.000000E+00,1.940169E+03,0.000000E+00,1.001092E-01,0.000000E+00,1.744107E+03,0.000000E+00,8.999167E-02,0.000000E+00,5.931071E+03,0.000000E+00,3.057207E-01,0.000000E+00
03:45:00,1.489247E+03,0.000000E+00,7.683775E-02,0.000000E+00,1.844516E+03,0.000000E+00,9.517301E-02,0.000000E+00,1.972608E+03,0.000000E+00,1.017829E-01,0.000000E+00,1.778908E+03,0.000000E+00,9.178727E-02,0.000000E+00,5.972623E+03,0.000000E+00,3.078452E-01,0.000000E+00
04:00:00,1.525123E+03,0.000000E+00,7.868915E-02,0.000000E+00,1.878545E+03,0.000000E+00,9.692863E-02,0.000000E+00,2.004997E+03,0.000000E+00,1.034538E-01,0.000000E+00,1.813688E+03,0.000000E+00,9.358165E-02,0.000000E+00,6.014120E+03,0.000000E+00,3.099670E-01,0.000000E+00
04:15:00,1.561220E+03,0.000000E+00,8.055178E-02,0.000000E+00,1.912530E+03,0.000000E+00,9.868187E-02,0.000000E+00,2.037333E+03,0.000000E+00,1.051219E-01,0.000000E+00,1.848437E+03,0.000000E+00,9.537431E-02,0.000000E+00,6.055788E+03,0.000000E+00,3.120955E-01,0.000000E+00
04:30:00,1.597482E+03,0.000000E+00,8.242269E-02,0.000000E+00,1.946462E+03,0.000000E+00,1.004322E-01,0.000000E+00,2.069607E+03,0.000000E+00,1.067867E-01,0.000000E+00,1.883143E+03,0.000000E+00,9.716465E-02,0.000000E+00,6.097612E+03,0.000000E+00,3.142328E-01,0.000000E+00
04:45:00,1.633862E+03,0.000000E+00,8.429962E-02,0.000000E+00,1.980334E+03,0.000000E+00,1.021795E-01,0.000000E+00,2.101817E+03,0.000000E+00,1.084481E-01,0.000000E+00,1.917797E+03,0.000000E+00,9.895229E-02,0.000000E+00,6.140158E+03,0.000000E+00,3.164101E-01,0.000000E+00
05:00:00,1.670321E+03,0.000000E+00,8.618056E-02,0.000000E+00,2.014137E+03,0.000000E+00,1.039232E-01,0.000000E+00,2.133953E+03,0.000000E+00,1.101058E-01,0.000000E+00,1.952389E+03,0.000000E+00,1.007367E-01,0.000000E+00,6.184271E+03,0.000000E+00,3.186803E-01,0.000000E+00
05:15:00,1.706749E+03,0.000000E+00,8.805990E-02,0.000000E+00,2.047789E+03,0.000000E+00,1.056591E-01,0.000000E+00,2.165937E+03,0.000000E+00,1.117555E-01,0.000000E+00,1.986835E+03,0.000000E+00,1.025136E-01,0.000000E+00,6.229189E+03,0.000000E+00,3.210154E-01,0.000000E+00
05:30:00,1.743116E+03,0.000000E+00,8.993607E-02,0.000000E+00,2.081282E+03,0.000000E+00,1.073868E-01,0.000000E+00,2.197760E+03,0.000000E+00,1.133971E-01,0.000000E+00,2.021125E+03,0.000000E+00,1.042825E-01,0.000000E+00,6.274460E+03,0.000000E+00,3.233862E-01,0.000000E+00
05:45:00,1.779394E+03,0.000000E+00,9.180764E-02,0.000000E+00,2.114607E+03,0.000000E+00,1.091059E-01,0.000000E+00,2.229415E+03,0.000000E+00,1.150300E-01,0.000000E+00,2.055250E+03,0.000000E+00,1.060428E-01,0.000000E+00,6.319112E+03,0.000000E+00,3.257352E-01,0.000000E+00
06:00:00,1.815559E+03,0.000000E+00,9.367339E-02,0.000000E+00,2.147758E+03,0.000000E+00,1.108159E-01,0.000000E+00,2.260899E+03,0.000000E+00,1.166540E-01,0.000000E+00,2.089201E+03,0.000000E+00,1.077942E-01,0.000000E+00,6.362366E+03,0.000000E+00,3.280069E-01,0.000000E+00
06:15:00,1.579266E+03,0.000000E+00,8.148177E-02,0.000000E+00,1.908371E+03,0.000000E+00,9.846427E-02,0.000000E+00,2.019852E+03,0.000000E+00,1.042166E-01,0.000000E+00,1.850618E+03,0.000000E+00,9.548407E-02,0.000000E+00,4.808718E+03,0.000000E+00,2.479247E-01,0.000000E+00
06:30:00,1.340218E+03,0.000000E+00,6.915010E-02,0.000000E+00,1.666141E+03,0.000000E+00,8.596809E-02,0.000000E+00,1.775968E+03,0.000000E+00,9.163505E-02,0.000000E+00,1.609197E+03,0.000000E+00,8.302973E-02,0.000000E+00,3.246440E+03,0.000000E+00,1.673851E-01,0.000000E+00
06:45:00,1.098244E+03,0.000000E+00,5.666809E-02,0.000000E+00,1.420932E+03,0.000000E+00,7.331950E-02,0.000000E+00,1.529122E+03,0.000000E+00,7.890218E-02,0.000000E+00,1.364799E+03,0.000000E+00,7.042291E-02,0.000000E+00,1.674166E+03,0.000000E+00,8.632286E-02,0.000000E+00
07:00:00,8.532856E+02,0.000000E+00,4.403272E-02,0.000000E+00,1.172686E+03,0.000000E+00,6.051510E-02,0.000000E+00,1.279252E+03,0.000000E+00,6.601432E-02,0.000000E+00,1.117366E+03,0.000000E+00,5.766035E-02,0.000000E+00,9.211435E+01,0.000000E+00,4.753233E-03,0.000000E+00
07:15:00,8.776180E+02,0.000000E+00,4.529170E-02,0.000000E+00,1.193715E+03,0.000000E+00,6.160479E-02,0.000000E+00,1.298668E+03,0.000000E+00,6.702120E-02,0.000000E+00,1.139206E+03,0.000000E+00,5.879169E-02,0.000000E+00,9.637674E+01,0.000000E+00,4.974328E-03,0.000000E+00
07:30:00,8.987125E+02,0.000000E+00,4.638190E-02,0.000000E+00,1.210289E+03,0.000000E+00,6.246287E-02,0.000000E+00,1.315804E+03,0.000000E+00,6.790868E-02,0.000000E+00,1.158726E+03,0.000000E+00,5.980157E-02,0.000000E+00,9.910497E+01,0.000000E+00,5.115164E-03,0.000000E+00
07:45:00,9.075364E+02,0.000000E+00,4.683843E-02,0.000000E+00,1.206769E+03,0.000000E+00,6.228292E-02,0.000000E+00,1.329474E+03,0.000000E+00,6.861622E-02,0.000000E+00,1.174803E+03,0.000000E+00,6.063300E-02,0.000000E+00,1.018596E+02,0.000000E+00,5.257350E-03,0.000000E+00
08:00:00,9.010437E+02,0.000000E+00,4.650420E-02,0.000000E+00,1.181630E+03,0.000000E+00,6.098665E-02,0.000000E+00,1.338207E+03,0.000000E+00,6.906825E-02,0.000000E+00,1.186020E+03,0.000000E+00,6.121312E-02,0.000000E+00,1.043102E+02,0.000000E+00,5.383842E-03,0.000000E+00
08:15:00,8.781724E+02,1.178461E+03,4.532443E-02,8.449649E-02,1.136411E+03,1.284532E+03,5.865353E-02,9.011061E-02,1.340979E+03,1.239812E+03,6.921215E-02,8.847246E-02,1.191472E+03,1.156415E+03,6.149531E-02,8.225035E-02,1.062819E+02,1.624005E+03,5.485618E-03,1.413972E-01
08:30:00,8.399004E+02,3.268055E+03,4.334960E-02,2.862147E-01,1.074327E+03,3.661695E+03,5.544967E-02,3.185581E-01,1.338692E+03,3.393673E+03,6.909462E-02,2.959716E-01,1.192253E+03,3.307957E+03,6.153617E-02,2.899970E-01,1.077764E+02,3.693273E+03,5.562764E-03,3.434767E-01
08:45:00,7.915416E+02,5.074168E+03,4.085399E-02,4.622842E-01,1.008795E+03,5.730215E+03,5.206764E-02,5.197481E-01,1.333000E+03,5.248625E+03,6.880117E-02,4.766284E-01,1.190095E+03,5.165671E+03,6.142510E-02,4.711122E-01,1.089089E+02,5.490321E+03,5.621222E-03,5.194428E-01
09:00:00,7.358820E+02,6.775888E+03,3.798143E-02,6.286983E-01,9.411067E+02,7.695775E+03,4.857416E-02,7.117584E-01,1.325626E+03,6.988762E+03,6.842078E-02,6.467312E-01,1.186602E+03,6.915669E+03,6.124507E-02,6.422488E-01,1.099266E+02,7.186627E+03,5.673756E-03,6.856260E-01
09:15:00,6.667907E+02,7.220541E+03,3.441553E-02,7.031265E-01,8.646845E+02,8.298682E+03,4.462981E-02,8.063642E-01,1.311729E+03,7.400368E+03,6.770364E-02,7.199288E-01,1.176569E+03,7.427958E+03,6.072736E-02,7.233860E-01,1.109414E+02,7.175067E+03,5.726137E-03,7.022105E-01
09:30:00,5.851796E+02,6.696224E+03,3.020336E-02,6.547436E-01,7.815295E+02,7.751112E+03,4.033790E-02,7.571060E-01,1.292025E+03,6.831741E+03,6.668667E-02,6.677100E-01,1.160305E+03,6.885103E+03,5.988804E-02,6.732260E-01,1.118326E+02,6.651022E+03,5.772137E-03,6.515287E-01
09:45:00,4.997980E+02,6.410358E+03,2.579654E-02,6.276253E-01,7.015411E+02,7.464631E+03,3.620941E-02,7.305004E-01,1.266144E+03,6.511907E+03,6.535093E-02,6.374577E-01,1.137157E+03,6.589250E+03,5.869329E-02,6.451384E-01,1.123875E+02,6.343514E+03,5.800782E-03,6.215050E-01
