Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.083898E+02,0.000000E+00,4.687822E-02,0.000000E+00,1.428908E+03,0.000000E+00,7.373743E-02,0.000000E+00,1.633091E+03,0.000000E+00,8.427459E-02,0.000000E+00,1.330533E+03,0.000000E+00,6.866010E-02,0.000000E+00,4.820558E+03,0.000000E+00,2.487203E-01,0.000000E+00
00:30:00,1.042900E+03,0.000000E+00,5.381807E-02,0.000000E+00,1.559687E+03,0.000000E+00,8.048465E-02,0.000000E+00,1.763075E+03,0.000000E+00,9.098066E-02,0.000000E+00,1.459431E+03,0.000000E+00,7.531043E-02,0.000000E+00,5.109144E+03,0.000000E+00,2.635939E-01,0.000000E+00
00:45:00,1.175949E+03,0.000000E+00,6.068247E-02,0.000000E+00,1.690585E+03,0.000000E+00,8.723803E-02,0.000000E+00,1.892808E+03,0.000000E+00,9.767370E-02,0.000000E+00,1.588956E+03,0.000000E+00,8.199311E-02,0.000000E+00,5.390758E+03,0.000000E+00,2.781053E-01,0.000000E+00
01:00:00,1.307234E+03,0.000000E+00,6.745566E-02,0.000000E+00,1.821417E+03,0.000000E+00,9.398799E-02,0.000000E+00,2.022153E+03,0.000000E+00,1.043467E-01,0.000000E+00,1.718797E+03,0.000000E+00,8.869205E-02,0.000000E+00,5.663376E+03,0.000000E+00,2.921487E-01,0.000000E+00
01:15:00,1.364101E+03,0.000000E+00,7.038961E-02,0.000000E+00,1.878471E+03,0.000000E+00,9.693210E-02,0.000000E+00,2.077588E+03,0.000000E+00,1.072073E-01,0.000000E+00,1.776291E+03,0.000000E+00,9.165891E-02,0.000000E+00,5.745274E+03,0.000000E+00,2.963531E-01,0.000000E+00
01:30:00,1.419092E+03,0.000000E+00,7.322654E-02,0.000000E+00,1.935759E+03,0.000000E+00,9.988806E-02,0.000000E+00,2.133161E+03,0.000000E+00,1.100747E-01,0.000000E+00,1.834136E+03,0.000000E+00,9.464367E-02,0.000000E+00,5.829279E+03,0.000000E+00,3.006745E-01,0.000000E+00
01:45:00,1.473236E+03,0.000000E+00,7.601925E-02,0.000000E+00,1.993210E+03,0.000000E+00,1.028524E-01,0.000000E+00,2.188814E+03,0.000000E+00,1.129462E-01,0.000000E+00,1.892244E+03,0.000000E+00,9.764197E-02,0.000000E+00,5.915814E+03,0.000000E+00,3.051347E-01,0.000000E+00
02:00:00,1.527734E+03,0.000000E+00,7.883055E-02,0.000000E+00,2.050754E+03,0.000000E+00,1.058215E-01,0.000000E+00,2.244486E+03,0.000000E+00,1.158186E-01,0.000000E+00,1.950532E+03,0.000000E+00,1.006495E-01,0.000000E+00,6.006790E+03,0.000000E+00,3.098314E-01,0.000000E+00
02:15:00,1.583425E+03,0.000000E+00,8.170375E-02,0.000000E+00,2.108525E+03,0.000000E+00,1.088023E-01,0.000000E+00,2.300319E+03,0.000000E+00,1.186994E-01,0.000000E+00,2.009119E+03,0.000000E+00,1.036725E-01,0.000000E+00,6.098600E+03,0.000000E+00,3.145854E-01,0.000000E+00
02:30:00,1.641395E+03,0.000000E+00,8.469496E-02,0.000000E+00,2.166385E+03,0.000000E+00,1.117878E-01,0.000000E+00,2.356189E+03,0.000000E+00,1.215822E-01,0.000000E+00,2.067856E+03,0.000000E+00,1.067032E-01,0.000000E+00,6.190946E+03,0.000000E+00,3.193611E-01,0.000000E+00
