Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.189151E+03,0.000000E+00,1.129699E-01,0.000000E+00,2.656384E+03,0.000000E+00,1.370814E-01,0.000000E+00,2.857759E+03,0.000000E+00,1.474732E-01,0.000000E+00,2.594787E+03,0.000000E+00,1.339027E-01,0.000000E+00,6.833973E+03,0.000000E+00,3.526358E-01,0.000000E+00
00:30:00,2.310887E+03,0.000000E+00,1.192499E-01,0.000000E+00,2.772771E+03,0.000000E+00,1.430850E-01,0.000000E+00,2.970384E+03,0.000000E+00,1.532825E-01,0.000000E+00,2.711481E+03,0.000000E+00,1.399222E-01,0.000000E+00,7.115024E+03,0.000000E+00,3.671286E-01,0.000000E+00
00:45:00,2.431688E+03,0.000000E+00,1.254816E-01,0.000000E+00,2.888262E+03,0.000000E+00,1.490424E-01,0.000000E+00,3.082127E+03,0.000000E+00,1.590462E-01,0.000000E+00,2.827300E+03,0.000000E+00,1.458965E-01,0.000000E+00,7.390423E+03,0.000000E+00,3.813296E-01,0.000000E+00
01:00:00,2.551482E+03,0.000000E+00,1.316613E-01,0.000000E+00,3.002797E+03,0.000000E+00,1.549504E-01,0.000000E+00,3.192922E+03,0.000000E+00,1.647610E-01,0.000000E+00,2.942177E+03,0.000000E+00,1.518222E-01,0.000000E+00,7.660114E+03,0.000000E+00,3.952357E-01,0.000000E+00
01:15:00,2.598923E+03,0.000000E+00,1.341092E-01,0.000000E+00,3.045525E+03,0.000000E+00,1.571551E-01,0.000000E+00,3.232959E+03,0.000000E+00,1.668268E-01,0.000000E+00,2.985597E+03,0.000000E+00,1.540627E-01,0.000000E+00,7.736185E+03,0.000000E+00,3.991594E-01,0.000000E+00
01:30:00,2.646206E+03,0.000000E+00,1.365487E-01,0.000000E+00,3.088165E+03,0.000000E+00,1.593550E-01,0.000000E+00,3.272926E+03,0.000000E+00,1.688887E-01,0.000000E+00,3.028947E+03,0.000000E+00,1.562992E-01,0.000000E+00,7.812562E+03,0.000000E+00,4.030977E-01,0.000000E+00
01:45:00,2.693304E+03,0.000000E+00,1.389786E-01,0.000000E+00,3.130699E+03,0.000000E+00,1.615492E-01,0.000000E+00,3.312799E+03,0.000000E+00,1.709456E-01,0.000000E+00,3.072204E+03,0.000000E+00,1.585308E-01,0.000000E+00,7.889225E+03,0.000000E+00,4.070508E-01,0.000000E+00
02:00:00,2.740180E+03,0.000000E+00,1.413970E-01,0.000000E+00,3.173096E+03,0.000000E+00,1.637365E-01,0.000000E+00,3.352540E+03,0.000000E+00,1.729957E-01,0.000000E+00,3.115337E+03,0.000000E+00,1.607561E-01,0.000000E+00,7.966121E+03,0.000000E+00,4.110165E-01,0.000000E+00
02:15:00,2.787002E+03,0.000000E+00,1.438127E-01,0.000000E+00,3.215539E+03,0.000000E+00,1.659262E-01,0.000000E+00,3.392295E+03,0.000000E+00,1.750466E-01,0.000000E+00,3.158524E+03,0.000000E+00,1.629841E-01,0.000000E+00,8.043185E+03,0.000000E+00,4.149912E-01,0.000000E+00
02:30:00,2.833743E+03,0.000000E+00,1.462243E-01,0.000000E+00,3.258008E+03,0.000000E+00,1.681174E-01,0.000000E+00,3.432035E+03,0.000000E+00,1.770968E-01,0.000000E+00,3.201744E+03,0.000000E+00,1.652141E-01,0.000000E+00,8.120369E+03,0.000000E+00,4.189728E-01,0.000000E+00
