Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.784746E+01,0.000000E+00,4.017651E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.899731E+02,0.000000E+00,2.012520E-02,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.609490E+00,0.000000E+00,2.383873E-04,0.000000E+00,1.651849E+02,0.000000E+00,8.525024E-03,0.000000E+00,2.531915E-01,0.000000E+00,1.310987E-05,0.000000E+00,8.015311E+02,0.000000E+00,4.136418E-02,0.000000E+00
00:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.149848E+01,0.000000E+00,1.110095E-03,0.000000E+00,2.620231E+02,0.000000E+00,1.352267E-02,0.000000E+00,1.263610E+01,0.000000E+00,6.522434E-04,0.000000E+00,1.234752E+03,0.000000E+00,6.372100E-02,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.094287E+01,0.000000E+00,2.629810E-03,0.000000E+00,3.683651E+02,0.000000E+00,1.901075E-02,0.000000E+00,3.807339E+01,0.000000E+00,1.965147E-03,0.000000E+00,1.689704E+03,0.000000E+00,8.719921E-02,0.000000E+00
01:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.337951E+01,0.000000E+00,4.820059E-03,0.000000E+00,4.073784E+02,0.000000E+00,2.102397E-02,0.000000E+00,7.680103E+01,0.000000E+00,3.963977E-03,0.000000E+00,1.788318E+03,0.000000E+00,9.228781E-02,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.439775E+02,0.000000E+00,7.431007E-03,0.000000E+00,4.473613E+02,0.000000E+00,2.308720E-02,0.000000E+00,1.283303E+02,0.000000E+00,6.623445E-03,0.000000E+00,1.899076E+03,0.000000E+00,9.800308E-02,0.000000E+00
01:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949719E+02,0.000000E+00,1.006281E-02,0.000000E+00,4.882964E+02,0.000000E+00,2.519953E-02,0.000000E+00,1.797129E+02,0.000000E+00,9.275307E-03,0.000000E+00,2.022013E+03,0.000000E+00,1.043465E-01,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.460263E+02,0.000000E+00,1.269763E-02,0.000000E+00,5.301674E+02,0.000000E+00,2.736012E-02,0.000000E+00,2.307847E+02,0.000000E+00,1.191105E-02,0.000000E+00,2.157174E+03,0.000000E+00,1.113204E-01,0.000000E+00
02:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.917417E+02,0.000000E+00,1.505684E-02,0.000000E+00,5.670083E+02,0.000000E+00,2.926106E-02,0.000000E+00,2.763507E+02,0.000000E+00,1.426258E-02,0.000000E+00,2.261704E+03,0.000000E+00,1.167132E-01,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.331839E+02,0.000000E+00,1.719549E-02,0.000000E+00,5.987966E+02,0.000000E+00,3.090123E-02,0.000000E+00,3.165886E+02,0.000000E+00,1.633908E-02,0.000000E+00,2.335542E+03,0.000000E+00,1.205223E-01,0.000000E+00
