Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.091257E+02,0.000000E+00,4.691597E-02,0.000000E+00,1.401297E+03,0.000000E+00,7.231224E-02,0.000000E+00,1.598607E+03,0.000000E+00,8.249472E-02,0.000000E+00,1.306383E+03,0.000000E+00,6.741348E-02,0.000000E+00,4.842897E+03,0.000000E+00,2.498641E-01,0.000000E+00
00:30:00,1.038069E+03,0.000000E+00,5.356853E-02,0.000000E+00,1.526803E+03,0.000000E+00,7.878736E-02,0.000000E+00,1.723167E+03,0.000000E+00,8.892082E-02,0.000000E+00,1.430131E+03,0.000000E+00,7.379807E-02,0.000000E+00,5.115817E+03,0.000000E+00,2.639265E-01,0.000000E+00
00:45:00,1.165436E+03,0.000000E+00,6.013957E-02,0.000000E+00,1.652282E+03,0.000000E+00,8.526108E-02,0.000000E+00,1.847349E+03,0.000000E+00,9.532744E-02,0.000000E+00,1.554336E+03,0.000000E+00,8.020621E-02,0.000000E+00,5.381204E+03,0.000000E+00,2.775970E-01,0.000000E+00
01:00:00,1.291067E+03,0.000000E+00,6.662097E-02,0.000000E+00,1.777662E+03,0.000000E+00,9.172961E-02,0.000000E+00,1.971127E+03,0.000000E+00,1.017132E-01,0.000000E+00,1.678795E+03,0.000000E+00,8.662736E-02,0.000000E+00,5.639254E+03,0.000000E+00,2.908828E-01,0.000000E+00
01:15:00,1.344799E+03,0.000000E+00,6.939308E-02,0.000000E+00,1.831695E+03,0.000000E+00,9.451784E-02,0.000000E+00,2.023555E+03,0.000000E+00,1.044185E-01,0.000000E+00,1.733261E+03,0.000000E+00,8.943797E-02,0.000000E+00,5.713237E+03,0.000000E+00,2.946841E-01,0.000000E+00
01:30:00,1.396683E+03,0.000000E+00,7.206963E-02,0.000000E+00,1.885951E+03,0.000000E+00,9.731734E-02,0.000000E+00,2.076114E+03,0.000000E+00,1.071304E-01,0.000000E+00,1.788060E+03,0.000000E+00,9.226555E-02,0.000000E+00,5.789260E+03,0.000000E+00,2.985972E-01,0.000000E+00
01:45:00,1.447783E+03,0.000000E+00,7.470520E-02,0.000000E+00,1.940364E+03,0.000000E+00,1.001249E-01,0.000000E+00,2.128750E+03,0.000000E+00,1.098462E-01,0.000000E+00,1.843111E+03,0.000000E+00,9.510604E-02,0.000000E+00,5.867942E+03,0.000000E+00,3.026556E-01,0.000000E+00
02:00:00,1.499238E+03,0.000000E+00,7.735934E-02,0.000000E+00,1.994868E+03,0.000000E+00,1.029371E-01,0.000000E+00,2.181406E+03,0.000000E+00,1.125630E-01,0.000000E+00,1.898335E+03,0.000000E+00,9.795545E-02,0.000000E+00,5.949163E+03,0.000000E+00,3.068544E-01,0.000000E+00
02:15:00,1.551779E+03,0.000000E+00,8.007000E-02,0.000000E+00,2.049514E+03,0.000000E+00,1.057567E-01,0.000000E+00,2.234145E+03,0.000000E+00,1.152841E-01,0.000000E+00,1.953768E+03,0.000000E+00,1.008157E-01,0.000000E+00,6.031007E+03,0.000000E+00,3.110904E-01,0.000000E+00
02:30:00,1.606585E+03,0.000000E+00,8.289793E-02,0.000000E+00,2.104281E+03,0.000000E+00,1.085825E-01,0.000000E+00,2.286956E+03,0.000000E+00,1.180090E-01,0.000000E+00,2.009380E+03,0.000000E+00,1.036851E-01,0.000000E+00,6.113355E+03,0.000000E+00,3.153487E-01,0.000000E+00
02:45:00,1.662911E+03,0.000000E+00,8.580490E-02,0.000000E+00,2.159148E+03,0.000000E+00,1.114135E-01,0.000000E+00,2.339823E+03,0.000000E+00,1.207368E-01,0.000000E+00,2.065141E+03,0.000000E+00,1.065624E-01,0.000000E+00,6.196246E+03,0.000000E+00,3.196320E-01,0.000000E+00
03:00:00,1.719962E+03,0.000000E+00,8.874916E-02,0.000000E+00,2.214076E+03,0.000000E+00,1.142478E-01,0.000000E+00,2.392718E+03,0.000000E+00,1.234661E-01,0.000000E+00,2.121008E+03,0.000000E+00,1.094450E-01,0.000000E+00,6.279653E+03,0.000000E+00,3.239400E-01,0.000000E+00
03:15:00,1.777570E+03,0.000000E+00,9.172201E-02,0.000000E+00,2.269013E+03,0.000000E+00,1.170825E-01,0.000000E+00,2.445589E+03,0.000000E+00,1.261942E-01,0.000000E+00,2.176922E+03,0.000000E+00,1.123302E-01,0.000000E+00,6.363613E+03,0.000000E+00,3.282754E-01,0.000000E+00
03:30:00,1.835566E+03,0.000000E+00,9.471479E-02,0.000000E+00,2.323899E+03,0.000000E+00,1.199146E-01,0.000000E+00,2.498383E+03,0.000000E+00,1.289183E-01,0.000000E+00,2.232818E+03,0.000000E+00,1.152144E-01,0.000000E+00,6.448049E+03,0.000000E+00,3.326346E-01,0.000000E+00
