Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.112334E+03,0.000000E+00,1.090054E-01,0.000000E+00,2.555055E+03,0.000000E+00,1.318518E-01,0.000000E+00,2.747753E+03,0.000000E+00,1.417959E-01,0.000000E+00,2.495665E+03,0.000000E+00,1.287870E-01,0.000000E+00,6.508003E+03,0.000000E+00,3.358127E-01,0.000000E+00
00:30:00,2.229358E+03,0.000000E+00,1.150421E-01,0.000000E+00,2.666986E+03,0.000000E+00,1.376255E-01,0.000000E+00,2.856086E+03,0.000000E+00,1.473837E-01,0.000000E+00,2.607899E+03,0.000000E+00,1.345764E-01,0.000000E+00,6.776149E+03,0.000000E+00,3.496396E-01,0.000000E+00
00:45:00,2.345434E+03,0.000000E+00,1.210301E-01,0.000000E+00,2.778005E+03,0.000000E+00,1.433522E-01,0.000000E+00,2.963523E+03,0.000000E+00,1.529253E-01,0.000000E+00,2.719239E+03,0.000000E+00,1.403196E-01,0.000000E+00,7.038378E+03,0.000000E+00,3.631610E-01,0.000000E+00
01:00:00,2.460495E+03,0.000000E+00,1.269655E-01,0.000000E+00,2.888055E+03,0.000000E+00,1.490287E-01,0.000000E+00,3.070003E+03,0.000000E+00,1.584175E-01,0.000000E+00,2.829623E+03,0.000000E+00,1.460135E-01,0.000000E+00,7.294642E+03,0.000000E+00,3.763743E-01,0.000000E+00
01:15:00,2.505722E+03,0.000000E+00,1.292991E-01,0.000000E+00,2.928747E+03,0.000000E+00,1.511283E-01,0.000000E+00,3.108119E+03,0.000000E+00,1.603841E-01,0.000000E+00,2.870979E+03,0.000000E+00,1.481474E-01,0.000000E+00,7.363757E+03,0.000000E+00,3.799389E-01,0.000000E+00
01:30:00,2.550804E+03,0.000000E+00,1.316251E-01,0.000000E+00,2.969360E+03,0.000000E+00,1.532236E-01,0.000000E+00,3.146180E+03,0.000000E+00,1.623477E-01,0.000000E+00,2.912270E+03,0.000000E+00,1.502777E-01,0.000000E+00,7.433131E+03,0.000000E+00,3.835158E-01,0.000000E+00
01:45:00,2.595717E+03,0.000000E+00,1.339422E-01,0.000000E+00,3.009876E+03,0.000000E+00,1.553138E-01,0.000000E+00,3.184169E+03,0.000000E+00,1.643074E-01,0.000000E+00,2.953478E+03,0.000000E+00,1.524036E-01,0.000000E+00,7.502755E+03,0.000000E+00,3.871058E-01,0.000000E+00
02:00:00,2.640427E+03,0.000000E+00,1.362488E-01,0.000000E+00,3.050270E+03,0.000000E+00,1.573977E-01,0.000000E+00,3.222058E+03,0.000000E+00,1.662619E-01,0.000000E+00,2.994574E+03,0.000000E+00,1.545236E-01,0.000000E+00,7.572586E+03,0.000000E+00,3.907068E-01,0.000000E+00
02:15:00,2.685096E+03,0.000000E+00,1.385534E-01,0.000000E+00,3.090713E+03,0.000000E+00,1.594842E-01,0.000000E+00,3.260014E+03,0.000000E+00,1.682200E-01,0.000000E+00,3.035725E+03,0.000000E+00,1.566467E-01,0.000000E+00,7.642566E+03,0.000000E+00,3.943162E-01,0.000000E+00
02:30:00,2.729700E+03,0.000000E+00,1.408547E-01,0.000000E+00,3.131190E+03,0.000000E+00,1.615726E-01,0.000000E+00,3.298015E+03,0.000000E+00,1.701806E-01,0.000000E+00,3.076916E+03,0.000000E+00,1.587719E-01,0.000000E+00,7.712658E+03,0.000000E+00,3.979318E-01,0.000000E+00
