Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.364237E+03,0.000000E+00,1.220022E-01,0.000000E+00,2.568645E+03,0.000000E+00,1.325510E-01,0.000000E+00,2.784824E+03,0.000000E+00,1.437066E-01,0.000000E+00,2.758610E+03,0.000000E+00,1.423536E-01,0.000000E+00,5.931930E+03,0.000000E+00,3.060777E-01,0.000000E+00
00:30:00,2.442492E+03,0.000000E+00,1.260380E-01,0.000000E+00,2.636173E+03,0.000000E+00,1.360332E-01,0.000000E+00,2.852148E+03,0.000000E+00,1.471781E-01,0.000000E+00,2.838443E+03,0.000000E+00,1.464705E-01,0.000000E+00,6.153336E+03,0.000000E+00,3.174920E-01,0.000000E+00
00:45:00,2.519721E+03,0.000000E+00,1.300208E-01,0.000000E+00,2.702910E+03,0.000000E+00,1.394746E-01,0.000000E+00,2.918652E+03,0.000000E+00,1.506072E-01,0.000000E+00,2.917239E+03,0.000000E+00,1.505339E-01,0.000000E+00,6.368002E+03,0.000000E+00,3.285585E-01,0.000000E+00
01:00:00,2.595873E+03,0.000000E+00,1.339480E-01,0.000000E+00,2.768822E+03,0.000000E+00,1.428733E-01,0.000000E+00,2.984298E+03,0.000000E+00,1.539921E-01,0.000000E+00,2.994953E+03,0.000000E+00,1.545414E-01,0.000000E+00,6.575910E+03,0.000000E+00,3.392758E-01,0.000000E+00
01:15:00,2.619717E+03,0.000000E+00,1.351782E-01,0.000000E+00,2.787265E+03,0.000000E+00,1.438248E-01,0.000000E+00,3.001629E+03,0.000000E+00,1.548861E-01,0.000000E+00,3.017642E+03,0.000000E+00,1.557120E-01,0.000000E+00,6.619002E+03,0.000000E+00,3.414975E-01,0.000000E+00
01:30:00,2.643562E+03,0.000000E+00,1.364080E-01,0.000000E+00,2.805853E+03,0.000000E+00,1.447834E-01,0.000000E+00,3.019098E+03,0.000000E+00,1.557869E-01,0.000000E+00,3.040377E+03,0.000000E+00,1.568845E-01,0.000000E+00,6.662237E+03,0.000000E+00,3.437254E-01,0.000000E+00
01:45:00,2.667365E+03,0.000000E+00,1.376357E-01,0.000000E+00,2.824563E+03,0.000000E+00,1.457483E-01,0.000000E+00,3.036686E+03,0.000000E+00,1.566939E-01,0.000000E+00,3.063131E+03,0.000000E+00,1.580581E-01,0.000000E+00,6.705637E+03,0.000000E+00,3.459621E-01,0.000000E+00
02:00:00,2.691094E+03,0.000000E+00,1.388595E-01,0.000000E+00,2.843378E+03,0.000000E+00,1.467186E-01,0.000000E+00,3.054377E+03,0.000000E+00,1.576062E-01,0.000000E+00,3.085891E+03,0.000000E+00,1.592319E-01,0.000000E+00,6.749184E+03,0.000000E+00,3.482069E-01,0.000000E+00
02:15:00,2.714830E+03,0.000000E+00,1.400838E-01,0.000000E+00,2.862376E+03,0.000000E+00,1.476986E-01,0.000000E+00,3.072264E+03,0.000000E+00,1.585288E-01,0.000000E+00,3.108806E+03,0.000000E+00,1.604139E-01,0.000000E+00,6.792850E+03,0.000000E+00,3.504583E-01,0.000000E+00
02:30:00,2.738563E+03,0.000000E+00,1.413081E-01,0.000000E+00,2.881545E+03,0.000000E+00,1.486874E-01,0.000000E+00,3.090337E+03,0.000000E+00,1.594611E-01,0.000000E+00,3.131872E+03,0.000000E+00,1.616039E-01,0.000000E+00,6.836624E+03,0.000000E+00,3.527159E-01,0.000000E+00
02:45:00,2.762414E+03,0.000000E+00,1.425385E-01,0.000000E+00,2.900870E+03,0.000000E+00,1.496845E-01,0.000000E+00,3.108581E+03,0.000000E+00,1.604023E-01,0.000000E+00,3.155080E+03,0.000000E+00,1.628012E-01,0.000000E+00,6.880487E+03,0.000000E+00,3.549782E-01,0.000000E+00
03:00:00,2.786423E+03,0.000000E+00,1.437771E-01,0.000000E+00,2.920342E+03,0.000000E+00,1.506891E-01,0.000000E+00,3.126987E+03,0.000000E+00,1.613519E-01,0.000000E+00,3.178421E+03,0.000000E+00,1.640055E-01,0.000000E+00,6.924436E+03,0.000000E+00,3.572449E-01,0.000000E+00
03:15:00,2.810577E+03,0.000000E+00,1.450234E-01,0.000000E+00,2.939900E+03,0.000000E+00,1.516981E-01,0.000000E+00,3.145487E+03,0.000000E+00,1.623064E-01,0.000000E+00,3.201801E+03,0.000000E+00,1.652117E-01,0.000000E+00,6.968451E+03,0.000000E+00,3.595150E-01,0.000000E+00
03:30:00,2.834906E+03,0.000000E+00,1.462787E-01,0.000000E+00,2.959534E+03,0.000000E+00,1.527111E-01,0.000000E+00,3.164074E+03,0.000000E+00,1.632653E-01,0.000000E+00,3.225211E+03,0.000000E+00,1.664195E-01,0.000000E+00,7.012530E+03,0.000000E+00,3.617883E-01,0.000000E+00
03:45:00,2.859306E+03,0.000000E+00,1.475377E-01,0.000000E+00,2.979240E+03,0.000000E+00,1.537277E-01,0.000000E+00,3.182739E+03,0.000000E+00,1.642282E-01,0.000000E+00,3.248645E+03,0.000000E+00,1.676284E-01,0.000000E+00,7.056661E+03,0.000000E+00,3.640639E-01,0.000000E+00
04:00:00,2.883770E+03,0.000000E+00,1.487997E-01,0.000000E+00,2.999014E+03,0.000000E+00,1.547477E-01,0.000000E+00,3.201482E+03,0.000000E+00,1.651949E-01,0.000000E+00,3.272100E+03,0.000000E+00,1.688383E-01,0.000000E+00,7.100850E+03,0.000000E+00,3.663418E-01,0.000000E+00
04:15:00,2.908294E+03,0.000000E+00,1.500647E-01,0.000000E+00,3.018860E+03,0.000000E+00,1.557712E-01,0.000000E+00,3.220305E+03,0.000000E+00,1.661656E-01,0.000000E+00,3.295580E+03,0.000000E+00,1.700493E-01,0.000000E+00,7.145118E+03,0.000000E+00,3.686232E-01,0.000000E+00
