,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,440.87,0.00,805.94,0.00,32.07,0.00,317.86,144.23,0.00,0.00,0.00,0.00,0.00
February,400.98,0.00,719.25,0.00,39.96,0.00,19.13,517.57,0.00,0.00,0.00,0.00,0.00
March,460.02,0.00,810.21,0.00,116.67,0.00,0.01,1621.52,0.00,0.00,0.00,0.00,0.00
April,402.84,0.00,747.47,0.00,209.48,0.00,0.00,3149.01,0.00,0.00,0.00,0.00,0.00
May,460.02,0.00,810.21,0.00,304.12,0.00,0.00,4734.12,0.00,0.00,0.00,0.00,0.00
June,440.34,0.00,779.89,0.00,310.18,0.00,0.00,4807.36,0.00,0.00,0.00,0.00,0.00
July,422.52,0.00,777.79,0.00,237.47,0.00,0.00,3517.40,0.00,0.00,0.00,0.00,0.00
August,460.02,0.00,810.21,0.00,240.42,0.00,0.00,3521.70,0.00,0.00,0.00,0.00,0.00
September,421.99,0.00,751.74,0.00,226.98,0.00,0.00,3342.29,0.00,0.00,0.00,0.00,0.00
October,440.87,0.00,805.94,0.00,154.26,0.00,0.00,2194.98,0.00,0.00,0.00,0.00,0.00
November,440.34,0.00,779.89,0.00,63.92,0.00,0.13,866.17,0.00,0.00,0.00,0.00,0.00
December,422.52,0.00,777.79,0.00,28.28,0.00,183.35,240.77,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5213.33,,9376.35,,1963.82,,520.48,28657.13,,,,,
Minimum of Months,400.98,0.00,719.25,0.00,28.28,0.00,0.00,144.23,0.00,0.00,0.00,0.00,0.00
Maximum of Months,460.02,0.00,810.21,0.00,310.18,0.00,317.86,4807.36,0.00,0.00,0.00,0.00,0.00
