Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.404229E+02,0.000000E+00,4.853926E-02,0.000000E+00,5.009497E+02,0.000000E+00,2.585293E-02,0.000000E+00,7.477351E+02,0.000000E+00,3.858724E-02,0.000000E+00,6.655603E+02,0.000000E+00,3.434726E-02,0.000000E+00,4.301333E+03,0.000000E+00,2.219488E-01,0.000000E+00
00:30:00,1.026767E+03,0.000000E+00,5.299839E-02,0.000000E+00,5.969900E+02,0.000000E+00,3.080846E-02,0.000000E+00,8.348721E+02,0.000000E+00,4.308264E-02,0.000000E+00,7.727397E+02,0.000000E+00,3.987715E-02,0.000000E+00,4.539407E+03,0.000000E+00,2.342253E-01,0.000000E+00
00:45:00,1.082803E+03,0.000000E+00,5.589310E-02,0.000000E+00,6.905276E+02,0.000000E+00,3.563474E-02,0.000000E+00,9.195712E+02,0.000000E+00,4.745215E-02,0.000000E+00,8.769061E+02,0.000000E+00,4.525145E-02,0.000000E+00,4.770165E+03,0.000000E+00,2.461241E-01,0.000000E+00
01:00:00,1.135466E+03,0.000000E+00,5.861358E-02,0.000000E+00,7.814559E+02,0.000000E+00,4.032627E-02,0.000000E+00,1.001629E+03,0.000000E+00,5.168525E-02,0.000000E+00,9.779050E+02,0.000000E+00,5.046215E-02,0.000000E+00,4.993520E+03,0.000000E+00,2.576405E-01,0.000000E+00
01:15:00,1.128333E+03,0.000000E+00,5.824540E-02,0.000000E+00,8.163467E+02,0.000000E+00,4.212644E-02,0.000000E+00,1.030576E+03,0.000000E+00,5.317845E-02,0.000000E+00,1.015876E+03,0.000000E+00,5.242105E-02,0.000000E+00,5.047639E+03,0.000000E+00,2.604307E-01,0.000000E+00
01:30:00,1.118450E+03,0.000000E+00,5.773505E-02,0.000000E+00,8.500516E+02,0.000000E+00,4.386532E-02,0.000000E+00,1.058901E+03,0.000000E+00,5.463940E-02,0.000000E+00,1.052246E+03,0.000000E+00,5.429723E-02,0.000000E+00,5.101202E+03,0.000000E+00,2.631913E-01,0.000000E+00
01:45:00,1.137339E+03,0.000000E+00,5.870978E-02,0.000000E+00,8.818640E+02,0.000000E+00,4.550647E-02,0.000000E+00,1.088008E+03,0.000000E+00,5.614064E-02,0.000000E+00,1.087410E+03,0.000000E+00,5.611101E-02,0.000000E+00,5.155261E+03,0.000000E+00,2.659777E-01,0.000000E+00
02:00:00,1.157912E+03,0.000000E+00,5.977161E-02,0.000000E+00,9.148445E+02,0.000000E+00,4.720779E-02,0.000000E+00,1.118236E+03,0.000000E+00,5.769973E-02,0.000000E+00,1.123033E+03,0.000000E+00,5.794846E-02,0.000000E+00,5.210167E+03,0.000000E+00,2.688083E-01,0.000000E+00
02:15:00,1.179591E+03,0.000000E+00,6.089049E-02,0.000000E+00,9.489342E+02,0.000000E+00,4.896644E-02,0.000000E+00,1.150281E+03,0.000000E+00,5.935254E-02,0.000000E+00,1.159602E+03,0.000000E+00,5.983471E-02,0.000000E+00,5.266167E+03,0.000000E+00,2.716957E-01,0.000000E+00
02:30:00,1.239096E+03,0.000000E+00,6.396185E-02,0.000000E+00,9.845604E+02,0.000000E+00,5.080439E-02,0.000000E+00,1.183617E+03,0.000000E+00,6.107202E-02,0.000000E+00,1.197543E+03,0.000000E+00,6.179180E-02,0.000000E+00,5.323568E+03,0.000000E+00,2.746558E-01,0.000000E+00
02:45:00,1.304505E+03,0.000000E+00,6.733809E-02,0.000000E+00,1.022801E+03,0.000000E+00,5.277727E-02,0.000000E+00,1.217124E+03,0.000000E+00,6.280017E-02,0.000000E+00,1.236826E+03,0.000000E+00,6.381805E-02,0.000000E+00,5.381591E+03,0.000000E+00,2.776480E-01,0.000000E+00
03:00:00,1.373515E+03,0.000000E+00,7.090012E-02,0.000000E+00,1.060808E+03,0.000000E+00,5.473804E-02,0.000000E+00,1.250301E+03,0.000000E+00,6.451116E-02,0.000000E+00,1.275860E+03,0.000000E+00,6.583136E-02,0.000000E+00,5.440018E+03,0.000000E+00,2.806610E-01,0.000000E+00
03:15:00,1.442331E+03,0.000000E+00,7.445205E-02,0.000000E+00,1.098855E+03,0.000000E+00,5.670077E-02,0.000000E+00,1.283399E+03,0.000000E+00,6.621768E-02,0.000000E+00,1.314129E+03,0.000000E+00,6.780498E-02,0.000000E+00,5.498732E+03,0.000000E+00,2.836886E-01,0.000000E+00
03:30:00,1.474022E+03,0.000000E+00,7.608739E-02,0.000000E+00,1.136781E+03,0.000000E+00,5.865713E-02,0.000000E+00,1.317369E+03,0.000000E+00,6.796953E-02,0.000000E+00,1.350701E+03,0.000000E+00,6.969072E-02,0.000000E+00,5.557724E+03,0.000000E+00,2.867304E-01,0.000000E+00
03:45:00,1.459499E+03,0.000000E+00,7.533709E-02,0.000000E+00,1.174426E+03,0.000000E+00,6.059884E-02,0.000000E+00,1.352409E+03,0.000000E+00,6.977717E-02,0.000000E+00,1.387574E+03,0.000000E+00,7.159118E-02,0.000000E+00,5.616827E+03,0.000000E+00,2.897775E-01,0.000000E+00
04:00:00,1.438105E+03,0.000000E+00,7.423209E-02,0.000000E+00,1.211797E+03,0.000000E+00,6.252630E-02,0.000000E+00,1.389200E+03,0.000000E+00,7.167554E-02,0.000000E+00,1.424998E+03,0.000000E+00,7.352094E-02,0.000000E+00,5.676004E+03,0.000000E+00,2.928277E-01,0.000000E+00
04:15:00,1.414224E+03,0.000000E+00,7.299890E-02,0.000000E+00,1.248788E+03,0.000000E+00,6.443409E-02,0.000000E+00,1.427425E+03,0.000000E+00,7.364855E-02,0.000000E+00,1.463742E+03,0.000000E+00,7.551932E-02,0.000000E+00,5.735175E+03,0.000000E+00,2.958771E-01,0.000000E+00
04:30:00,1.388087E+03,0.000000E+00,7.164936E-02,0.000000E+00,1.285293E+03,0.000000E+00,6.631662E-02,0.000000E+00,1.466348E+03,0.000000E+00,7.565746E-02,0.000000E+00,1.505201E+03,0.000000E+00,7.765849E-02,0.000000E+00,5.794345E+03,0.000000E+00,2.989257E-01,0.000000E+00
04:45:00,1.400657E+03,0.000000E+00,7.229797E-02,0.000000E+00,1.320877E+03,0.000000E+00,6.815147E-02,0.000000E+00,1.505874E+03,0.000000E+00,7.769719E-02,0.000000E+00,1.547538E+03,0.000000E+00,7.984404E-02,0.000000E+00,5.853533E+03,0.000000E+00,3.019752E-01,0.000000E+00
05:00:00,1.414806E+03,0.000000E+00,7.302822E-02,0.000000E+00,1.354942E+03,0.000000E+00,6.990750E-02,0.000000E+00,1.545894E+03,0.000000E+00,7.976222E-02,0.000000E+00,1.590914E+03,0.000000E+00,8.208269E-02,0.000000E+00,5.912711E+03,0.000000E+00,3.050242E-01,0.000000E+00
05:15:00,1.429725E+03,0.000000E+00,7.379824E-02,0.000000E+00,1.389209E+03,0.000000E+00,7.167349E-02,0.000000E+00,1.586306E+03,0.000000E+00,8.184735E-02,0.000000E+00,1.635111E+03,0.000000E+00,8.436349E-02,0.000000E+00,5.971568E+03,0.000000E+00,3.080567E-01,0.000000E+00
05:30:00,1.445173E+03,0.000000E+00,7.459554E-02,0.000000E+00,1.424115E+03,0.000000E+00,7.347332E-02,0.000000E+00,1.627014E+03,0.000000E+00,8.394773E-02,0.000000E+00,1.679861E+03,0.000000E+00,8.667277E-02,0.000000E+00,6.030066E+03,0.000000E+00,3.110708E-01,0.000000E+00
05:45:00,1.461004E+03,0.000000E+00,7.541261E-02,0.000000E+00,1.460304E+03,0.000000E+00,7.534012E-02,0.000000E+00,1.667931E+03,0.000000E+00,8.605885E-02,0.000000E+00,1.725023E+03,0.000000E+00,8.900317E-02,0.000000E+00,6.088150E+03,0.000000E+00,3.140634E-01,0.000000E+00
06:00:00,1.477171E+03,0.000000E+00,7.624698E-02,0.000000E+00,1.498570E+03,0.000000E+00,7.731486E-02,0.000000E+00,1.708997E+03,0.000000E+00,8.817762E-02,0.000000E+00,1.770495E+03,0.000000E+00,9.134941E-02,0.000000E+00,6.145812E+03,0.000000E+00,3.170342E-01,0.000000E+00
06:15:00,1.345516E+03,0.000000E+00,6.945122E-02,0.000000E+00,1.265429E+03,0.000000E+00,6.528745E-02,0.000000E+00,1.477980E+03,0.000000E+00,7.625797E-02,0.000000E+00,1.543560E+03,0.000000E+00,7.964065E-02,0.000000E+00,4.630985E+03,0.000000E+00,2.388898E-01,0.000000E+00
