Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.266004E+02,0.000000E+00,4.781823E-02,0.000000E+00,1.474186E+03,0.000000E+00,7.607447E-02,0.000000E+00,1.689608E+03,0.000000E+00,8.719169E-02,0.000000E+00,1.370198E+03,0.000000E+00,7.070751E-02,0.000000E+00,4.774551E+03,0.000000E+00,2.463583E-01,0.000000E+00
00:30:00,1.070052E+03,0.000000E+00,5.521956E-02,0.000000E+00,1.613982E+03,0.000000E+00,8.328710E-02,0.000000E+00,1.828822E+03,0.000000E+00,9.437404E-02,0.000000E+00,1.507901E+03,0.000000E+00,7.781228E-02,0.000000E+00,5.093124E+03,0.000000E+00,2.627824E-01,0.000000E+00
00:45:00,1.212067E+03,0.000000E+00,6.254665E-02,0.000000E+00,1.754038E+03,0.000000E+00,9.051307E-02,0.000000E+00,1.967887E+03,0.000000E+00,1.015487E-01,0.000000E+00,1.646407E+03,0.000000E+00,8.495845E-02,0.000000E+00,5.405223E+03,0.000000E+00,2.788708E-01,0.000000E+00
01:00:00,1.352297E+03,0.000000E+00,6.978151E-02,0.000000E+00,1.894145E+03,0.000000E+00,9.774166E-02,0.000000E+00,2.106654E+03,0.000000E+00,1.087080E-01,0.000000E+00,1.785389E+03,0.000000E+00,9.212910E-02,0.000000E+00,5.709581E+03,0.000000E+00,2.945575E-01,0.000000E+00
01:15:00,1.413783E+03,0.000000E+00,7.295385E-02,0.000000E+00,1.956195E+03,0.000000E+00,1.009436E-01,0.000000E+00,2.167096E+03,0.000000E+00,1.118269E-01,0.000000E+00,1.847893E+03,0.000000E+00,9.535452E-02,0.000000E+00,5.807870E+03,0.000000E+00,2.996175E-01,0.000000E+00
01:30:00,1.472747E+03,0.000000E+00,7.599582E-02,0.000000E+00,2.018495E+03,0.000000E+00,1.041583E-01,0.000000E+00,2.227685E+03,0.000000E+00,1.149533E-01,0.000000E+00,1.910774E+03,0.000000E+00,9.859924E-02,0.000000E+00,5.907906E+03,0.000000E+00,3.047671E-01,0.000000E+00
01:45:00,1.531999E+03,0.000000E+00,7.905205E-02,0.000000E+00,2.080968E+03,0.000000E+00,1.073818E-01,0.000000E+00,2.288357E+03,0.000000E+00,1.180838E-01,0.000000E+00,1.973938E+03,0.000000E+00,1.018584E-01,0.000000E+00,6.010417E+03,0.000000E+00,3.100500E-01,0.000000E+00
02:00:00,1.591800E+03,0.000000E+00,8.213721E-02,0.000000E+00,2.143536E+03,0.000000E+00,1.106102E-01,0.000000E+00,2.349042E+03,0.000000E+00,1.212150E-01,0.000000E+00,2.037290E+03,0.000000E+00,1.051273E-01,0.000000E+00,6.116717E+03,0.000000E+00,3.155337E-01,0.000000E+00
02:15:00,1.653136E+03,0.000000E+00,8.530187E-02,0.000000E+00,2.206341E+03,0.000000E+00,1.138508E-01,0.000000E+00,2.409896E+03,0.000000E+00,1.243549E-01,0.000000E+00,2.100957E+03,0.000000E+00,1.084125E-01,0.000000E+00,6.226681E+03,0.000000E+00,3.212133E-01,0.000000E+00
02:30:00,1.717555E+03,0.000000E+00,8.862597E-02,0.000000E+00,2.269233E+03,0.000000E+00,1.170959E-01,0.000000E+00,2.470781E+03,0.000000E+00,1.274964E-01,0.000000E+00,2.164778E+03,0.000000E+00,1.117056E-01,0.000000E+00,6.337852E+03,0.000000E+00,3.269577E-01,0.000000E+00
02:45:00,1.782573E+03,0.000000E+00,9.198163E-02,0.000000E+00,2.332186E+03,0.000000E+00,1.203443E-01,0.000000E+00,2.531683E+03,0.000000E+00,1.306389E-01,0.000000E+00,2.228716E+03,0.000000E+00,1.150048E-01,0.000000E+00,6.450099E+03,0.000000E+00,3.327550E-01,0.000000E+00
03:00:00,1.848333E+03,0.000000E+00,9.537523E-02,0.000000E+00,2.395181E+03,0.000000E+00,1.235948E-01,0.000000E+00,2.592586E+03,0.000000E+00,1.337815E-01,0.000000E+00,2.292746E+03,0.000000E+00,1.183087E-01,0.000000E+00,6.563344E+03,0.000000E+00,3.386019E-01,0.000000E+00
03:15:00,1.914534E+03,0.000000E+00,9.879141E-02,0.000000E+00,2.458069E+03,0.000000E+00,1.268398E-01,0.000000E+00,2.653350E+03,0.000000E+00,1.369168E-01,0.000000E+00,2.356710E+03,0.000000E+00,1.216093E-01,0.000000E+00,6.677435E+03,0.000000E+00,3.444915E-01,0.000000E+00
03:30:00,1.981113E+03,0.000000E+00,1.022270E-01,0.000000E+00,2.520902E+03,0.000000E+00,1.300820E-01,0.000000E+00,2.714028E+03,0.000000E+00,1.400478E-01,0.000000E+00,2.420658E+03,0.000000E+00,1.249090E-01,0.000000E+00,6.792423E+03,0.000000E+00,3.504266E-01,0.000000E+00
03:45:00,2.047921E+03,0.000000E+00,1.056745E-01,0.000000E+00,2.583622E+03,0.000000E+00,1.333183E-01,0.000000E+00,2.774566E+03,0.000000E+00,1.431715E-01,0.000000E+00,2.484524E+03,0.000000E+00,1.282044E-01,0.000000E+00,6.908141E+03,0.000000E+00,3.563985E-01,0.000000E+00
04:00:00,2.114830E+03,0.000000E+00,1.091270E-01,0.000000E+00,2.646176E+03,0.000000E+00,1.365460E-01,0.000000E+00,2.834918E+03,0.000000E+00,1.462855E-01,0.000000E+00,2.548249E+03,0.000000E+00,1.314925E-01,0.000000E+00,7.024441E+03,0.000000E+00,3.623997E-01,0.000000E+00
04:15:00,2.181761E+03,0.000000E+00,1.125805E-01,0.000000E+00,2.708544E+03,0.000000E+00,1.397639E-01,0.000000E+00,2.895068E+03,0.000000E+00,1.493889E-01,0.000000E+00,2.611809E+03,0.000000E+00,1.347720E-01,0.000000E+00,7.141258E+03,0.000000E+00,3.684267E-01,0.000000E+00
04:30:00,2.248647E+03,0.000000E+00,1.160316E-01,0.000000E+00,2.770705E+03,0.000000E+00,1.429710E-01,0.000000E+00,2.954998E+03,0.000000E+00,1.524809E-01,0.000000E+00,2.675179E+03,0.000000E+00,1.380416E-01,0.000000E+00,7.258520E+03,0.000000E+00,3.744758E-01,0.000000E+00
04:45:00,2.315431E+03,0.000000E+00,1.194773E-01,0.000000E+00,2.832642E+03,0.000000E+00,1.461666E-01,0.000000E+00,3.014693E+03,0.000000E+00,1.555606E-01,0.000000E+00,2.738338E+03,0.000000E+00,1.413002E-01,0.000000E+00,7.376169E+03,0.000000E+00,3.805447E-01,0.000000E+00
05:00:00,2.382063E+03,0.000000E+00,1.229151E-01,0.000000E+00,2.894339E+03,0.000000E+00,1.493496E-01,0.000000E+00,3.074140E+03,0.000000E+00,1.586275E-01,0.000000E+00,2.801267E+03,0.000000E+00,1.445468E-01,0.000000E+00,7.494147E+03,0.000000E+00,3.866304E-01,0.000000E+00
05:15:00,2.448420E+03,0.000000E+00,1.263388E-01,0.000000E+00,2.955700E+03,0.000000E+00,1.525154E-01,0.000000E+00,3.133244E+03,0.000000E+00,1.616768E-01,0.000000E+00,2.863867E+03,0.000000E+00,1.477765E-01,0.000000E+00,7.611999E+03,0.000000E+00,3.927097E-01,0.000000E+00
05:30:00,2.514464E+03,0.000000E+00,1.297462E-01,0.000000E+00,3.016710E+03,0.000000E+00,1.556630E-01,0.000000E+00,3.191992E+03,0.000000E+00,1.647076E-01,0.000000E+00,2.926121E+03,0.000000E+00,1.509884E-01,0.000000E+00,7.729667E+03,0.000000E+00,3.987796E-01,0.000000E+00
05:45:00,2.580158E+03,0.000000E+00,1.331357E-01,0.000000E+00,3.077357E+03,0.000000E+00,1.587919E-01,0.000000E+00,3.250372E+03,0.000000E+00,1.677195E-01,0.000000E+00,2.988014E+03,0.000000E+00,1.541816E-01,0.000000E+00,7.847097E+03,0.000000E+00,4.048371E-01,0.000000E+00
06:00:00,2.645472E+03,0.000000E+00,1.365054E-01,0.000000E+00,3.137627E+03,0.000000E+00,1.619014E-01,0.000000E+00,3.308371E+03,0.000000E+00,1.707117E-01,0.000000E+00,3.049532E+03,0.000000E+00,1.573554E-01,0.000000E+00,7.964237E+03,0.000000E+00,4.108796E-01,0.000000E+00
06:15:00,2.437223E+03,0.000000E+00,1.257595E-01,0.000000E+00,2.924329E+03,0.000000E+00,1.508948E-01,0.000000E+00,3.092820E+03,0.000000E+00,1.595889E-01,0.000000E+00,2.837483E+03,0.000000E+00,1.464134E-01,0.000000E+00,6.485425E+03,0.000000E+00,3.345864E-01,0.000000E+00
06:30:00,2.225003E+03,0.000000E+00,1.148109E-01,0.000000E+00,2.707066E+03,0.000000E+00,1.396859E-01,0.000000E+00,2.873330E+03,0.000000E+00,1.482650E-01,0.000000E+00,2.621472E+03,0.000000E+00,1.352692E-01,0.000000E+00,4.997570E+03,0.000000E+00,2.578352E-01,0.000000E+00
06:45:00,2.008643E+03,0.000000E+00,1.036499E-01,0.000000E+00,2.485697E+03,0.000000E+00,1.282670E-01,0.000000E+00,2.649764E+03,0.000000E+00,1.367330E-01,0.000000E+00,2.401355E+03,0.000000E+00,1.239148E-01,0.000000E+00,3.499700E+03,0.000000E+00,1.805685E-01,0.000000E+00
07:00:00,1.788033E+03,0.000000E+00,9.227061E-02,0.000000E+00,2.260118E+03,0.000000E+00,1.166324E-01,0.000000E+00,2.422017E+03,0.000000E+00,1.249869E-01,0.000000E+00,2.177028E+03,0.000000E+00,1.123445E-01,0.000000E+00,1.991869E+03,0.000000E+00,1.027888E-01,0.000000E+00
07:15:00,1.836179E+03,0.000000E+00,9.475981E-02,0.000000E+00,2.303380E+03,0.000000E+00,1.188709E-01,0.000000E+00,2.463117E+03,0.000000E+00,1.271145E-01,0.000000E+00,2.221536E+03,0.000000E+00,1.146472E-01,0.000000E+00,2.069980E+03,0.000000E+00,1.068295E-01,0.000000E+00
07:30:00,1.878485E+03,0.000000E+00,9.694616E-02,0.000000E+00,2.338944E+03,0.000000E+00,1.207110E-01,0.000000E+00,2.500422E+03,0.000000E+00,1.290450E-01,0.000000E+00,2.262090E+03,0.000000E+00,1.167444E-01,0.000000E+00,2.146836E+03,0.000000E+00,1.107977E-01,0.000000E+00
07:45:00,1.898203E+03,0.000000E+00,9.796614E-02,0.000000E+00,2.339383E+03,0.000000E+00,1.207370E-01,0.000000E+00,2.531953E+03,0.000000E+00,1.306761E-01,0.000000E+00,2.296652E+03,0.000000E+00,1.185314E-01,0.000000E+00,2.222367E+03,0.000000E+00,1.146974E-01,0.000000E+00
08:00:00,1.888758E+03,0.000000E+00,9.748060E-02,0.000000E+00,2.301084E+03,0.000000E+00,1.187628E-01,0.000000E+00,2.555673E+03,0.000000E+00,1.319030E-01,0.000000E+00,2.323188E+03,0.000000E+00,1.199034E-01,0.000000E+00,2.294142E+03,0.000000E+00,1.184030E-01,0.000000E+00
08:15:00,1.847269E+03,2.361967E+03,9.534081E-02,1.565499E-01,2.225805E+03,2.520868E+03,1.148792E-01,1.624529E-01,2.570249E+03,2.441908E+03,1.326572E-01,1.607016E-01,2.340549E+03,2.656635E+03,1.208012E-01,1.768951E-01,2.360413E+03,5.609264E+03,1.218245E-01,4.103354E-01
