Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.334690E+03,0.000000E+00,1.204812E-01,0.000000E+00,2.823891E+03,0.000000E+00,1.457264E-01,0.000000E+00,3.040178E+03,0.000000E+00,1.568878E-01,0.000000E+00,2.758788E+03,0.000000E+00,1.423668E-01,0.000000E+00,7.430009E+03,0.000000E+00,3.833963E-01,0.000000E+00
00:30:00,2.464086E+03,0.000000E+00,1.271564E-01,0.000000E+00,2.947586E+03,0.000000E+00,1.521071E-01,0.000000E+00,3.159805E+03,0.000000E+00,1.630582E-01,0.000000E+00,2.882806E+03,0.000000E+00,1.487642E-01,0.000000E+00,7.735439E+03,0.000000E+00,3.991470E-01,0.000000E+00
00:45:00,2.592564E+03,0.000000E+00,1.337843E-01,0.000000E+00,3.070409E+03,0.000000E+00,1.584428E-01,0.000000E+00,3.278537E+03,0.000000E+00,1.691826E-01,0.000000E+00,3.005976E+03,0.000000E+00,1.551179E-01,0.000000E+00,8.035708E+03,0.000000E+00,4.146312E-01,0.000000E+00
01:00:00,2.720044E+03,0.000000E+00,1.403605E-01,0.000000E+00,3.192291E+03,0.000000E+00,1.647299E-01,0.000000E+00,3.396269E+03,0.000000E+00,1.752552E-01,0.000000E+00,3.128227E+03,0.000000E+00,1.614240E-01,0.000000E+00,8.330740E+03,0.000000E+00,4.298450E-01,0.000000E+00
01:15:00,2.771077E+03,0.000000E+00,1.429939E-01,0.000000E+00,3.238348E+03,0.000000E+00,1.671064E-01,0.000000E+00,3.439275E+03,0.000000E+00,1.774741E-01,0.000000E+00,3.175028E+03,0.000000E+00,1.638390E-01,0.000000E+00,8.419985E+03,0.000000E+00,4.344486E-01,0.000000E+00
01:30:00,2.821927E+03,0.000000E+00,1.456175E-01,0.000000E+00,3.284298E+03,0.000000E+00,1.694771E-01,0.000000E+00,3.482201E+03,0.000000E+00,1.796886E-01,0.000000E+00,3.221745E+03,0.000000E+00,1.662493E-01,0.000000E+00,8.509616E+03,0.000000E+00,4.390709E-01,0.000000E+00
01:45:00,2.872562E+03,0.000000E+00,1.482298E-01,0.000000E+00,3.330119E+03,0.000000E+00,1.718410E-01,0.000000E+00,3.525055E+03,0.000000E+00,1.818992E-01,0.000000E+00,3.268351E+03,0.000000E+00,1.686537E-01,0.000000E+00,8.599594E+03,0.000000E+00,4.437110E-01,0.000000E+00
02:00:00,2.922938E+03,0.000000E+00,1.508289E-01,0.000000E+00,3.375775E+03,0.000000E+00,1.741964E-01,0.000000E+00,3.567857E+03,0.000000E+00,1.841073E-01,0.000000E+00,3.314810E+03,0.000000E+00,1.710506E-01,0.000000E+00,8.689849E+03,0.000000E+00,4.483659E-01,0.000000E+00
02:15:00,2.973237E+03,0.000000E+00,1.534240E-01,0.000000E+00,3.421458E+03,0.000000E+00,1.765533E-01,0.000000E+00,3.610831E+03,0.000000E+00,1.863244E-01,0.000000E+00,3.361312E+03,0.000000E+00,1.734497E-01,0.000000E+00,8.780297E+03,0.000000E+00,4.530312E-01,0.000000E+00
02:30:00,3.023424E+03,0.000000E+00,1.560134E-01,0.000000E+00,3.467142E+03,0.000000E+00,1.789104E-01,0.000000E+00,3.653905E+03,0.000000E+00,1.885469E-01,0.000000E+00,3.407832E+03,0.000000E+00,1.758499E-01,0.000000E+00,8.870877E+03,0.000000E+00,4.577039E-01,0.000000E+00
02:45:00,3.073457E+03,0.000000E+00,1.585949E-01,0.000000E+00,3.512796E+03,0.000000E+00,1.812659E-01,0.000000E+00,3.697055E+03,0.000000E+00,1.907734E-01,0.000000E+00,3.454342E+03,0.000000E+00,1.782497E-01,0.000000E+00,8.961527E+03,0.000000E+00,4.623804E-01,0.000000E+00
03:00:00,3.123290E+03,0.000000E+00,1.611661E-01,0.000000E+00,3.558381E+03,0.000000E+00,1.836179E-01,0.000000E+00,3.740264E+03,0.000000E+00,1.930030E-01,0.000000E+00,3.500818E+03,0.000000E+00,1.806477E-01,0.000000E+00,9.052207E+03,0.000000E+00,4.670584E-01,0.000000E+00
03:15:00,3.172732E+03,0.000000E+00,1.637171E-01,0.000000E+00,3.603682E+03,0.000000E+00,1.859552E-01,0.000000E+00,3.783402E+03,0.000000E+00,1.952289E-01,0.000000E+00,3.547121E+03,0.000000E+00,1.830368E-01,0.000000E+00,9.142875E+03,0.000000E+00,4.717359E-01,0.000000E+00
03:30:00,3.221748E+03,0.000000E+00,1.662461E-01,0.000000E+00,3.648787E+03,0.000000E+00,1.882822E-01,0.000000E+00,3.826457E+03,0.000000E+00,1.974505E-01,0.000000E+00,3.593224E+03,0.000000E+00,1.854155E-01,0.000000E+00,9.233512E+03,0.000000E+00,4.764117E-01,0.000000E+00
03:45:00,3.270572E+03,0.000000E+00,1.687651E-01,0.000000E+00,3.693728E+03,0.000000E+00,1.906008E-01,0.000000E+00,3.869422E+03,0.000000E+00,1.996674E-01,0.000000E+00,3.639082E+03,0.000000E+00,1.877815E-01,0.000000E+00,9.324105E+03,0.000000E+00,4.810849E-01,0.000000E+00
04:00:00,3.319285E+03,0.000000E+00,1.712784E-01,0.000000E+00,3.738542E+03,0.000000E+00,1.929128E-01,0.000000E+00,3.912294E+03,0.000000E+00,2.018794E-01,0.000000E+00,3.684648E+03,0.000000E+00,1.901322E-01,0.000000E+00,9.414653E+03,0.000000E+00,4.857551E-01,0.000000E+00
04:15:00,3.368007E+03,0.000000E+00,1.737920E-01,0.000000E+00,3.783344E+03,0.000000E+00,1.952241E-01,0.000000E+00,3.955077E+03,0.000000E+00,2.040866E-01,0.000000E+00,3.730028E+03,0.000000E+00,1.924732E-01,0.000000E+00,9.505177E+03,0.000000E+00,4.904234E-01,0.000000E+00
04:30:00,3.416821E+03,0.000000E+00,1.763104E-01,0.000000E+00,3.828056E+03,0.000000E+00,1.975307E-01,0.000000E+00,3.997770E+03,0.000000E+00,2.062890E-01,0.000000E+00,3.775260E+03,0.000000E+00,1.948064E-01,0.000000E+00,9.595677E+03,0.000000E+00,4.950900E-01,0.000000E+00
04:45:00,3.465546E+03,0.000000E+00,1.788241E-01,0.000000E+00,3.872674E+03,0.000000E+00,1.998324E-01,0.000000E+00,4.040374E+03,0.000000E+00,2.084866E-01,0.000000E+00,3.820403E+03,0.000000E+00,1.971349E-01,0.000000E+00,9.686162E+03,0.000000E+00,4.997555E-01,0.000000E+00
05:00:00,3.514171E+03,0.000000E+00,1.813326E-01,0.000000E+00,3.917193E+03,0.000000E+00,2.021290E-01,0.000000E+00,4.082886E+03,0.000000E+00,2.106796E-01,0.000000E+00,3.865526E+03,0.000000E+00,1.994626E-01,0.000000E+00,9.776625E+03,0.000000E+00,5.044201E-01,0.000000E+00
05:15:00,3.562598E+03,0.000000E+00,1.838309E-01,0.000000E+00,3.961528E+03,0.000000E+00,2.044161E-01,0.000000E+00,4.125224E+03,0.000000E+00,2.128636E-01,0.000000E+00,3.910469E+03,0.000000E+00,2.017811E-01,0.000000E+00,9.866662E+03,0.000000E+00,5.090628E-01,0.000000E+00
05:30:00,3.610815E+03,0.000000E+00,1.863184E-01,0.000000E+00,4.005677E+03,0.000000E+00,2.066937E-01,0.000000E+00,4.167385E+03,0.000000E+00,2.150385E-01,0.000000E+00,3.955226E+03,0.000000E+00,2.040900E-01,0.000000E+00,9.956263E+03,0.000000E+00,5.136833E-01,0.000000E+00
05:45:00,3.658809E+03,0.000000E+00,1.887943E-01,0.000000E+00,4.049635E+03,0.000000E+00,2.089613E-01,0.000000E+00,4.209366E+03,0.000000E+00,2.172041E-01,0.000000E+00,3.999791E+03,0.000000E+00,2.063891E-01,0.000000E+00,1.004541E+04,0.000000E+00,5.182806E-01,0.000000E+00
06:00:00,3.706569E+03,0.000000E+00,1.912582E-01,0.000000E+00,4.093398E+03,0.000000E+00,2.112190E-01,0.000000E+00,4.251165E+03,0.000000E+00,2.193604E-01,0.000000E+00,4.044161E+03,0.000000E+00,2.086780E-01,0.000000E+00,1.013411E+04,0.000000E+00,5.228542E-01,0.000000E+00
06:15:00,3.480891E+03,0.000000E+00,1.796128E-01,0.000000E+00,3.863761E+03,0.000000E+00,1.993693E-01,0.000000E+00,4.019600E+03,0.000000E+00,2.074111E-01,0.000000E+00,3.815131E+03,0.000000E+00,1.968597E-01,0.000000E+00,8.626691E+03,0.000000E+00,4.450799E-01,0.000000E+00
06:30:00,3.251373E+03,0.000000E+00,1.677715E-01,0.000000E+00,3.630322E+03,0.000000E+00,1.873257E-01,0.000000E+00,3.784271E+03,0.000000E+00,1.952699E-01,0.000000E+00,3.582298E+03,0.000000E+00,1.848474E-01,0.000000E+00,7.109917E+03,0.000000E+00,3.668346E-01,0.000000E+00
06:45:00,3.017892E+03,0.000000E+00,1.557286E-01,0.000000E+00,3.392966E+03,0.000000E+00,1.750834E-01,0.000000E+00,3.545069E+03,0.000000E+00,1.829326E-01,0.000000E+00,3.345547E+03,0.000000E+00,1.726364E-01,0.000000E+00,5.583119E+03,0.000000E+00,2.880762E-01,0.000000E+00
07:00:00,2.780329E+03,0.000000E+00,1.434771E-01,0.000000E+00,3.151569E+03,0.000000E+00,1.626352E-01,0.000000E+00,3.301867E+03,0.000000E+00,1.703916E-01,0.000000E+00,3.104755E+03,0.000000E+00,1.602192E-01,0.000000E+00,4.046288E+03,0.000000E+00,2.088030E-01,0.000000E+00
07:15:00,2.811747E+03,0.000000E+00,1.451064E-01,0.000000E+00,3.179202E+03,0.000000E+00,1.640704E-01,0.000000E+00,3.327718E+03,0.000000E+00,1.717353E-01,0.000000E+00,3.132988E+03,0.000000E+00,1.616853E-01,0.000000E+00,4.095351E+03,0.000000E+00,2.113530E-01,0.000000E+00
