Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.245119E+02,0.000000E+00,4.771041E-02,0.000000E+00,1.467857E+03,0.000000E+00,7.574782E-02,0.000000E+00,1.681789E+03,0.000000E+00,8.678812E-02,0.000000E+00,1.364658E+03,0.000000E+00,7.042153E-02,0.000000E+00,4.781645E+03,0.000000E+00,2.467229E-01,0.000000E+00
00:30:00,1.066686E+03,0.000000E+00,5.504582E-02,0.000000E+00,1.606383E+03,0.000000E+00,8.289484E-02,0.000000E+00,1.819706E+03,0.000000E+00,9.390354E-02,0.000000E+00,1.501121E+03,0.000000E+00,7.746231E-02,0.000000E+00,5.095722E+03,0.000000E+00,2.629146E-01,0.000000E+00
00:45:00,1.207420E+03,0.000000E+00,6.230681E-02,0.000000E+00,1.745147E+03,0.000000E+00,9.005420E-02,0.000000E+00,1.957460E+03,0.000000E+00,1.010106E-01,0.000000E+00,1.638361E+03,0.000000E+00,8.454317E-02,0.000000E+00,5.403263E+03,0.000000E+00,2.787674E-01,0.000000E+00
01:00:00,1.346372E+03,0.000000E+00,6.947567E-02,0.000000E+00,1.883947E+03,0.000000E+00,9.721533E-02,0.000000E+00,2.094903E+03,0.000000E+00,1.081015E-01,0.000000E+00,1.776055E+03,0.000000E+00,9.164734E-02,0.000000E+00,5.702955E+03,0.000000E+00,2.942126E-01,0.000000E+00
01:15:00,1.407195E+03,0.000000E+00,7.261382E-02,0.000000E+00,1.945295E+03,0.000000E+00,1.003810E-01,0.000000E+00,2.154640E+03,0.000000E+00,1.111840E-01,0.000000E+00,1.837855E+03,0.000000E+00,9.483643E-02,0.000000E+00,5.798776E+03,0.000000E+00,2.991445E-01,0.000000E+00
01:30:00,1.465362E+03,0.000000E+00,7.561467E-02,0.000000E+00,2.006891E+03,0.000000E+00,1.035594E-01,0.000000E+00,2.214522E+03,0.000000E+00,1.142739E-01,0.000000E+00,1.900029E+03,0.000000E+00,9.804464E-02,0.000000E+00,5.896368E+03,0.000000E+00,3.041680E-01,0.000000E+00
01:45:00,1.523906E+03,0.000000E+00,7.863426E-02,0.000000E+00,2.068659E+03,0.000000E+00,1.067465E-01,0.000000E+00,2.274487E+03,0.000000E+00,1.173679E-01,0.000000E+00,1.962483E+03,0.000000E+00,1.012672E-01,0.000000E+00,5.996433E+03,0.000000E+00,3.093248E-01,0.000000E+00
02:00:00,1.582970E+03,0.000000E+00,8.168133E-02,0.000000E+00,2.130522E+03,0.000000E+00,1.099385E-01,0.000000E+00,2.334467E+03,0.000000E+00,1.204627E-01,0.000000E+00,2.025123E+03,0.000000E+00,1.044994E-01,0.000000E+00,6.100305E+03,0.000000E+00,3.146836E-01,0.000000E+00
02:15:00,1.643526E+03,0.000000E+00,8.480573E-02,0.000000E+00,2.192620E+03,0.000000E+00,1.131426E-01,0.000000E+00,2.394614E+03,0.000000E+00,1.235661E-01,0.000000E+00,2.088078E+03,0.000000E+00,1.077477E-01,0.000000E+00,6.207513E+03,0.000000E+00,3.202219E-01,0.000000E+00
02:30:00,1.707281E+03,0.000000E+00,8.809555E-02,0.000000E+00,2.254806E+03,0.000000E+00,1.163514E-01,0.000000E+00,2.454794E+03,0.000000E+00,1.266713E-01,0.000000E+00,2.151185E+03,0.000000E+00,1.110040E-01,0.000000E+00,6.315858E+03,0.000000E+00,3.258206E-01,0.000000E+00
