Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.314679E+03,0.000000E+00,1.194484E-01,0.000000E+00,2.800412E+03,0.000000E+00,1.445146E-01,0.000000E+00,3.014681E+03,0.000000E+00,1.555718E-01,0.000000E+00,2.735795E+03,0.000000E+00,1.411801E-01,0.000000E+00,7.342417E+03,0.000000E+00,3.788759E-01,0.000000E+00
00:30:00,2.443002E+03,0.000000E+00,1.260683E-01,0.000000E+00,2.923084E+03,0.000000E+00,1.508425E-01,0.000000E+00,3.133336E+03,0.000000E+00,1.616922E-01,0.000000E+00,2.858788E+03,0.000000E+00,1.475246E-01,0.000000E+00,7.644206E+03,0.000000E+00,3.944387E-01,0.000000E+00
00:45:00,2.570404E+03,0.000000E+00,1.326406E-01,0.000000E+00,3.044881E+03,0.000000E+00,1.571253E-01,0.000000E+00,3.251104E+03,0.000000E+00,1.677669E-01,0.000000E+00,2.980929E+03,0.000000E+00,1.538252E-01,0.000000E+00,7.940761E+03,0.000000E+00,4.097313E-01,0.000000E+00
01:00:00,2.696806E+03,0.000000E+00,1.391613E-01,0.000000E+00,3.165735E+03,0.000000E+00,1.633594E-01,0.000000E+00,3.367901E+03,0.000000E+00,1.737913E-01,0.000000E+00,3.102149E+03,0.000000E+00,1.600782E-01,0.000000E+00,8.232010E+03,0.000000E+00,4.247498E-01,0.000000E+00
01:15:00,2.747336E+03,0.000000E+00,1.417686E-01,0.000000E+00,3.211328E+03,0.000000E+00,1.657119E-01,0.000000E+00,3.410487E+03,0.000000E+00,1.759885E-01,0.000000E+00,3.148477E+03,0.000000E+00,1.624687E-01,0.000000E+00,8.319285E+03,0.000000E+00,4.292517E-01,0.000000E+00
01:30:00,2.797686E+03,0.000000E+00,1.443664E-01,0.000000E+00,3.256817E+03,0.000000E+00,1.680588E-01,0.000000E+00,3.452978E+03,0.000000E+00,1.781805E-01,0.000000E+00,3.194724E+03,0.000000E+00,1.648547E-01,0.000000E+00,8.406934E+03,0.000000E+00,4.337718E-01,0.000000E+00
01:45:00,2.847825E+03,0.000000E+00,1.469532E-01,0.000000E+00,3.302180E+03,0.000000E+00,1.703991E-01,0.000000E+00,3.495379E+03,0.000000E+00,1.803677E-01,0.000000E+00,3.240863E+03,0.000000E+00,1.672350E-01,0.000000E+00,8.494922E+03,0.000000E+00,4.383092E-01,0.000000E+00
02:00:00,2.897711E+03,0.000000E+00,1.495269E-01,0.000000E+00,3.347384E+03,0.000000E+00,1.727312E-01,0.000000E+00,3.537692E+03,0.000000E+00,1.825505E-01,0.000000E+00,3.286858E+03,0.000000E+00,1.696080E-01,0.000000E+00,8.583181E+03,0.000000E+00,4.428611E-01,0.000000E+00
02:15:00,2.947522E+03,0.000000E+00,1.520969E-01,0.000000E+00,3.392618E+03,0.000000E+00,1.750649E-01,0.000000E+00,3.580192E+03,0.000000E+00,1.847430E-01,0.000000E+00,3.332898E+03,0.000000E+00,1.719833E-01,0.000000E+00,8.671630E+03,0.000000E+00,4.474233E-01,0.000000E+00
02:30:00,2.997227E+03,0.000000E+00,1.546614E-01,0.000000E+00,3.437860E+03,0.000000E+00,1.773992E-01,0.000000E+00,3.622794E+03,0.000000E+00,1.869412E-01,0.000000E+00,3.378959E+03,0.000000E+00,1.743599E-01,0.000000E+00,8.760209E+03,0.000000E+00,4.519927E-01,0.000000E+00
02:45:00,3.046785E+03,0.000000E+00,1.572184E-01,0.000000E+00,3.483080E+03,0.000000E+00,1.797323E-01,0.000000E+00,3.665474E+03,0.000000E+00,1.891435E-01,0.000000E+00,3.425015E+03,0.000000E+00,1.767362E-01,0.000000E+00,8.848861E+03,0.000000E+00,4.565661E-01,0.000000E+00
03:00:00,3.096152E+03,0.000000E+00,1.597656E-01,0.000000E+00,3.528249E+03,0.000000E+00,1.820629E-01,0.000000E+00,3.708213E+03,0.000000E+00,1.913488E-01,0.000000E+00,3.471043E+03,0.000000E+00,1.791110E-01,0.000000E+00,8.937545E+03,0.000000E+00,4.611412E-01,0.000000E+00
