Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.484225E+02,0.000000E+00,3.346243E-02,0.000000E+00,9.384626E+02,0.000000E+00,4.842361E-02,0.000000E+00,1.064817E+03,0.000000E+00,5.494668E-02,0.000000E+00,9.193993E+02,0.000000E+00,4.744064E-02,0.000000E+00,4.873353E+03,0.000000E+00,2.513763E-01,0.000000E+00
00:30:00,7.251861E+02,0.000000E+00,3.742286E-02,0.000000E+00,1.006742E+03,0.000000E+00,5.194583E-02,0.000000E+00,1.135969E+03,0.000000E+00,5.861704E-02,0.000000E+00,9.853031E+02,0.000000E+00,5.083967E-02,0.000000E+00,5.090080E+03,0.000000E+00,2.625390E-01,0.000000E+00
00:45:00,8.014073E+02,0.000000E+00,4.135522E-02,0.000000E+00,1.075294E+03,0.000000E+00,5.548245E-02,0.000000E+00,1.206777E+03,0.000000E+00,6.226961E-02,0.000000E+00,1.051137E+03,0.000000E+00,5.423528E-02,0.000000E+00,5.299878E+03,0.000000E+00,2.733435E-01,0.000000E+00
01:00:00,8.769456E+02,0.000000E+00,4.525224E-02,0.000000E+00,1.143716E+03,0.000000E+00,5.901234E-02,0.000000E+00,1.277161E+03,0.000000E+00,6.590024E-02,0.000000E+00,1.116989E+03,0.000000E+00,5.763195E-02,0.000000E+00,5.502716E+03,0.000000E+00,2.837883E-01,0.000000E+00
01:15:00,9.068218E+02,0.000000E+00,4.679358E-02,0.000000E+00,1.169963E+03,0.000000E+00,6.036677E-02,0.000000E+00,1.303935E+03,0.000000E+00,6.728172E-02,0.000000E+00,1.142616E+03,0.000000E+00,5.895460E-02,0.000000E+00,5.545238E+03,0.000000E+00,2.859765E-01,0.000000E+00
01:30:00,9.367730E+02,0.000000E+00,4.833866E-02,0.000000E+00,1.196639E+03,0.000000E+00,6.174317E-02,0.000000E+00,1.330999E+03,0.000000E+00,6.867800E-02,0.000000E+00,1.168729E+03,0.000000E+00,6.030203E-02,0.000000E+00,5.587843E+03,0.000000E+00,2.881670E-01,0.000000E+00
01:45:00,9.667313E+02,0.000000E+00,4.988403E-02,0.000000E+00,1.223730E+03,0.000000E+00,6.314092E-02,0.000000E+00,1.358320E+03,0.000000E+00,7.008750E-02,0.000000E+00,1.195290E+03,0.000000E+00,6.167250E-02,0.000000E+00,5.630512E+03,0.000000E+00,2.903611E-01,0.000000E+00
02:00:00,9.966252E+02,0.000000E+00,5.142603E-02,0.000000E+00,1.251191E+03,0.000000E+00,6.455776E-02,0.000000E+00,1.385863E+03,0.000000E+00,7.150847E-02,0.000000E+00,1.222269E+03,0.000000E+00,6.306458E-02,0.000000E+00,5.673232E+03,0.000000E+00,2.925582E-01,0.000000E+00
02:15:00,1.026432E+03,0.000000E+00,5.296349E-02,0.000000E+00,1.279002E+03,0.000000E+00,6.599275E-02,0.000000E+00,1.413650E+03,0.000000E+00,7.294204E-02,0.000000E+00,1.249712E+03,0.000000E+00,6.448061E-02,0.000000E+00,5.715975E+03,0.000000E+00,2.947569E-01,0.000000E+00
02:30:00,1.056036E+03,0.000000E+00,5.449049E-02,0.000000E+00,1.307125E+03,0.000000E+00,6.744389E-02,0.000000E+00,1.441649E+03,0.000000E+00,7.438665E-02,0.000000E+00,1.277517E+03,0.000000E+00,6.591541E-02,0.000000E+00,5.758728E+03,0.000000E+00,2.969564E-01,0.000000E+00
