,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,305.80,0.00,521.93,0.00,58.88,0.00,787.74,0.00,0.00,0.00,0.00,0.00,0.00
February,278.13,0.00,465.79,0.00,19.94,0.00,226.09,24.82,0.00,0.00,0.00,0.00,0.00
March,319.08,0.00,524.69,0.00,29.05,0.00,66.16,337.45,0.00,0.00,0.00,0.00,0.00
April,279.42,0.00,484.07,0.00,77.50,0.00,0.00,1173.58,0.00,0.00,0.00,0.00,0.00
May,319.08,0.00,524.69,0.00,134.85,0.00,0.00,2097.75,0.00,0.00,0.00,0.00,0.00
June,305.43,0.00,505.06,0.00,144.82,0.00,0.00,2242.32,0.00,0.00,0.00,0.00,0.00
July,293.07,0.00,503.70,0.00,113.20,0.00,0.00,1676.00,0.00,0.00,0.00,0.00,0.00
August,319.08,0.00,524.69,0.00,112.25,0.00,0.00,1646.68,0.00,0.00,0.00,0.00,0.00
September,292.70,0.00,486.83,0.00,101.50,0.00,0.00,1496.56,0.00,0.00,0.00,0.00,0.00
October,305.80,0.00,521.93,0.00,48.06,0.00,0.00,688.33,0.00,0.00,0.00,0.00,0.00
November,305.43,0.00,505.06,0.00,13.94,0.00,83.64,103.47,0.00,0.00,0.00,0.00,0.00
December,293.07,0.00,503.70,0.00,41.78,0.00,561.73,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,3616.12,,6072.14,,895.77,,1725.35,11486.96,,,,,
Minimum of Months,278.13,0.00,465.79,0.00,13.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,319.08,0.00,524.69,0.00,144.82,0.00,787.74,2242.32,0.00,0.00,0.00,0.00,0.00
