Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.309888E+03,0.000000E+00,6.759372E-02,0.000000E+00,1.577780E+03,0.000000E+00,8.141803E-02,0.000000E+00,1.715505E+03,0.000000E+00,8.852529E-02,0.000000E+00,1.556264E+03,0.000000E+00,8.030773E-02,0.000000E+00,5.073247E+03,0.000000E+00,2.617453E-01,0.000000E+00
00:30:00,1.378905E+03,0.000000E+00,7.115361E-02,0.000000E+00,1.645692E+03,0.000000E+00,8.492075E-02,0.000000E+00,1.781874E+03,0.000000E+00,9.194824E-02,0.000000E+00,1.623444E+03,0.000000E+00,8.377263E-02,0.000000E+00,5.290452E+03,0.000000E+00,2.729399E-01,0.000000E+00
00:45:00,1.447071E+03,0.000000E+00,7.466960E-02,0.000000E+00,1.712733E+03,0.000000E+00,8.837847E-02,0.000000E+00,1.847376E+03,0.000000E+00,9.532646E-02,0.000000E+00,1.689786E+03,0.000000E+00,8.719431E-02,0.000000E+00,5.500656E+03,0.000000E+00,2.837730E-01,0.000000E+00
01:00:00,1.514386E+03,0.000000E+00,7.814159E-02,0.000000E+00,1.778904E+03,0.000000E+00,9.179130E-02,0.000000E+00,1.912010E+03,0.000000E+00,9.865986E-02,0.000000E+00,1.755288E+03,0.000000E+00,9.057262E-02,0.000000E+00,5.703846E+03,0.000000E+00,2.942440E-01,0.000000E+00
01:15:00,1.537909E+03,0.000000E+00,7.935519E-02,0.000000E+00,1.801046E+03,0.000000E+00,9.293364E-02,0.000000E+00,1.933061E+03,0.000000E+00,9.974590E-02,0.000000E+00,1.777290E+03,0.000000E+00,9.170777E-02,0.000000E+00,5.745842E+03,0.000000E+00,2.964086E-01,0.000000E+00
01:30:00,1.561548E+03,0.000000E+00,8.057463E-02,0.000000E+00,1.823293E+03,0.000000E+00,9.408120E-02,0.000000E+00,1.954220E+03,0.000000E+00,1.008373E-01,0.000000E+00,1.799425E+03,0.000000E+00,9.284958E-02,0.000000E+00,5.787895E+03,0.000000E+00,2.985748E-01,0.000000E+00
01:45:00,1.585288E+03,0.000000E+00,8.179924E-02,0.000000E+00,1.845634E+03,0.000000E+00,9.523360E-02,0.000000E+00,1.975476E+03,0.000000E+00,1.019337E-01,0.000000E+00,1.821680E+03,0.000000E+00,9.399750E-02,0.000000E+00,5.830037E+03,0.000000E+00,3.007459E-01,0.000000E+00
02:00:00,1.609109E+03,0.000000E+00,8.302803E-02,0.000000E+00,1.868053E+03,0.000000E+00,9.639004E-02,0.000000E+00,1.996813E+03,0.000000E+00,1.030343E-01,0.000000E+00,1.844034E+03,0.000000E+00,9.515061E-02,0.000000E+00,5.872265E+03,0.000000E+00,3.029220E-01,0.000000E+00
02:15:00,1.633045E+03,0.000000E+00,8.426286E-02,0.000000E+00,1.890589E+03,0.000000E+00,9.755263E-02,0.000000E+00,2.018269E+03,0.000000E+00,1.041411E-01,0.000000E+00,1.866526E+03,0.000000E+00,9.631089E-02,0.000000E+00,5.914556E+03,0.000000E+00,3.051020E-01,0.000000E+00
02:30:00,1.657079E+03,0.000000E+00,8.550280E-02,0.000000E+00,1.913229E+03,0.000000E+00,9.872062E-02,0.000000E+00,2.039829E+03,0.000000E+00,1.052534E-01,0.000000E+00,1.889138E+03,0.000000E+00,9.747747E-02,0.000000E+00,5.956906E+03,0.000000E+00,3.072857E-01,0.000000E+00
