Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.256905E+02,0.000000E+00,3.228971E-02,0.000000E+00,9.441708E+02,0.000000E+00,4.871960E-02,0.000000E+00,1.077661E+03,0.000000E+00,5.561002E-02,0.000000E+00,9.226987E+02,0.000000E+00,4.761193E-02,0.000000E+00,4.856415E+03,0.000000E+00,2.505238E-01,0.000000E+00
00:30:00,7.086919E+02,0.000000E+00,3.657213E-02,0.000000E+00,1.016717E+03,0.000000E+00,5.246184E-02,0.000000E+00,1.154329E+03,0.000000E+00,5.956507E-02,0.000000E+00,9.932737E+02,0.000000E+00,5.125199E-02,0.000000E+00,5.079137E+03,0.000000E+00,2.619953E-01,0.000000E+00
00:45:00,7.912559E+02,0.000000E+00,4.083191E-02,0.000000E+00,1.089834E+03,0.000000E+00,5.623374E-02,0.000000E+00,1.230817E+03,0.000000E+00,6.351082E-02,0.000000E+00,1.063833E+03,0.000000E+00,5.489143E-02,0.000000E+00,5.295092E+03,0.000000E+00,2.731168E-01,0.000000E+00
01:00:00,8.732312E+02,0.000000E+00,4.506122E-02,0.000000E+00,1.163424E+03,0.000000E+00,6.003027E-02,0.000000E+00,1.307030E+03,0.000000E+00,6.744231E-02,0.000000E+00,1.134438E+03,0.000000E+00,5.853330E-02,0.000000E+00,5.504218E+03,0.000000E+00,2.838848E-01,0.000000E+00
01:15:00,9.067356E+02,0.000000E+00,4.678981E-02,0.000000E+00,1.192851E+03,0.000000E+00,6.154883E-02,0.000000E+00,1.337138E+03,0.000000E+00,6.899589E-02,0.000000E+00,1.163123E+03,0.000000E+00,6.001382E-02,0.000000E+00,5.550247E+03,0.000000E+00,2.862530E-01,0.000000E+00
01:30:00,9.403178E+02,0.000000E+00,4.852230E-02,0.000000E+00,1.222786E+03,0.000000E+00,6.309342E-02,0.000000E+00,1.367585E+03,0.000000E+00,7.056676E-02,0.000000E+00,1.192392E+03,0.000000E+00,6.152420E-02,0.000000E+00,5.596380E+03,0.000000E+00,2.886245E-01,0.000000E+00
01:45:00,9.738948E+02,0.000000E+00,5.025445E-02,0.000000E+00,1.253206E+03,0.000000E+00,6.466298E-02,0.000000E+00,1.398329E+03,0.000000E+00,7.215292E-02,0.000000E+00,1.222195E+03,0.000000E+00,6.306201E-02,0.000000E+00,5.642569E+03,0.000000E+00,2.909988E-01,0.000000E+00
02:00:00,1.007378E+03,0.000000E+00,5.198172E-02,0.000000E+00,1.284059E+03,0.000000E+00,6.625489E-02,0.000000E+00,1.429329E+03,0.000000E+00,7.375226E-02,0.000000E+00,1.252494E+03,0.000000E+00,6.462539E-02,0.000000E+00,5.688775E+03,0.000000E+00,2.933738E-01,0.000000E+00
02:15:00,1.040727E+03,0.000000E+00,5.370200E-02,0.000000E+00,1.315317E+03,0.000000E+00,6.786775E-02,0.000000E+00,1.460605E+03,0.000000E+00,7.536591E-02,0.000000E+00,1.283324E+03,0.000000E+00,6.621620E-02,0.000000E+00,5.734940E+03,0.000000E+00,2.957464E-01,0.000000E+00
02:30:00,1.073840E+03,0.000000E+00,5.541004E-02,0.000000E+00,1.346934E+03,0.000000E+00,6.949914E-02,0.000000E+00,1.492122E+03,0.000000E+00,7.699202E-02,0.000000E+00,1.314575E+03,0.000000E+00,6.782878E-02,0.000000E+00,5.781013E+03,0.000000E+00,2.981138E-01,0.000000E+00
02:45:00,1.106766E+03,0.000000E+00,5.710840E-02,0.000000E+00,1.378866E+03,0.000000E+00,7.114681E-02,0.000000E+00,1.523844E+03,0.000000E+00,7.862880E-02,0.000000E+00,1.346197E+03,0.000000E+00,6.946056E-02,0.000000E+00,5.826941E+03,0.000000E+00,3.004721E-01,0.000000E+00
03:00:00,1.139492E+03,0.000000E+00,5.879644E-02,0.000000E+00,1.411073E+03,0.000000E+00,7.280869E-02,0.000000E+00,1.555743E+03,0.000000E+00,8.027469E-02,0.000000E+00,1.378147E+03,0.000000E+00,7.110920E-02,0.000000E+00,5.872648E+03,0.000000E+00,3.028168E-01,0.000000E+00
03:15:00,1.172007E+03,0.000000E+00,6.047357E-02,0.000000E+00,1.443487E+03,0.000000E+00,7.448120E-02,0.000000E+00,1.587758E+03,0.000000E+00,8.192654E-02,0.000000E+00,1.410350E+03,0.000000E+00,7.277087E-02,0.000000E+00,5.918015E+03,0.000000E+00,3.051409E-01,0.000000E+00
03:30:00,1.204299E+03,0.000000E+00,6.213919E-02,0.000000E+00,1.476074E+03,0.000000E+00,7.616268E-02,0.000000E+00,1.619865E+03,0.000000E+00,8.358318E-02,0.000000E+00,1.442769E+03,0.000000E+00,7.444369E-02,0.000000E+00,5.962922E+03,0.000000E+00,3.074367E-01,0.000000E+00
03:45:00,1.236182E+03,0.000000E+00,6.378361E-02,0.000000E+00,1.508807E+03,0.000000E+00,7.785162E-02,0.000000E+00,1.652045E+03,0.000000E+00,8.524351E-02,0.000000E+00,1.475371E+03,0.000000E+00,7.612593E-02,0.000000E+00,6.007758E+03,0.000000E+00,3.097209E-01,0.000000E+00
04:00:00,1.267470E+03,0.000000E+00,6.539719E-02,0.000000E+00,1.541663E+03,0.000000E+00,7.954684E-02,0.000000E+00,1.684281E+03,0.000000E+00,8.690668E-02,0.000000E+00,1.508131E+03,0.000000E+00,7.781620E-02,0.000000E+00,6.052993E+03,0.000000E+00,3.120228E-01,0.000000E+00
04:15:00,1.297693E+03,0.000000E+00,6.695545E-02,0.000000E+00,1.574627E+03,0.000000E+00,8.124750E-02,0.000000E+00,1.716563E+03,0.000000E+00,8.857211E-02,0.000000E+00,1.541028E+03,0.000000E+00,7.951348E-02,0.000000E+00,6.099908E+03,0.000000E+00,3.144163E-01,0.000000E+00
04:30:00,1.327446E+03,0.000000E+00,6.848880E-02,0.000000E+00,1.607681E+03,0.000000E+00,8.295272E-02,0.000000E+00,1.748878E+03,0.000000E+00,9.023914E-02,0.000000E+00,1.574044E+03,0.000000E+00,8.121676E-02,0.000000E+00,6.148802E+03,0.000000E+00,3.169330E-01,0.000000E+00
