"['', 'INTERIORLIGHTS:ELECTRICITY [kWh]', 'EXTERIORLIGHTS:ELECTRICITY []', 'INTERIOREQUIPMENT:ELECTRICITY [kWh]', 'EXTERIOREQUIPMENT:ELECTRICITY []', 'FANS:ELECTRICITY [kWh]', 'PUMPS:ELECTRICITY []', 'HEATING:ELECTRICITY [kWh]', 'COOLING:ELECTRICITY [kWh]', 'HEATREJECTION:ELECTRICITY []', 'HUMIDIFIER:ELECTRICITY []', 'HEATRECOVERY:ELECTRICITY []', 'WATERSYSTEMS:ELECTRICITY []', 'COGENERATION:ELECTRICITY []']","['January', '376.87', '0.00', '643.22', '0.00', '36.04', '0.00', '487.75', '14.31', '0.00', '0.00', '0.00', '0.00', '0.00']","['February', '342.77', '0.00', '574.04', '0.00', '22.62', '0.00', '83.05', '219.69', '0.00', '0.00', '0.00', '0.00', '0.00']","['March', '393.24', '0.00', '646.63', '0.00', '68.18', '0.00', '9.23', '940.51', '0.00', '0.00', '0.00', '0.00', '0.00']","['April', '344.36', '0.00', '596.56', '0.00', '142.09', '0.00', '0.00', '2139.32', '0.00', '0.00', '0.00', '0.00', '0.00']","['May', '393.24', '0.00', '646.63', '0.00', '218.68', '0.00', '0.00', '3401.90', '0.00', '0.00', '0.00', '0.00', '0.00']","['June', '376.41', '0.00', '622.43', '0.00', '227.06', '0.00', '0.00', '3517.37', '0.00', '0.00', '0.00', '0.00', '0.00']","['July', '361.18', '0.00', '620.76', '0.00', '175.41', '0.00', '0.00', '2597.03', '0.00', '0.00', '0.00', '0.00', '0.00']","['August', '393.24', '0.00', '646.63', '0.00', '175.79', '0.00', '0.00', '2576.06', '0.00', '0.00', '0.00', '0.00', '0.00']","['September', '360.73', '0.00', '599.97', '0.00', '163.41', '0.00', '0.00', '2406.70', '0.00', '0.00', '0.00', '0.00', '0.00']","['October', '376.87', '0.00', '643.22', '0.00', '99.86', '0.00', '0.00', '1422.60', '0.00', '0.00', '0.00', '0.00', '0.00']","['November', '376.41', '0.00', '622.43', '0.00', '33.81', '0.00', '14.97', '443.86', '0.00', '0.00', '0.00', '0.00', '0.00']","['December', '361.18', '0.00', '620.76', '0.00', '25.38', '0.00', '318.57', '53.68', '0.00', '0.00', '0.00', '0.00', '0.00']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Annual Sum or Average', '4456.50', '', '7483.29', '', '1388.32', '', '913.57', '19733.03', '', '', '', '', '']","['Minimum of Months', '342.77', '0.00', '574.04', '0.00', '22.62', '0.00', '0.00', '14.31', '0.00', '0.00', '0.00', '0.00', '0.00']","['Maximum of Months', '393.24', '0.00', '646.63', '0.00', '227.06', '0.00', '487.75', '3517.37', '0.00', '0.00', '0.00', '0.00', '0.00']"
b'January',b'      376.87',b'        0.00',b'      643.22',b'        0.00',b'       36.04',b'        0.00',b'      487.75',b'       14.31',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'February',b'      342.77',b'        0.00',b'      574.04',b'        0.00',b'       22.62',b'        0.00',b'       83.05',b'      219.69',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'March',b'      393.24',b'        0.00',b'      646.63',b'        0.00',b'       68.18',b'        0.00',b'        9.23',b'      940.51',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'April',b'      344.36',b'        0.00',b'      596.56',b'        0.00',b'      142.09',b'        0.00',b'        0.00',b'     2139.32',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'May',b'      393.24',b'        0.00',b'      646.63',b'        0.00',b'      218.68',b'        0.00',b'        0.00',b'     3401.90',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'June',b'      376.41',b'        0.00',b'      622.43',b'        0.00',b'      227.06',b'        0.00',b'        0.00',b'     3517.37',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'July',b'      361.18',b'        0.00',b'      620.76',b'        0.00',b'      175.41',b'        0.00',b'        0.00',b'     2597.03',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'August',b'      393.24',b'        0.00',b'      646.63',b'        0.00',b'      175.79',b'        0.00',b'        0.00',b'     2576.06',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'September',b'      360.73',b'        0.00',b'      599.97',b'        0.00',b'      163.41',b'        0.00',b'        0.00',b'     2406.70',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'October',b'      376.87',b'        0.00',b'      643.22',b'        0.00',b'       99.86',b'        0.00',b'        0.00',b'     1422.60',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'November',b'      376.41',b'        0.00',b'      622.43',b'        0.00',b'       33.81',b'        0.00',b'       14.97',b'      443.86',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'December',b'      361.18',b'        0.00',b'      620.76',b'        0.00',b'       25.38',b'        0.00',b'      318.57',b'       53.68',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0'
b'Annual Sum or Average',b'     4456.50',b'\xc2\xa0',b'     7483.29',b'\xc2\xa0',b'     1388.32',b'\xc2\xa0',b'      913.57',b'    19733.03',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0',b'\xc2\xa0'
b'Minimum of Months',b'      342.77',b'        0.00',b'      574.04',b'        0.00',b'       22.62',b'        0.00',b'        0.00',b'       14.31',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
b'Maximum of Months',b'      393.24',b'        0.00',b'      646.63',b'        0.00',b'      227.06',b'        0.00',b'      487.75',b'     3517.37',b'        0.00',b'        0.00',b'        0.00',b'        0.00',b'        0.00'
