Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.392029E+03,0.000000E+00,7.183315E-02,0.000000E+00,1.683235E+03,0.000000E+00,8.686052E-02,0.000000E+00,1.833390E+03,0.000000E+00,9.460917E-02,0.000000E+00,1.659462E+03,0.000000E+00,8.563372E-02,0.000000E+00,5.253761E+03,0.000000E+00,2.710718E-01,0.000000E+00
00:30:00,1.465895E+03,0.000000E+00,7.564324E-02,0.000000E+00,1.755874E+03,0.000000E+00,9.060715E-02,0.000000E+00,1.904336E+03,0.000000E+00,9.826834E-02,0.000000E+00,1.731298E+03,0.000000E+00,8.933890E-02,0.000000E+00,5.476564E+03,0.000000E+00,2.825571E-01,0.000000E+00
00:45:00,1.539027E+03,0.000000E+00,7.941548E-02,0.000000E+00,1.827756E+03,0.000000E+00,9.431468E-02,0.000000E+00,1.974525E+03,0.000000E+00,1.018884E-01,0.000000E+00,1.802413E+03,0.000000E+00,9.300686E-02,0.000000E+00,5.692512E+03,0.000000E+00,2.936884E-01,0.000000E+00
01:00:00,1.611394E+03,0.000000E+00,8.314817E-02,0.000000E+00,1.898854E+03,0.000000E+00,9.798172E-02,0.000000E+00,2.043930E+03,0.000000E+00,1.054680E-01,0.000000E+00,1.872776E+03,0.000000E+00,9.663600E-02,0.000000E+00,5.901588E+03,0.000000E+00,3.044649E-01,0.000000E+00
01:15:00,1.637492E+03,0.000000E+00,8.449472E-02,0.000000E+00,1.923447E+03,0.000000E+00,9.925056E-02,0.000000E+00,2.067328E+03,0.000000E+00,1.066752E-01,0.000000E+00,1.897220E+03,0.000000E+00,9.789718E-02,0.000000E+00,5.946550E+03,0.000000E+00,3.067828E-01,0.000000E+00
01:30:00,1.663718E+03,0.000000E+00,8.584765E-02,0.000000E+00,1.948157E+03,0.000000E+00,1.005253E-01,0.000000E+00,2.090848E+03,0.000000E+00,1.078884E-01,0.000000E+00,1.921813E+03,0.000000E+00,9.916584E-02,0.000000E+00,5.991612E+03,0.000000E+00,3.091047E-01,0.000000E+00
01:45:00,1.690052E+03,0.000000E+00,8.720609E-02,0.000000E+00,1.972972E+03,0.000000E+00,1.018053E-01,0.000000E+00,2.114475E+03,0.000000E+00,1.091071E-01,0.000000E+00,1.946538E+03,0.000000E+00,1.004412E-01,0.000000E+00,6.036799E+03,0.000000E+00,3.114334E-01,0.000000E+00
02:00:00,1.716469E+03,0.000000E+00,8.856885E-02,0.000000E+00,1.997870E+03,0.000000E+00,1.030897E-01,0.000000E+00,2.138189E+03,0.000000E+00,1.103304E-01,0.000000E+00,1.971372E+03,0.000000E+00,1.017223E-01,0.000000E+00,6.082101E+03,0.000000E+00,3.137685E-01,0.000000E+00
02:15:00,1.743007E+03,0.000000E+00,8.993795E-02,0.000000E+00,2.022896E+03,0.000000E+00,1.043807E-01,0.000000E+00,2.162034E+03,0.000000E+00,1.115604E-01,0.000000E+00,1.996354E+03,0.000000E+00,1.030111E-01,0.000000E+00,6.127492E+03,0.000000E+00,3.161087E-01,0.000000E+00
02:30:00,1.769646E+03,0.000000E+00,9.131227E-02,0.000000E+00,2.048032E+03,0.000000E+00,1.056775E-01,0.000000E+00,2.185990E+03,0.000000E+00,1.127964E-01,0.000000E+00,2.021467E+03,0.000000E+00,1.043067E-01,0.000000E+00,6.172961E+03,0.000000E+00,3.184536E-01,0.000000E+00
