Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.672466E+02,0.000000E+00,4.475363E-02,0.000000E+00,1.252804E+03,0.000000E+00,6.464730E-02,0.000000E+00,1.412872E+03,0.000000E+00,7.290804E-02,0.000000E+00,1.177623E+03,0.000000E+00,6.076673E-02,0.000000E+00,4.889134E+03,0.000000E+00,2.521478E-01,0.000000E+00
00:30:00,9.664555E+02,0.000000E+00,4.987146E-02,0.000000E+00,1.348873E+03,0.000000E+00,6.960327E-02,0.000000E+00,1.507606E+03,0.000000E+00,7.779497E-02,0.000000E+00,1.272305E+03,0.000000E+00,6.565126E-02,0.000000E+00,5.109636E+03,0.000000E+00,2.634813E-01,0.000000E+00
00:45:00,1.064146E+03,0.000000E+00,5.491086E-02,0.000000E+00,1.444533E+03,0.000000E+00,7.453811E-02,0.000000E+00,1.601697E+03,0.000000E+00,8.264868E-02,0.000000E+00,1.366924E+03,0.000000E+00,7.053254E-02,0.000000E+00,5.323288E+03,0.000000E+00,2.744578E-01,0.000000E+00
01:00:00,1.160151E+03,0.000000E+00,5.986312E-02,0.000000E+00,1.539674E+03,0.000000E+00,7.944614E-02,0.000000E+00,1.695061E+03,0.000000E+00,8.746484E-02,0.000000E+00,1.461258E+03,0.000000E+00,7.539909E-02,0.000000E+00,5.530962E+03,0.000000E+00,2.851259E-01,0.000000E+00
01:15:00,1.198635E+03,0.000000E+00,6.184827E-02,0.000000E+00,1.577511E+03,0.000000E+00,8.139852E-02,0.000000E+00,1.731530E+03,0.000000E+00,8.934656E-02,0.000000E+00,1.499462E+03,0.000000E+00,7.737046E-02,0.000000E+00,5.577971E+03,0.000000E+00,2.875451E-01,0.000000E+00
01:30:00,1.236356E+03,0.000000E+00,6.379379E-02,0.000000E+00,1.615506E+03,0.000000E+00,8.335882E-02,0.000000E+00,1.768092E+03,0.000000E+00,9.123280E-02,0.000000E+00,1.537904E+03,0.000000E+00,7.935385E-02,0.000000E+00,5.626176E+03,0.000000E+00,2.900436E-01,0.000000E+00
01:45:00,1.272878E+03,0.000000E+00,6.567717E-02,0.000000E+00,1.653622E+03,0.000000E+00,8.532528E-02,0.000000E+00,1.804715E+03,0.000000E+00,9.312221E-02,0.000000E+00,1.576534E+03,0.000000E+00,8.134691E-02,0.000000E+00,5.675126E+03,0.000000E+00,2.925939E-01,0.000000E+00
02:00:00,1.307947E+03,0.000000E+00,6.748520E-02,0.000000E+00,1.691819E+03,0.000000E+00,8.729596E-02,0.000000E+00,1.841367E+03,0.000000E+00,9.501308E-02,0.000000E+00,1.615304E+03,0.000000E+00,8.334723E-02,0.000000E+00,5.723822E+03,0.000000E+00,2.951379E-01,0.000000E+00
02:15:00,1.343274E+03,0.000000E+00,6.930641E-02,0.000000E+00,1.730197E+03,0.000000E+00,8.927603E-02,0.000000E+00,1.878150E+03,0.000000E+00,9.691084E-02,0.000000E+00,1.654306E+03,0.000000E+00,8.535952E-02,0.000000E+00,5.771863E+03,0.000000E+00,2.976415E-01,0.000000E+00
02:30:00,1.379307E+03,0.000000E+00,7.116482E-02,0.000000E+00,1.768727E+03,0.000000E+00,9.126402E-02,0.000000E+00,1.915042E+03,0.000000E+00,9.881427E-02,0.000000E+00,1.693503E+03,0.000000E+00,8.738195E-02,0.000000E+00,5.819526E+03,0.000000E+00,3.001157E-01,0.000000E+00
