Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.652930E+03,0.000000E+00,8.529576E-02,0.000000E+00,2.008244E+03,0.000000E+00,1.036315E-01,0.000000E+00,2.157381E+03,0.000000E+00,1.113275E-01,0.000000E+00,1.961833E+03,0.000000E+00,1.012364E-01,0.000000E+00,5.236437E+03,0.000000E+00,2.701763E-01,0.000000E+00
00:30:00,1.744758E+03,0.000000E+00,9.003246E-02,0.000000E+00,2.096084E+03,0.000000E+00,1.081621E-01,0.000000E+00,2.242477E+03,0.000000E+00,1.157164E-01,0.000000E+00,2.049933E+03,0.000000E+00,1.057806E-01,0.000000E+00,5.458954E+03,0.000000E+00,2.816466E-01,0.000000E+00
00:45:00,1.835565E+03,0.000000E+00,9.471647E-02,0.000000E+00,2.182901E+03,0.000000E+00,1.126400E-01,0.000000E+00,2.326560E+03,0.000000E+00,1.200531E-01,0.000000E+00,2.137022E+03,0.000000E+00,1.102725E-01,0.000000E+00,5.674572E+03,0.000000E+00,2.927608E-01,0.000000E+00
01:00:00,1.925302E+03,0.000000E+00,9.934524E-02,0.000000E+00,2.268655E+03,0.000000E+00,1.170630E-01,0.000000E+00,2.409590E+03,0.000000E+00,1.243354E-01,0.000000E+00,2.223056E+03,0.000000E+00,1.147100E-01,0.000000E+00,5.883274E+03,0.000000E+00,3.035177E-01,0.000000E+00
01:15:00,1.958586E+03,0.000000E+00,1.010625E-01,0.000000E+00,2.298294E+03,0.000000E+00,1.185921E-01,0.000000E+00,2.437201E+03,0.000000E+00,1.257600E-01,0.000000E+00,2.253198E+03,0.000000E+00,1.162651E-01,0.000000E+00,5.927954E+03,0.000000E+00,3.058211E-01,0.000000E+00
01:30:00,1.991792E+03,0.000000E+00,1.027756E-01,0.000000E+00,2.327885E+03,0.000000E+00,1.201186E-01,0.000000E+00,2.464787E+03,0.000000E+00,1.271829E-01,0.000000E+00,2.283304E+03,0.000000E+00,1.178181E-01,0.000000E+00,5.972704E+03,0.000000E+00,3.081269E-01,0.000000E+00
01:45:00,2.024908E+03,0.000000E+00,1.044839E-01,0.000000E+00,2.357421E+03,0.000000E+00,1.216422E-01,0.000000E+00,2.492340E+03,0.000000E+00,1.286041E-01,0.000000E+00,2.313363E+03,0.000000E+00,1.193687E-01,0.000000E+00,6.017550E+03,0.000000E+00,3.104379E-01,0.000000E+00
02:00:00,2.057912E+03,0.000000E+00,1.061865E-01,0.000000E+00,2.386886E+03,0.000000E+00,1.231621E-01,0.000000E+00,2.519843E+03,0.000000E+00,1.300228E-01,0.000000E+00,2.343357E+03,0.000000E+00,1.209159E-01,0.000000E+00,6.062484E+03,0.000000E+00,3.127540E-01,0.000000E+00
02:15:00,2.090923E+03,0.000000E+00,1.078895E-01,0.000000E+00,2.416406E+03,0.000000E+00,1.246850E-01,0.000000E+00,2.547422E+03,0.000000E+00,1.314455E-01,0.000000E+00,2.373410E+03,0.000000E+00,1.224664E-01,0.000000E+00,6.107481E+03,0.000000E+00,3.150739E-01,0.000000E+00
02:30:00,2.123927E+03,0.000000E+00,1.095923E-01,0.000000E+00,2.445973E+03,0.000000E+00,1.262105E-01,0.000000E+00,2.575068E+03,0.000000E+00,1.328718E-01,0.000000E+00,2.403513E+03,0.000000E+00,1.240194E-01,0.000000E+00,6.152534E+03,0.000000E+00,3.173974E-01,0.000000E+00
