Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.366578E+03,0.000000E+00,1.221231E-01,0.000000E+00,2.715145E+03,0.000000E+00,1.401108E-01,0.000000E+00,2.786322E+03,0.000000E+00,1.437839E-01,0.000000E+00,2.758641E+03,0.000000E+00,1.423551E-01,0.000000E+00,5.933531E+03,0.000000E+00,3.061603E-01,0.000000E+00
00:30:00,2.445007E+03,0.000000E+00,1.261678E-01,0.000000E+00,2.789835E+03,0.000000E+00,1.439623E-01,0.000000E+00,2.853834E+03,0.000000E+00,1.472651E-01,0.000000E+00,2.838493E+03,0.000000E+00,1.464731E-01,0.000000E+00,6.155070E+03,0.000000E+00,3.175816E-01,0.000000E+00
00:45:00,2.522406E+03,0.000000E+00,1.301594E-01,0.000000E+00,2.863581E+03,0.000000E+00,1.477652E-01,0.000000E+00,2.920524E+03,0.000000E+00,1.507038E-01,0.000000E+00,2.917307E+03,0.000000E+00,1.505374E-01,0.000000E+00,6.369871E+03,0.000000E+00,3.286549E-01,0.000000E+00
01:00:00,2.598725E+03,0.000000E+00,1.340952E-01,0.000000E+00,2.936343E+03,0.000000E+00,1.515173E-01,0.000000E+00,2.986352E+03,0.000000E+00,1.540981E-01,0.000000E+00,2.995036E+03,0.000000E+00,1.545458E-01,0.000000E+00,6.577911E+03,0.000000E+00,3.393791E-01,0.000000E+00
01:15:00,2.622633E+03,0.000000E+00,1.353286E-01,0.000000E+00,2.956939E+03,0.000000E+00,1.525798E-01,0.000000E+00,3.003770E+03,0.000000E+00,1.549966E-01,0.000000E+00,3.017723E+03,0.000000E+00,1.557161E-01,0.000000E+00,6.621064E+03,0.000000E+00,3.416039E-01,0.000000E+00
01:30:00,2.646542E+03,0.000000E+00,1.365618E-01,0.000000E+00,2.977617E+03,0.000000E+00,1.536463E-01,0.000000E+00,3.021325E+03,0.000000E+00,1.559019E-01,0.000000E+00,3.040457E+03,0.000000E+00,1.568887E-01,0.000000E+00,6.664360E+03,0.000000E+00,3.438349E-01,0.000000E+00
01:45:00,2.670408E+03,0.000000E+00,1.377927E-01,0.000000E+00,2.998355E+03,0.000000E+00,1.547158E-01,0.000000E+00,3.038998E+03,0.000000E+00,1.568132E-01,0.000000E+00,3.063212E+03,0.000000E+00,1.580622E-01,0.000000E+00,6.707819E+03,0.000000E+00,3.460747E-01,0.000000E+00
02:00:00,2.694198E+03,0.000000E+00,1.390197E-01,0.000000E+00,3.019138E+03,0.000000E+00,1.557877E-01,0.000000E+00,3.056772E+03,0.000000E+00,1.577298E-01,0.000000E+00,3.085973E+03,0.000000E+00,1.592362E-01,0.000000E+00,6.751425E+03,0.000000E+00,3.483226E-01,0.000000E+00
02:15:00,2.717992E+03,0.000000E+00,1.402470E-01,0.000000E+00,3.040090E+03,0.000000E+00,1.568684E-01,0.000000E+00,3.074741E+03,0.000000E+00,1.586566E-01,0.000000E+00,3.108891E+03,0.000000E+00,1.604183E-01,0.000000E+00,6.795150E+03,0.000000E+00,3.505771E-01,0.000000E+00
02:30:00,2.741787E+03,0.000000E+00,1.414745E-01,0.000000E+00,3.061203E+03,0.000000E+00,1.579576E-01,0.000000E+00,3.092892E+03,0.000000E+00,1.595930E-01,0.000000E+00,3.131959E+03,0.000000E+00,1.616084E-01,0.000000E+00,6.838982E+03,0.000000E+00,3.528376E-01,0.000000E+00
02:45:00,2.765703E+03,0.000000E+00,1.427082E-01,0.000000E+00,3.082468E+03,0.000000E+00,1.590547E-01,0.000000E+00,3.111215E+03,0.000000E+00,1.605382E-01,0.000000E+00,3.155170E+03,0.000000E+00,1.628059E-01,0.000000E+00,6.882902E+03,0.000000E+00,3.551029E-01,0.000000E+00
03:00:00,2.789776E+03,0.000000E+00,1.439502E-01,0.000000E+00,3.103875E+03,0.000000E+00,1.601591E-01,0.000000E+00,3.129698E+03,0.000000E+00,1.614918E-01,0.000000E+00,3.178514E+03,0.000000E+00,1.640103E-01,0.000000E+00,6.926908E+03,0.000000E+00,3.573725E-01,0.000000E+00
03:15:00,2.814000E+03,0.000000E+00,1.452000E-01,0.000000E+00,3.125345E+03,0.000000E+00,1.612668E-01,0.000000E+00,3.148274E+03,0.000000E+00,1.624502E-01,0.000000E+00,3.201898E+03,0.000000E+00,1.652167E-01,0.000000E+00,6.970979E+03,0.000000E+00,3.596454E-01,0.000000E+00
03:30:00,2.838392E+03,0.000000E+00,1.464586E-01,0.000000E+00,3.146869E+03,0.000000E+00,1.623773E-01,0.000000E+00,3.166935E+03,0.000000E+00,1.634129E-01,0.000000E+00,3.225312E+03,0.000000E+00,1.664247E-01,0.000000E+00,7.015113E+03,0.000000E+00,3.619216E-01,0.000000E+00
03:45:00,2.862855E+03,0.000000E+00,1.477208E-01,0.000000E+00,3.168441E+03,0.000000E+00,1.634902E-01,0.000000E+00,3.185674E+03,0.000000E+00,1.643796E-01,0.000000E+00,3.248749E+03,0.000000E+00,1.676338E-01,0.000000E+00,7.059301E+03,0.000000E+00,3.642001E-01,0.000000E+00
04:00:00,2.887380E+03,0.000000E+00,1.489860E-01,0.000000E+00,3.190059E+03,0.000000E+00,1.646053E-01,0.000000E+00,3.204489E+03,0.000000E+00,1.653500E-01,0.000000E+00,3.272208E+03,0.000000E+00,1.688439E-01,0.000000E+00,7.103544E+03,0.000000E+00,3.664808E-01,0.000000E+00
04:15:00,2.911964E+03,0.000000E+00,1.502541E-01,0.000000E+00,3.211727E+03,0.000000E+00,1.657228E-01,0.000000E+00,3.223383E+03,0.000000E+00,1.663244E-01,0.000000E+00,3.295691E+03,0.000000E+00,1.700550E-01,0.000000E+00,7.147866E+03,0.000000E+00,3.687650E-01,0.000000E+00
04:30:00,2.936604E+03,0.000000E+00,1.515249E-01,0.000000E+00,3.233444E+03,0.000000E+00,1.668426E-01,0.000000E+00,3.242354E+03,0.000000E+00,1.673026E-01,0.000000E+00,3.319199E+03,0.000000E+00,1.712672E-01,0.000000E+00,7.192270E+03,0.000000E+00,3.710528E-01,0.000000E+00
04:45:00,2.961294E+03,0.000000E+00,1.527983E-01,0.000000E+00,3.255212E+03,0.000000E+00,1.679651E-01,0.000000E+00,3.261404E+03,0.000000E+00,1.682848E-01,0.000000E+00,3.342731E+03,0.000000E+00,1.724807E-01,0.000000E+00,7.236767E+03,0.000000E+00,3.733455E-01,0.000000E+00
05:00:00,2.986032E+03,0.000000E+00,1.540741E-01,0.000000E+00,3.277030E+03,0.000000E+00,1.690901E-01,0.000000E+00,3.280530E+03,0.000000E+00,1.692709E-01,0.000000E+00,3.366287E+03,0.000000E+00,1.736953E-01,0.000000E+00,7.281354E+03,0.000000E+00,3.756430E-01,0.000000E+00
05:15:00,3.010737E+03,0.000000E+00,1.553483E-01,0.000000E+00,3.298819E+03,0.000000E+00,1.702137E-01,0.000000E+00,3.299657E+03,0.000000E+00,1.702571E-01,0.000000E+00,3.389786E+03,0.000000E+00,1.749071E-01,0.000000E+00,7.325633E+03,0.000000E+00,3.779248E-01,0.000000E+00
05:30:00,3.035406E+03,0.000000E+00,1.566206E-01,0.000000E+00,3.320579E+03,0.000000E+00,1.713358E-01,0.000000E+00,3.318781E+03,0.000000E+00,1.712433E-01,0.000000E+00,3.413226E+03,0.000000E+00,1.761159E-01,0.000000E+00,7.369595E+03,0.000000E+00,3.801904E-01,0.000000E+00
05:45:00,3.060033E+03,0.000000E+00,1.578908E-01,0.000000E+00,3.342305E+03,0.000000E+00,1.724562E-01,0.000000E+00,3.337899E+03,0.000000E+00,1.722291E-01,0.000000E+00,3.436601E+03,0.000000E+00,1.773214E-01,0.000000E+00,7.413233E+03,0.000000E+00,3.824393E-01,0.000000E+00
06:00:00,3.084616E+03,0.000000E+00,1.591588E-01,0.000000E+00,3.363996E+03,0.000000E+00,1.735748E-01,0.000000E+00,3.357008E+03,0.000000E+00,1.732145E-01,0.000000E+00,3.459907E+03,0.000000E+00,1.785232E-01,0.000000E+00,7.456541E+03,0.000000E+00,3.846712E-01,0.000000E+00
