,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,440.87,0.00,805.94,0.00,32.17,0.00,321.04,141.77,0.00,0.00,0.00,0.00,0.00
February,400.98,0.00,719.25,0.00,40.02,0.00,19.62,517.81,0.00,0.00,0.00,0.00,0.00
March,460.02,0.00,810.21,0.00,117.34,0.00,0.01,1630.82,0.00,0.00,0.00,0.00,0.00
April,402.84,0.00,747.47,0.00,211.02,0.00,0.00,3171.89,0.00,0.00,0.00,0.00,0.00
May,460.02,0.00,810.21,0.00,306.30,0.00,0.00,4767.82,0.00,0.00,0.00,0.00,0.00
June,440.34,0.00,779.89,0.00,312.31,0.00,0.00,4840.30,0.00,0.00,0.00,0.00,0.00
July,422.52,0.00,777.79,0.00,238.83,0.00,0.00,3537.65,0.00,0.00,0.00,0.00,0.00
August,460.02,0.00,810.21,0.00,241.94,0.00,0.00,3543.89,0.00,0.00,0.00,0.00,0.00
September,421.99,0.00,751.74,0.00,228.39,0.00,0.00,3362.94,0.00,0.00,0.00,0.00,0.00
October,440.87,0.00,805.94,0.00,155.08,0.00,0.00,2206.53,0.00,0.00,0.00,0.00,0.00
November,440.34,0.00,779.89,0.00,64.02,0.00,0.15,867.44,0.00,0.00,0.00,0.00,0.00
December,422.52,0.00,777.79,0.00,28.26,0.00,185.24,238.31,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5213.33,,9376.35,,1975.67,,526.06,28827.18,,,,,
Minimum of Months,400.98,0.00,719.25,0.00,28.26,0.00,0.00,141.77,0.00,0.00,0.00,0.00,0.00
Maximum of Months,460.02,0.00,810.21,0.00,312.31,0.00,321.04,4840.30,0.00,0.00,0.00,0.00,0.00
