Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.438522E+02,0.000000E+00,4.871625E-02,0.000000E+00,6.620525E+02,0.000000E+00,3.416617E-02,0.000000E+00,7.498991E+02,0.000000E+00,3.869889E-02,0.000000E+00,6.657766E+02,0.000000E+00,3.435842E-02,0.000000E+00,4.305149E+03,0.000000E+00,2.221455E-01,0.000000E+00
00:30:00,1.030772E+03,0.000000E+00,5.320514E-02,0.000000E+00,7.618065E+02,0.000000E+00,3.931288E-02,0.000000E+00,8.371068E+02,0.000000E+00,4.319793E-02,0.000000E+00,7.729478E+02,0.000000E+00,3.988789E-02,0.000000E+00,4.543316E+03,0.000000E+00,2.344269E-01,0.000000E+00
00:45:00,1.087355E+03,0.000000E+00,5.612807E-02,0.000000E+00,8.587782E+02,0.000000E+00,4.431591E-02,0.000000E+00,9.218693E+02,0.000000E+00,4.757069E-02,0.000000E+00,8.771046E+02,0.000000E+00,4.526169E-02,0.000000E+00,4.774173E+03,0.000000E+00,2.463307E-01,0.000000E+00
01:00:00,1.140502E+03,0.000000E+00,5.887355E-02,0.000000E+00,9.528060E+02,0.000000E+00,4.916690E-02,0.000000E+00,1.003978E+03,0.000000E+00,5.180636E-02,0.000000E+00,9.780927E+02,0.000000E+00,5.047184E-02,0.000000E+00,4.997629E+03,0.000000E+00,2.578523E-01,0.000000E+00
01:15:00,1.133352E+03,0.000000E+00,5.850450E-02,0.000000E+00,9.875334E+02,0.000000E+00,5.095845E-02,0.000000E+00,1.032913E+03,0.000000E+00,5.329898E-02,0.000000E+00,1.016059E+03,0.000000E+00,5.243053E-02,0.000000E+00,5.051775E+03,0.000000E+00,2.606439E-01,0.000000E+00
01:30:00,1.123423E+03,0.000000E+00,5.799172E-02,0.000000E+00,1.020716E+03,0.000000E+00,5.267016E-02,0.000000E+00,1.061212E+03,0.000000E+00,5.475856E-02,0.000000E+00,1.052427E+03,0.000000E+00,5.430654E-02,0.000000E+00,5.105364E+03,0.000000E+00,2.634059E-01,0.000000E+00
01:45:00,1.142242E+03,0.000000E+00,5.896290E-02,0.000000E+00,1.053200E+03,0.000000E+00,5.434566E-02,0.000000E+00,1.090254E+03,0.000000E+00,5.625646E-02,0.000000E+00,1.087589E+03,0.000000E+00,5.612022E-02,0.000000E+00,5.159456E+03,0.000000E+00,2.661939E-01,0.000000E+00
02:00:00,1.162757E+03,0.000000E+00,6.002170E-02,0.000000E+00,1.086288E+03,0.000000E+00,5.605235E-02,0.000000E+00,1.120356E+03,0.000000E+00,5.780900E-02,0.000000E+00,1.123210E+03,0.000000E+00,5.795756E-02,0.000000E+00,5.214396E+03,0.000000E+00,2.690262E-01,0.000000E+00
02:15:00,1.184390E+03,0.000000E+00,6.113823E-02,0.000000E+00,1.120489E+03,0.000000E+00,5.781642E-02,0.000000E+00,1.152348E+03,0.000000E+00,5.945904E-02,0.000000E+00,1.159774E+03,0.000000E+00,5.984357E-02,0.000000E+00,5.270430E+03,0.000000E+00,2.719153E-01,0.000000E+00
02:30:00,1.243866E+03,0.000000E+00,6.420811E-02,0.000000E+00,1.156274E+03,0.000000E+00,5.966228E-02,0.000000E+00,1.185792E+03,0.000000E+00,6.118406E-02,0.000000E+00,1.197783E+03,0.000000E+00,6.180416E-02,0.000000E+00,5.327937E+03,0.000000E+00,2.748809E-01,0.000000E+00
02:45:00,1.309285E+03,0.000000E+00,6.758484E-02,0.000000E+00,1.193043E+03,0.000000E+00,6.155887E-02,0.000000E+00,1.219414E+03,0.000000E+00,6.291822E-02,0.000000E+00,1.237099E+03,0.000000E+00,6.383214E-02,0.000000E+00,5.386027E+03,0.000000E+00,2.778766E-01,0.000000E+00
03:00:00,1.378330E+03,0.000000E+00,7.114867E-02,0.000000E+00,1.229671E+03,0.000000E+00,6.344795E-02,0.000000E+00,1.252639E+03,0.000000E+00,6.463174E-02,0.000000E+00,1.276146E+03,0.000000E+00,6.584612E-02,0.000000E+00,5.444502E+03,0.000000E+00,2.808920E-01,0.000000E+00
03:15:00,1.447245E+03,0.000000E+00,7.470569E-02,0.000000E+00,1.265825E+03,0.000000E+00,6.531248E-02,0.000000E+00,1.286035E+03,0.000000E+00,6.635354E-02,0.000000E+00,1.314420E+03,0.000000E+00,6.781999E-02,0.000000E+00,5.503261E+03,0.000000E+00,2.839219E-01,0.000000E+00
03:30:00,1.479060E+03,0.000000E+00,7.634745E-02,0.000000E+00,1.300504E+03,0.000000E+00,6.710066E-02,0.000000E+00,1.320215E+03,0.000000E+00,6.811636E-02,0.000000E+00,1.350946E+03,0.000000E+00,6.970333E-02,0.000000E+00,5.562228E+03,0.000000E+00,2.869624E-01,0.000000E+00
03:45:00,1.464651E+03,0.000000E+00,7.560305E-02,0.000000E+00,1.335529E+03,0.000000E+00,6.890580E-02,0.000000E+00,1.355557E+03,0.000000E+00,6.993955E-02,0.000000E+00,1.387796E+03,0.000000E+00,7.160267E-02,0.000000E+00,5.621335E+03,0.000000E+00,2.900096E-01,0.000000E+00
04:00:00,1.443335E+03,0.000000E+00,7.450208E-02,0.000000E+00,1.371274E+03,0.000000E+00,7.074900E-02,0.000000E+00,1.392838E+03,0.000000E+00,7.186328E-02,0.000000E+00,1.425230E+03,0.000000E+00,7.353291E-02,0.000000E+00,5.680532E+03,0.000000E+00,2.930609E-01,0.000000E+00
04:15:00,1.419456E+03,0.000000E+00,7.326893E-02,0.000000E+00,1.408187E+03,0.000000E+00,7.265305E-02,0.000000E+00,1.431292E+03,0.000000E+00,7.384833E-02,0.000000E+00,1.463995E+03,0.000000E+00,7.553242E-02,0.000000E+00,5.739717E+03,0.000000E+00,2.961109E-01,0.000000E+00
04:30:00,1.393274E+03,0.000000E+00,7.191713E-02,0.000000E+00,1.447641E+03,0.000000E+00,7.468879E-02,0.000000E+00,1.470430E+03,0.000000E+00,7.586827E-02,0.000000E+00,1.505460E+03,0.000000E+00,7.767191E-02,0.000000E+00,5.798900E+03,0.000000E+00,2.991602E-01,0.000000E+00
04:45:00,1.405772E+03,0.000000E+00,7.256199E-02,0.000000E+00,1.488056E+03,0.000000E+00,7.677532E-02,0.000000E+00,1.510152E+03,0.000000E+00,7.791808E-02,0.000000E+00,1.547817E+03,0.000000E+00,7.985844E-02,0.000000E+00,5.858088E+03,0.000000E+00,3.022096E-01,0.000000E+00
05:00:00,1.419858E+03,0.000000E+00,7.328899E-02,0.000000E+00,1.529340E+03,0.000000E+00,7.890610E-02,0.000000E+00,1.550350E+03,0.000000E+00,7.999226E-02,0.000000E+00,1.591207E+03,0.000000E+00,8.209780E-02,0.000000E+00,5.917242E+03,0.000000E+00,3.052573E-01,0.000000E+00
