,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,867.87,0.00,1481.25,0.00,62.53,0.00,797.83,0.00,0.00,0.00,0.00,0.00,0.00
February,789.35,0.00,1321.93,0.00,17.85,0.00,132.12,101.97,0.00,0.00,0.00,0.00,0.00
March,905.56,0.00,1489.09,0.00,65.10,0.00,10.10,913.54,0.00,0.00,0.00,0.00,0.00
April,793.01,0.00,1373.79,0.00,164.92,0.00,0.00,2495.38,0.00,0.00,0.00,0.00,0.00
May,905.56,0.00,1489.09,0.00,266.23,0.00,0.00,4149.78,0.00,0.00,0.00,0.00,0.00
June,866.83,0.00,1433.37,0.00,284.82,0.00,0.00,4424.45,0.00,0.00,0.00,0.00,0.00
July,831.75,0.00,1429.52,0.00,225.29,0.00,0.00,3346.11,0.00,0.00,0.00,0.00,0.00
August,905.56,0.00,1489.09,0.00,227.01,0.00,0.00,3341.31,0.00,0.00,0.00,0.00,0.00
September,830.70,0.00,1381.64,0.00,207.69,0.00,0.00,3072.98,0.00,0.00,0.00,0.00,0.00
October,867.87,0.00,1481.25,0.00,110.61,0.00,0.00,1586.61,0.00,0.00,0.00,0.00,0.00
November,866.83,0.00,1433.37,0.00,24.48,0.00,22.28,324.70,0.00,0.00,0.00,0.00,0.00
December,831.75,0.00,1429.52,0.00,42.66,0.00,558.29,4.90,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10262.65,,17232.91,,1699.17,,1520.61,23761.72,,,,,
Minimum of Months,789.35,0.00,1321.93,0.00,17.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,905.56,0.00,1489.09,0.00,284.82,0.00,797.83,4424.45,0.00,0.00,0.00,0.00,0.00
