Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.811680E+03,0.000000E+00,9.349188E-02,0.000000E+00,2.220952E+03,0.000000E+00,1.146123E-01,0.000000E+00,2.436999E+03,0.000000E+00,1.257615E-01,0.000000E+00,2.186200E+03,0.000000E+00,1.128190E-01,0.000000E+00,6.956784E+03,0.000000E+00,3.589761E-01,0.000000E+00
00:30:00,1.910887E+03,0.000000E+00,9.860968E-02,0.000000E+00,2.318352E+03,0.000000E+00,1.196366E-01,0.000000E+00,2.532081E+03,0.000000E+00,1.306660E-01,0.000000E+00,2.282401E+03,0.000000E+00,1.177814E-01,0.000000E+00,7.245541E+03,0.000000E+00,3.738668E-01,0.000000E+00
00:45:00,2.009652E+03,0.000000E+00,1.037047E-01,0.000000E+00,2.415301E+03,0.000000E+00,1.246377E-01,0.000000E+00,2.626722E+03,0.000000E+00,1.355478E-01,0.000000E+00,2.378212E+03,0.000000E+00,1.227237E-01,0.000000E+00,7.529010E+03,0.000000E+00,3.884845E-01,0.000000E+00
01:00:00,2.107918E+03,0.000000E+00,1.087739E-01,0.000000E+00,2.511756E+03,0.000000E+00,1.296132E-01,0.000000E+00,2.720875E+03,0.000000E+00,1.404044E-01,0.000000E+00,2.473581E+03,0.000000E+00,1.276432E-01,0.000000E+00,7.807130E+03,0.000000E+00,4.028258E-01,0.000000E+00
01:15:00,2.147149E+03,0.000000E+00,1.107982E-01,0.000000E+00,2.548940E+03,0.000000E+00,1.315319E-01,0.000000E+00,2.756448E+03,0.000000E+00,1.422399E-01,0.000000E+00,2.510569E+03,0.000000E+00,1.295518E-01,0.000000E+00,7.888374E+03,0.000000E+00,4.070166E-01,0.000000E+00
01:30:00,2.186537E+03,0.000000E+00,1.128304E-01,0.000000E+00,2.586292E+03,0.000000E+00,1.334590E-01,0.000000E+00,2.792199E+03,0.000000E+00,1.440844E-01,0.000000E+00,2.547774E+03,0.000000E+00,1.314714E-01,0.000000E+00,7.970121E+03,0.000000E+00,4.112322E-01,0.000000E+00
01:45:00,2.226041E+03,0.000000E+00,1.148685E-01,0.000000E+00,2.623783E+03,0.000000E+00,1.353932E-01,0.000000E+00,2.828096E+03,0.000000E+00,1.459363E-01,0.000000E+00,2.585161E+03,0.000000E+00,1.334002E-01,0.000000E+00,8.052337E+03,0.000000E+00,4.154719E-01,0.000000E+00
02:00:00,2.265617E+03,0.000000E+00,1.169104E-01,0.000000E+00,2.661375E+03,0.000000E+00,1.373327E-01,0.000000E+00,2.864103E+03,0.000000E+00,1.477940E-01,0.000000E+00,2.622688E+03,0.000000E+00,1.353363E-01,0.000000E+00,8.134958E+03,0.000000E+00,4.197329E-01,0.000000E+00
02:15:00,2.305316E+03,0.000000E+00,1.189586E-01,0.000000E+00,2.699134E+03,0.000000E+00,1.392808E-01,0.000000E+00,2.900282E+03,0.000000E+00,1.496606E-01,0.000000E+00,2.660414E+03,0.000000E+00,1.372827E-01,0.000000E+00,8.217904E+03,0.000000E+00,4.240112E-01,0.000000E+00
02:30:00,2.345097E+03,0.000000E+00,1.210111E-01,0.000000E+00,2.737026E+03,0.000000E+00,1.412359E-01,0.000000E+00,2.936602E+03,0.000000E+00,1.515345E-01,0.000000E+00,2.698304E+03,0.000000E+00,1.392377E-01,0.000000E+00,8.301115E+03,0.000000E+00,4.283037E-01,0.000000E+00
