Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.032833E+03,0.000000E+00,5.330640E-02,0.000000E+00,9.723596E+02,0.000000E+00,5.017804E-02,0.000000E+00,1.196606E+03,0.000000E+00,6.175035E-02,0.000000E+00,9.387299E+02,0.000000E+00,4.844259E-02,0.000000E+00,4.538364E+03,0.000000E+00,2.341779E-01,0.000000E+00
00:30:00,1.113415E+03,0.000000E+00,5.746549E-02,0.000000E+00,1.069402E+03,0.000000E+00,5.518442E-02,0.000000E+00,1.300850E+03,0.000000E+00,6.712859E-02,0.000000E+00,1.034098E+03,0.000000E+00,5.336222E-02,0.000000E+00,4.836847E+03,0.000000E+00,2.495695E-01,0.000000E+00
00:45:00,1.193278E+03,0.000000E+00,6.158746E-02,0.000000E+00,1.167182E+03,0.000000E+00,6.022898E-02,0.000000E+00,1.405780E+03,0.000000E+00,7.254224E-02,0.000000E+00,1.129898E+03,0.000000E+00,5.830425E-02,0.000000E+00,5.130661E+03,0.000000E+00,2.647194E-01,0.000000E+00
01:00:00,1.272364E+03,0.000000E+00,6.566929E-02,0.000000E+00,1.265824E+03,0.000000E+00,6.531803E-02,0.000000E+00,1.511205E+03,0.000000E+00,7.798141E-02,0.000000E+00,1.226139E+03,0.000000E+00,6.326923E-02,0.000000E+00,5.419356E+03,0.000000E+00,2.796044E-01,0.000000E+00
01:15:00,1.307430E+03,0.000000E+00,6.747899E-02,0.000000E+00,1.311247E+03,0.000000E+00,6.766216E-02,0.000000E+00,1.558429E+03,0.000000E+00,8.041830E-02,0.000000E+00,1.270143E+03,0.000000E+00,6.554021E-02,0.000000E+00,5.512335E+03,0.000000E+00,2.843981E-01,0.000000E+00
01:30:00,1.343296E+03,0.000000E+00,6.932996E-02,0.000000E+00,1.357602E+03,0.000000E+00,7.005419E-02,0.000000E+00,1.606223E+03,0.000000E+00,8.288450E-02,0.000000E+00,1.315301E+03,0.000000E+00,6.787068E-02,0.000000E+00,5.605679E+03,0.000000E+00,2.892091E-01,0.000000E+00
01:45:00,1.379930E+03,0.000000E+00,7.122057E-02,0.000000E+00,1.404814E+03,0.000000E+00,7.249041E-02,0.000000E+00,1.654506E+03,0.000000E+00,8.537581E-02,0.000000E+00,1.361452E+03,0.000000E+00,7.025228E-02,0.000000E+00,5.699237E+03,0.000000E+00,2.940307E-01,0.000000E+00
02:00:00,1.417303E+03,0.000000E+00,7.314933E-02,0.000000E+00,1.452765E+03,0.000000E+00,7.496468E-02,0.000000E+00,1.703198E+03,0.000000E+00,8.788818E-02,0.000000E+00,1.408505E+03,0.000000E+00,7.268028E-02,0.000000E+00,5.792812E+03,0.000000E+00,2.988530E-01,0.000000E+00
02:15:00,1.454352E+03,0.000000E+00,7.506129E-02,0.000000E+00,1.501388E+03,0.000000E+00,7.747367E-02,0.000000E+00,1.752320E+03,0.000000E+00,9.042278E-02,0.000000E+00,1.456422E+03,0.000000E+00,7.515288E-02,0.000000E+00,5.886089E+03,0.000000E+00,3.036596E-01,0.000000E+00
02:30:00,1.491045E+03,0.000000E+00,7.695492E-02,0.000000E+00,1.550588E+03,0.000000E+00,8.001238E-02,0.000000E+00,1.801805E+03,0.000000E+00,9.297619E-02,0.000000E+00,1.505035E+03,0.000000E+00,7.766141E-02,0.000000E+00,5.978582E+03,0.000000E+00,3.084253E-01,0.000000E+00
