Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.801019E+03,0.000000E+00,9.294162E-02,0.000000E+00,2.208628E+03,0.000000E+00,1.139763E-01,0.000000E+00,2.479007E+03,0.000000E+00,1.279291E-01,0.000000E+00,2.174146E+03,0.000000E+00,1.121968E-01,0.000000E+00,6.901737E+03,0.000000E+00,3.561352E-01,0.000000E+00
00:30:00,1.899587E+03,0.000000E+00,9.802647E-02,0.000000E+00,2.305401E+03,0.000000E+00,1.189682E-01,0.000000E+00,2.573330E+03,0.000000E+00,1.327944E-01,0.000000E+00,2.269731E+03,0.000000E+00,1.171275E-01,0.000000E+00,7.188014E+03,0.000000E+00,3.708978E-01,0.000000E+00
00:45:00,1.997707E+03,0.000000E+00,1.030882E-01,0.000000E+00,2.401717E+03,0.000000E+00,1.239366E-01,0.000000E+00,2.667205E+03,0.000000E+00,1.376366E-01,0.000000E+00,2.364917E+03,0.000000E+00,1.220375E-01,0.000000E+00,7.468949E+03,0.000000E+00,3.853848E-01,0.000000E+00
01:00:00,2.095321E+03,0.000000E+00,1.081237E-01,0.000000E+00,2.497531E+03,0.000000E+00,1.288790E-01,0.000000E+00,2.760586E+03,0.000000E+00,1.424533E-01,0.000000E+00,2.459653E+03,0.000000E+00,1.269244E-01,0.000000E+00,7.744481E+03,0.000000E+00,3.995926E-01,0.000000E+00
01:15:00,2.134222E+03,0.000000E+00,1.101310E-01,0.000000E+00,2.534398E+03,0.000000E+00,1.307814E-01,0.000000E+00,2.795806E+03,0.000000E+00,1.442707E-01,0.000000E+00,2.496327E+03,0.000000E+00,1.288167E-01,0.000000E+00,7.824358E+03,0.000000E+00,4.037128E-01,0.000000E+00
01:30:00,2.173279E+03,0.000000E+00,1.121462E-01,0.000000E+00,2.571433E+03,0.000000E+00,1.326921E-01,0.000000E+00,2.831203E+03,0.000000E+00,1.460968E-01,0.000000E+00,2.533215E+03,0.000000E+00,1.307200E-01,0.000000E+00,7.904725E+03,0.000000E+00,4.078571E-01,0.000000E+00
01:45:00,2.212454E+03,0.000000E+00,1.141673E-01,0.000000E+00,2.608606E+03,0.000000E+00,1.346099E-01,0.000000E+00,2.866745E+03,0.000000E+00,1.479304E-01,0.000000E+00,2.570284E+03,0.000000E+00,1.326324E-01,0.000000E+00,7.985550E+03,0.000000E+00,4.120251E-01,0.000000E+00
02:00:00,2.251700E+03,0.000000E+00,1.161921E-01,0.000000E+00,2.645880E+03,0.000000E+00,1.365330E-01,0.000000E+00,2.902396E+03,0.000000E+00,1.497697E-01,0.000000E+00,2.607493E+03,0.000000E+00,1.345521E-01,0.000000E+00,8.066772E+03,0.000000E+00,4.162139E-01,0.000000E+00
02:15:00,2.291070E+03,0.000000E+00,1.182233E-01,0.000000E+00,2.683320E+03,0.000000E+00,1.384646E-01,0.000000E+00,2.938220E+03,0.000000E+00,1.516179E-01,0.000000E+00,2.644901E+03,0.000000E+00,1.364821E-01,0.000000E+00,8.148311E+03,0.000000E+00,4.204196E-01,0.000000E+00
02:30:00,2.330523E+03,0.000000E+00,1.202589E-01,0.000000E+00,2.720894E+03,0.000000E+00,1.404033E-01,0.000000E+00,2.974185E+03,0.000000E+00,1.534735E-01,0.000000E+00,2.682472E+03,0.000000E+00,1.384206E-01,0.000000E+00,8.230111E+03,0.000000E+00,4.246393E-01,0.000000E+00
