Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.033039E+02,0.000000E+00,3.113472E-02,0.000000E+00,9.499987E+02,0.000000E+00,4.902151E-02,0.000000E+00,1.090080E+03,0.000000E+00,5.625143E-02,0.000000E+00,9.259081E+02,0.000000E+00,4.777830E-02,0.000000E+00,4.824834E+03,0.000000E+00,2.489143E-01,0.000000E+00
00:30:00,6.924631E+02,0.000000E+00,3.573502E-02,0.000000E+00,1.027087E+03,0.000000E+00,5.299812E-02,0.000000E+00,1.172131E+03,0.000000E+00,6.048430E-02,0.000000E+00,1.001234E+03,0.000000E+00,5.166353E-02,0.000000E+00,5.056310E+03,0.000000E+00,2.608400E-01,0.000000E+00
00:45:00,7.812709E+02,0.000000E+00,4.031710E-02,0.000000E+00,1.104687E+03,0.000000E+00,5.700122E-02,0.000000E+00,1.254168E+03,0.000000E+00,6.471646E-02,0.000000E+00,1.076609E+03,0.000000E+00,5.555146E-02,0.000000E+00,5.281252E+03,0.000000E+00,2.724276E-01,0.000000E+00
01:00:00,8.695836E+02,0.000000E+00,4.487353E-02,0.000000E+00,1.183188E+03,0.000000E+00,6.105100E-02,0.000000E+00,1.336080E+03,0.000000E+00,6.894211E-02,0.000000E+00,1.152079E+03,0.000000E+00,5.944443E-02,0.000000E+00,5.499575E+03,0.000000E+00,2.836725E-01,0.000000E+00
01:15:00,9.066666E+02,0.000000E+00,4.678683E-02,0.000000E+00,1.215745E+03,0.000000E+00,6.273109E-02,0.000000E+00,1.369476E+03,0.000000E+00,7.066534E-02,0.000000E+00,1.183767E+03,0.000000E+00,6.108003E-02,0.000000E+00,5.550884E+03,0.000000E+00,2.863136E-01,0.000000E+00
01:30:00,9.438289E+02,0.000000E+00,4.870411E-02,0.000000E+00,1.248889E+03,0.000000E+00,6.444129E-02,0.000000E+00,1.403258E+03,0.000000E+00,7.240832E-02,0.000000E+00,1.216141E+03,0.000000E+00,6.275068E-02,0.000000E+00,5.602328E+03,0.000000E+00,2.889596E-01,0.000000E+00
01:45:00,9.809724E+02,0.000000E+00,5.062034E-02,0.000000E+00,1.282588E+03,0.000000E+00,6.618011E-02,0.000000E+00,1.437376E+03,0.000000E+00,7.416863E-02,0.000000E+00,1.249137E+03,0.000000E+00,6.445324E-02,0.000000E+00,5.653855E+03,0.000000E+00,2.916097E-01,0.000000E+00
02:00:00,1.017990E+03,0.000000E+00,5.253002E-02,0.000000E+00,1.316780E+03,0.000000E+00,6.794432E-02,0.000000E+00,1.471783E+03,0.000000E+00,7.594379E-02,0.000000E+00,1.282704E+03,0.000000E+00,6.618532E-02,0.000000E+00,5.705375E+03,0.000000E+00,2.942590E-01,0.000000E+00
02:15:00,1.054809E+03,0.000000E+00,5.442939E-02,0.000000E+00,1.351430E+03,0.000000E+00,6.973220E-02,0.000000E+00,1.506498E+03,0.000000E+00,7.773491E-02,0.000000E+00,1.316869E+03,0.000000E+00,6.794822E-02,0.000000E+00,5.756786E+03,0.000000E+00,2.969022E-01,0.000000E+00
02:30:00,1.091398E+03,0.000000E+00,5.631684E-02,0.000000E+00,1.386482E+03,0.000000E+00,7.154088E-02,0.000000E+00,1.541480E+03,0.000000E+00,7.953986E-02,0.000000E+00,1.351510E+03,0.000000E+00,6.973572E-02,0.000000E+00,5.807977E+03,0.000000E+00,2.995332E-01,0.000000E+00
