,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,454.39,0.00,775.53,0.00,60.48,0.00,790.56,0.00,0.00,0.00,0.00,0.00,0.00
February,413.28,0.00,692.12,0.00,17.81,0.00,184.43,41.50,0.00,0.00,0.00,0.00,0.00
March,474.12,0.00,779.64,0.00,36.97,0.00,32.20,488.97,0.00,0.00,0.00,0.00,0.00
April,415.20,0.00,719.27,0.00,102.07,0.00,0.00,1545.51,0.00,0.00,0.00,0.00,0.00
May,474.12,0.00,779.64,0.00,172.51,0.00,0.00,2685.47,0.00,0.00,0.00,0.00,0.00
June,453.84,0.00,750.47,0.00,184.88,0.00,0.00,2865.58,0.00,0.00,0.00,0.00,0.00
July,435.48,0.00,748.45,0.00,145.27,0.00,0.00,2152.82,0.00,0.00,0.00,0.00,0.00
August,474.12,0.00,779.64,0.00,144.90,0.00,0.00,2127.70,0.00,0.00,0.00,0.00,0.00
September,434.93,0.00,723.38,0.00,131.73,0.00,0.00,1944.64,0.00,0.00,0.00,0.00,0.00
October,454.39,0.00,775.53,0.00,65.06,0.00,0.00,932.30,0.00,0.00,0.00,0.00,0.00
November,453.84,0.00,750.47,0.00,14.75,0.00,46.67,156.94,0.00,0.00,0.00,0.00,0.00
December,435.48,0.00,748.45,0.00,42.16,0.00,562.17,0.39,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5373.20,,9022.61,,1118.59,,1616.04,14941.82,,,,,
Minimum of Months,413.28,0.00,692.12,0.00,14.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,474.12,0.00,779.64,0.00,184.88,0.00,790.56,2865.58,0.00,0.00,0.00,0.00,0.00
