Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.472420E+03,0.000000E+00,7.598224E-02,0.000000E+00,1.786339E+03,0.000000E+00,9.218172E-02,0.000000E+00,1.948670E+03,0.000000E+00,1.005587E-01,0.000000E+00,1.760381E+03,0.000000E+00,9.084215E-02,0.000000E+00,5.482592E+03,0.000000E+00,2.828874E-01,0.000000E+00
00:30:00,1.551140E+03,0.000000E+00,8.004278E-02,0.000000E+00,1.863709E+03,0.000000E+00,9.617243E-02,0.000000E+00,2.024199E+03,0.000000E+00,1.044543E-01,0.000000E+00,1.836876E+03,0.000000E+00,9.478773E-02,0.000000E+00,5.713026E+03,0.000000E+00,2.947674E-01,0.000000E+00
00:45:00,1.629187E+03,0.000000E+00,8.406868E-02,0.000000E+00,1.940384E+03,0.000000E+00,1.001273E-01,0.000000E+00,2.099035E+03,0.000000E+00,1.083142E-01,0.000000E+00,1.912717E+03,0.000000E+00,9.869959E-02,0.000000E+00,5.936799E+03,0.000000E+00,3.063035E-01,0.000000E+00
01:00:00,1.706526E+03,0.000000E+00,8.805793E-02,0.000000E+00,2.016336E+03,0.000000E+00,1.040448E-01,0.000000E+00,2.173147E+03,0.000000E+00,1.121366E-01,0.000000E+00,1.987870E+03,0.000000E+00,1.025759E-01,0.000000E+00,6.153887E+03,0.000000E+00,3.174943E-01,0.000000E+00
01:15:00,1.735151E+03,0.000000E+00,8.953488E-02,0.000000E+00,2.043338E+03,0.000000E+00,1.054380E-01,0.000000E+00,2.198859E+03,0.000000E+00,1.134632E-01,0.000000E+00,2.014715E+03,0.000000E+00,1.039610E-01,0.000000E+00,6.203008E+03,0.000000E+00,3.200270E-01,0.000000E+00
01:30:00,1.763912E+03,0.000000E+00,9.101866E-02,0.000000E+00,2.070469E+03,0.000000E+00,1.068376E-01,0.000000E+00,2.224704E+03,0.000000E+00,1.147965E-01,0.000000E+00,2.041723E+03,0.000000E+00,1.053543E-01,0.000000E+00,6.252282E+03,0.000000E+00,3.225665E-01,0.000000E+00
01:45:00,1.792785E+03,0.000000E+00,9.250816E-02,0.000000E+00,2.097712E+03,0.000000E+00,1.082430E-01,0.000000E+00,2.250666E+03,0.000000E+00,1.161357E-01,0.000000E+00,2.068874E+03,0.000000E+00,1.067549E-01,0.000000E+00,6.301730E+03,0.000000E+00,3.251153E-01,0.000000E+00
02:00:00,1.821743E+03,0.000000E+00,9.400203E-02,0.000000E+00,2.125044E+03,0.000000E+00,1.096530E-01,0.000000E+00,2.276720E+03,0.000000E+00,1.174797E-01,0.000000E+00,2.096141E+03,0.000000E+00,1.081615E-01,0.000000E+00,6.351332E+03,0.000000E+00,3.276724E-01,0.000000E+00
02:15:00,1.850826E+03,0.000000E+00,9.550242E-02,0.000000E+00,2.152512E+03,0.000000E+00,1.110700E-01,0.000000E+00,2.302913E+03,0.000000E+00,1.188310E-01,0.000000E+00,2.123568E+03,0.000000E+00,1.095764E-01,0.000000E+00,6.401055E+03,0.000000E+00,3.302364E-01,0.000000E+00
02:30:00,1.880010E+03,0.000000E+00,9.700806E-02,0.000000E+00,2.180097E+03,0.000000E+00,1.124932E-01,0.000000E+00,2.329226E+03,0.000000E+00,1.201885E-01,0.000000E+00,2.151133E+03,0.000000E+00,1.109986E-01,0.000000E+00,6.450885E+03,0.000000E+00,3.328064E-01,0.000000E+00
