Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.391749E+02,0.000000E+00,3.298537E-02,0.000000E+00,9.406275E+02,0.000000E+00,4.853583E-02,0.000000E+00,1.070045E+03,0.000000E+00,5.521669E-02,0.000000E+00,9.207418E+02,0.000000E+00,4.751037E-02,0.000000E+00,4.868212E+03,0.000000E+00,2.511190E-01,0.000000E+00
00:30:00,7.184618E+02,0.000000E+00,3.707605E-02,0.000000E+00,1.010573E+03,0.000000E+00,5.214397E-02,0.000000E+00,1.143454E+03,0.000000E+00,5.900353E-02,0.000000E+00,9.885325E+02,0.000000E+00,5.100675E-02,0.000000E+00,5.087040E+03,0.000000E+00,2.623892E-01,0.000000E+00
00:45:00,7.972509E+02,0.000000E+00,4.114097E-02,0.000000E+00,1.081157E+03,0.000000E+00,5.578525E-02,0.000000E+00,1.216585E+03,0.000000E+00,6.277600E-02,0.000000E+00,1.056272E+03,0.000000E+00,5.450070E-02,0.000000E+00,5.298996E+03,0.000000E+00,2.733041E-01,0.000000E+00
01:00:00,8.753959E+02,0.000000E+00,4.517255E-02,0.000000E+00,1.151688E+03,0.000000E+00,5.942410E-02,0.000000E+00,1.289351E+03,0.000000E+00,6.652962E-02,0.000000E+00,1.124035E+03,0.000000E+00,5.799596E-02,0.000000E+00,5.504038E+03,0.000000E+00,2.838614E-01,0.000000E+00
01:15:00,9.067477E+02,0.000000E+00,4.679004E-02,0.000000E+00,1.179229E+03,0.000000E+00,6.084531E-02,0.000000E+00,1.317481E+03,0.000000E+00,6.798109E-02,0.000000E+00,1.150906E+03,0.000000E+00,5.938281E-02,0.000000E+00,5.547779E+03,0.000000E+00,2.861119E-01,0.000000E+00
01:30:00,9.381758E+02,0.000000E+00,4.841136E-02,0.000000E+00,1.207231E+03,0.000000E+00,6.229012E-02,0.000000E+00,1.345921E+03,0.000000E+00,6.944837E-02,0.000000E+00,1.178303E+03,0.000000E+00,6.079652E-02,0.000000E+00,5.591609E+03,0.000000E+00,2.883650E-01,0.000000E+00
01:45:00,9.696064E+02,0.000000E+00,5.003272E-02,0.000000E+00,1.235676E+03,0.000000E+00,6.375777E-02,0.000000E+00,1.374635E+03,0.000000E+00,7.092973E-02,0.000000E+00,1.206182E+03,0.000000E+00,6.223504E-02,0.000000E+00,5.635501E+03,0.000000E+00,2.906213E-01,0.000000E+00
02:00:00,1.000961E+03,0.000000E+00,5.165012E-02,0.000000E+00,1.264517E+03,0.000000E+00,6.524585E-02,0.000000E+00,1.403584E+03,0.000000E+00,7.242325E-02,0.000000E+00,1.234512E+03,0.000000E+00,6.369679E-02,0.000000E+00,5.679432E+03,0.000000E+00,2.928798E-01,0.000000E+00
02:15:00,1.032211E+03,0.000000E+00,5.326206E-02,0.000000E+00,1.293731E+03,0.000000E+00,6.675323E-02,0.000000E+00,1.432790E+03,0.000000E+00,7.393007E-02,0.000000E+00,1.263332E+03,0.000000E+00,6.518391E-02,0.000000E+00,5.723366E+03,0.000000E+00,2.951386E-01,0.000000E+00
02:30:00,1.063250E+03,0.000000E+00,5.486309E-02,0.000000E+00,1.323276E+03,0.000000E+00,6.827774E-02,0.000000E+00,1.462220E+03,0.000000E+00,7.544850E-02,0.000000E+00,1.292539E+03,0.000000E+00,6.669105E-02,0.000000E+00,5.767278E+03,0.000000E+00,2.973963E-01,0.000000E+00
