Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.343433E+03,0.000000E+00,6.932502E-02,0.000000E+00,1.620876E+03,0.000000E+00,8.364219E-02,0.000000E+00,1.763633E+03,0.000000E+00,9.100908E-02,0.000000E+00,1.598429E+03,0.000000E+00,8.248382E-02,0.000000E+00,5.140230E+03,0.000000E+00,2.652072E-01,0.000000E+00
00:30:00,1.414373E+03,0.000000E+00,7.298416E-02,0.000000E+00,1.690665E+03,0.000000E+00,8.724173E-02,0.000000E+00,1.831821E+03,0.000000E+00,9.452594E-02,0.000000E+00,1.667460E+03,0.000000E+00,8.604427E-02,0.000000E+00,5.359463E+03,0.000000E+00,2.765073E-01,0.000000E+00
00:45:00,1.484541E+03,0.000000E+00,7.660344E-02,0.000000E+00,1.759656E+03,0.000000E+00,9.080010E-02,0.000000E+00,1.899212E+03,0.000000E+00,9.800162E-02,0.000000E+00,1.735728E+03,0.000000E+00,8.956533E-02,0.000000E+00,5.571751E+03,0.000000E+00,2.874489E-01,0.000000E+00
01:00:00,1.553908E+03,0.000000E+00,8.018133E-02,0.000000E+00,1.827826E+03,0.000000E+00,9.431609E-02,0.000000E+00,1.965781E+03,0.000000E+00,1.014349E-01,0.000000E+00,1.803205E+03,0.000000E+00,9.304554E-02,0.000000E+00,5.777077E+03,0.000000E+00,2.980310E-01,0.000000E+00
01:15:00,1.578479E+03,0.000000E+00,8.144907E-02,0.000000E+00,1.850965E+03,0.000000E+00,9.550989E-02,0.000000E+00,1.987786E+03,0.000000E+00,1.025702E-01,0.000000E+00,1.826200E+03,0.000000E+00,9.423196E-02,0.000000E+00,5.820131E+03,0.000000E+00,3.002503E-01,0.000000E+00
01:30:00,1.603172E+03,0.000000E+00,8.272288E-02,0.000000E+00,1.874215E+03,0.000000E+00,9.670920E-02,0.000000E+00,2.009906E+03,0.000000E+00,1.037111E-01,0.000000E+00,1.849336E+03,0.000000E+00,9.542540E-02,0.000000E+00,5.863257E+03,0.000000E+00,3.024721E-01,0.000000E+00
01:45:00,1.627969E+03,0.000000E+00,8.400201E-02,0.000000E+00,1.897563E+03,0.000000E+00,9.791355E-02,0.000000E+00,2.032127E+03,0.000000E+00,1.048573E-01,0.000000E+00,1.872596E+03,0.000000E+00,9.662521E-02,0.000000E+00,5.906487E+03,0.000000E+00,3.046995E-01,0.000000E+00
02:00:00,1.652848E+03,0.000000E+00,8.528540E-02,0.000000E+00,1.920991E+03,0.000000E+00,9.912209E-02,0.000000E+00,2.054430E+03,0.000000E+00,1.060078E-01,0.000000E+00,1.895960E+03,0.000000E+00,9.783040E-02,0.000000E+00,5.949812E+03,0.000000E+00,3.069324E-01,0.000000E+00
02:15:00,1.677845E+03,0.000000E+00,8.657496E-02,0.000000E+00,1.944542E+03,0.000000E+00,1.003370E-01,0.000000E+00,2.076858E+03,0.000000E+00,1.071647E-01,0.000000E+00,1.919466E+03,0.000000E+00,9.904303E-02,0.000000E+00,5.993210E+03,0.000000E+00,3.091697E-01,0.000000E+00
02:30:00,1.702941E+03,0.000000E+00,8.786969E-02,0.000000E+00,1.968198E+03,0.000000E+00,1.015575E-01,0.000000E+00,2.099394E+03,0.000000E+00,1.083274E-01,0.000000E+00,1.943097E+03,0.000000E+00,1.002622E-01,0.000000E+00,6.036673E+03,0.000000E+00,3.114109E-01,0.000000E+00
02:45:00,1.728116E+03,0.000000E+00,8.916854E-02,0.000000E+00,1.991944E+03,0.000000E+00,1.027826E-01,0.000000E+00,2.122021E+03,0.000000E+00,1.094947E-01,0.000000E+00,1.966833E+03,0.000000E+00,1.014868E-01,0.000000E+00,6.080188E+03,0.000000E+00,3.136549E-01,0.000000E+00
