Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.879178E+02,0.000000E+00,4.582156E-02,0.000000E+00,1.389091E+03,0.000000E+00,7.168218E-02,0.000000E+00,1.584181E+03,0.000000E+00,8.175015E-02,0.000000E+00,1.295708E+03,0.000000E+00,6.686249E-02,0.000000E+00,4.850239E+03,0.000000E+00,2.502389E-01,0.000000E+00
00:30:00,1.015150E+03,0.000000E+00,5.238583E-02,0.000000E+00,1.512307E+03,0.000000E+00,7.803916E-02,0.000000E+00,1.706410E+03,0.000000E+00,8.805596E-02,0.000000E+00,1.417184E+03,0.000000E+00,7.312977E-02,0.000000E+00,5.117146E+03,0.000000E+00,2.639898E-01,0.000000E+00
00:45:00,1.140916E+03,0.000000E+00,5.887429E-02,0.000000E+00,1.635540E+03,0.000000E+00,8.439696E-02,0.000000E+00,1.828310E+03,0.000000E+00,9.434478E-02,0.000000E+00,1.539164E+03,0.000000E+00,7.942306E-02,0.000000E+00,5.376379E+03,0.000000E+00,2.773411E-01,0.000000E+00
01:00:00,1.264947E+03,0.000000E+00,6.527313E-02,0.000000E+00,1.758621E+03,0.000000E+00,9.074685E-02,0.000000E+00,1.949756E+03,0.000000E+00,1.006102E-01,0.000000E+00,1.661341E+03,0.000000E+00,8.572647E-02,0.000000E+00,5.628651E+03,0.000000E+00,2.903257E-01,0.000000E+00
01:15:00,1.317963E+03,0.000000E+00,6.800835E-02,0.000000E+00,1.811400E+03,0.000000E+00,9.347036E-02,0.000000E+00,2.000936E+03,0.000000E+00,1.032511E-01,0.000000E+00,1.714546E+03,0.000000E+00,8.847199E-02,0.000000E+00,5.699521E+03,0.000000E+00,2.939664E-01,0.000000E+00
01:30:00,1.369610E+03,0.000000E+00,7.067266E-02,0.000000E+00,1.864397E+03,0.000000E+00,9.620489E-02,0.000000E+00,2.052244E+03,0.000000E+00,1.058984E-01,0.000000E+00,1.768077E+03,0.000000E+00,9.123413E-02,0.000000E+00,5.772422E+03,0.000000E+00,2.977192E-01,0.000000E+00
01:45:00,1.419469E+03,0.000000E+00,7.324442E-02,0.000000E+00,1.917549E+03,0.000000E+00,9.894732E-02,0.000000E+00,2.103629E+03,0.000000E+00,1.085496E-01,0.000000E+00,1.821855E+03,0.000000E+00,9.400897E-02,0.000000E+00,5.848066E+03,0.000000E+00,3.016221E-01,0.000000E+00
02:00:00,1.469478E+03,0.000000E+00,7.582374E-02,0.000000E+00,1.970792E+03,0.000000E+00,1.016944E-01,0.000000E+00,2.155034E+03,0.000000E+00,1.112019E-01,0.000000E+00,1.875806E+03,0.000000E+00,9.679264E-02,0.000000E+00,5.925693E+03,0.000000E+00,3.056383E-01,0.000000E+00
02:15:00,1.520254E+03,0.000000E+00,7.844311E-02,0.000000E+00,2.024176E+03,0.000000E+00,1.044489E-01,0.000000E+00,2.206523E+03,0.000000E+00,1.138585E-01,0.000000E+00,1.929963E+03,0.000000E+00,9.958702E-02,0.000000E+00,6.003784E+03,0.000000E+00,3.096812E-01,0.000000E+00
02:30:00,1.572648E+03,0.000000E+00,8.114639E-02,0.000000E+00,2.077682E+03,0.000000E+00,1.072097E-01,0.000000E+00,2.258083E+03,0.000000E+00,1.165188E-01,0.000000E+00,1.984300E+03,0.000000E+00,1.023907E-01,0.000000E+00,6.082294E+03,0.000000E+00,3.137417E-01,0.000000E+00
