Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.060395E+03,0.000000E+00,1.063249E-01,0.000000E+00,2.512442E+03,0.000000E+00,1.296526E-01,0.000000E+00,2.701920E+03,0.000000E+00,1.394304E-01,0.000000E+00,2.453983E+03,0.000000E+00,1.266358E-01,0.000000E+00,6.378685E+03,0.000000E+00,3.291386E-01,0.000000E+00
00:30:00,2.175591E+03,0.000000E+00,1.122674E-01,0.000000E+00,2.622529E+03,0.000000E+00,1.353311E-01,0.000000E+00,2.808460E+03,0.000000E+00,1.449258E-01,0.000000E+00,2.564372E+03,0.000000E+00,1.323300E-01,0.000000E+00,6.641852E+03,0.000000E+00,3.427085E-01,0.000000E+00
00:45:00,2.289838E+03,0.000000E+00,1.181609E-01,0.000000E+00,2.731697E+03,0.000000E+00,1.409623E-01,0.000000E+00,2.914097E+03,0.000000E+00,1.503745E-01,0.000000E+00,2.673857E+03,0.000000E+00,1.379775E-01,0.000000E+00,6.898997E+03,0.000000E+00,3.559676E-01,0.000000E+00
01:00:00,2.403068E+03,0.000000E+00,1.240019E-01,0.000000E+00,2.839889E+03,0.000000E+00,1.465430E-01,0.000000E+00,3.018773E+03,0.000000E+00,1.557736E-01,0.000000E+00,2.782380E+03,0.000000E+00,1.435754E-01,0.000000E+00,7.150078E+03,0.000000E+00,3.689133E-01,0.000000E+00
01:15:00,2.447417E+03,0.000000E+00,1.262902E-01,0.000000E+00,2.879737E+03,0.000000E+00,1.485990E-01,0.000000E+00,3.056081E+03,0.000000E+00,1.576986E-01,0.000000E+00,2.822879E+03,0.000000E+00,1.456650E-01,0.000000E+00,7.216507E+03,0.000000E+00,3.723394E-01,0.000000E+00
01:30:00,2.491629E+03,0.000000E+00,1.285712E-01,0.000000E+00,2.919508E+03,0.000000E+00,1.506508E-01,0.000000E+00,3.093340E+03,0.000000E+00,1.596207E-01,0.000000E+00,2.863317E+03,0.000000E+00,1.477513E-01,0.000000E+00,7.283177E+03,0.000000E+00,3.757767E-01,0.000000E+00
01:45:00,2.535679E+03,0.000000E+00,1.308438E-01,0.000000E+00,2.959187E+03,0.000000E+00,1.526978E-01,0.000000E+00,3.130531E+03,0.000000E+00,1.615393E-01,0.000000E+00,2.903675E+03,0.000000E+00,1.498333E-01,0.000000E+00,7.350083E+03,0.000000E+00,3.792264E-01,0.000000E+00
02:00:00,2.579535E+03,0.000000E+00,1.331064E-01,0.000000E+00,2.998748E+03,0.000000E+00,1.547387E-01,0.000000E+00,3.167630E+03,0.000000E+00,1.634531E-01,0.000000E+00,2.943924E+03,0.000000E+00,1.519097E-01,0.000000E+00,7.417184E+03,0.000000E+00,3.826867E-01,0.000000E+00
02:15:00,2.623356E+03,0.000000E+00,1.353672E-01,0.000000E+00,3.038360E+03,0.000000E+00,1.567823E-01,0.000000E+00,3.204800E+03,0.000000E+00,1.653706E-01,0.000000E+00,2.984231E+03,0.000000E+00,1.539892E-01,0.000000E+00,7.484427E+03,0.000000E+00,3.861548E-01,0.000000E+00
02:30:00,2.667116E+03,0.000000E+00,1.376250E-01,0.000000E+00,3.078008E+03,0.000000E+00,1.588280E-01,0.000000E+00,3.242023E+03,0.000000E+00,1.672911E-01,0.000000E+00,3.024578E+03,0.000000E+00,1.560709E-01,0.000000E+00,7.551778E+03,0.000000E+00,3.896290E-01,0.000000E+00
02:45:00,2.710792E+03,0.000000E+00,1.398785E-01,0.000000E+00,3.117675E+03,0.000000E+00,1.608746E-01,0.000000E+00,3.279278E+03,0.000000E+00,1.692132E-01,0.000000E+00,3.064946E+03,0.000000E+00,1.581537E-01,0.000000E+00,7.619199E+03,0.000000E+00,3.931069E-01,0.000000E+00
03:00:00,2.754357E+03,0.000000E+00,1.421263E-01,0.000000E+00,3.157346E+03,0.000000E+00,1.629215E-01,0.000000E+00,3.316545E+03,0.000000E+00,1.711360E-01,0.000000E+00,3.105320E+03,0.000000E+00,1.602369E-01,0.000000E+00,7.686671E+03,0.000000E+00,3.965874E-01,0.000000E+00
03:15:00,2.797691E+03,0.000000E+00,1.443621E-01,0.000000E+00,3.196911E+03,0.000000E+00,1.649629E-01,0.000000E+00,3.353706E+03,0.000000E+00,1.730533E-01,0.000000E+00,3.145587E+03,0.000000E+00,1.623145E-01,0.000000E+00,7.754165E+03,0.000000E+00,4.000691E-01,0.000000E+00
03:30:00,2.840763E+03,0.000000E+00,1.465844E-01,0.000000E+00,3.236360E+03,0.000000E+00,1.669984E-01,0.000000E+00,3.390726E+03,0.000000E+00,1.749633E-01,0.000000E+00,3.185737E+03,0.000000E+00,1.643861E-01,0.000000E+00,7.821670E+03,0.000000E+00,4.035513E-01,0.000000E+00
03:45:00,2.883533E+03,0.000000E+00,1.487911E-01,0.000000E+00,3.275687E+03,0.000000E+00,1.690274E-01,0.000000E+00,3.427588E+03,0.000000E+00,1.768650E-01,0.000000E+00,3.225763E+03,0.000000E+00,1.664513E-01,0.000000E+00,7.889176E+03,0.000000E+00,4.070331E-01,0.000000E+00
