Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.126087E+02,0.000000E+00,4.709579E-02,0.000000E+00,1.413489E+03,0.000000E+00,7.294153E-02,0.000000E+00,1.613683E+03,0.000000E+00,8.327287E-02,0.000000E+00,1.317044E+03,0.000000E+00,6.796379E-02,0.000000E+00,4.833869E+03,0.000000E+00,2.494023E-01,0.000000E+00
00:30:00,1.043878E+03,0.000000E+00,5.386839E-02,0.000000E+00,1.541304E+03,0.000000E+00,7.953583E-02,0.000000E+00,1.740615E+03,0.000000E+00,8.982139E-02,0.000000E+00,1.443058E+03,0.000000E+00,7.446530E-02,0.000000E+00,5.113401E+03,0.000000E+00,2.638072E-01,0.000000E+00
00:45:00,1.173613E+03,0.000000E+00,6.056168E-02,0.000000E+00,1.669158E+03,0.000000E+00,8.613213E-02,0.000000E+00,1.867225E+03,0.000000E+00,9.635328E-02,0.000000E+00,1.569601E+03,0.000000E+00,8.099410E-02,0.000000E+00,5.385662E+03,0.000000E+00,2.778340E-01,0.000000E+00
01:00:00,1.301526E+03,0.000000E+00,6.716079E-02,0.000000E+00,1.796875E+03,0.000000E+00,9.272126E-02,0.000000E+00,1.993386E+03,0.000000E+00,1.028620E-01,0.000000E+00,1.696373E+03,0.000000E+00,8.753465E-02,0.000000E+00,5.649905E+03,0.000000E+00,2.914423E-01,0.000000E+00
01:15:00,1.356512E+03,0.000000E+00,6.999768E-02,0.000000E+00,1.852223E+03,0.000000E+00,9.557732E-02,0.000000E+00,2.047122E+03,0.000000E+00,1.056348E-01,0.000000E+00,1.752158E+03,0.000000E+00,9.041329E-02,0.000000E+00,5.727239E+03,0.000000E+00,2.954153E-01,0.000000E+00
01:30:00,1.409501E+03,0.000000E+00,7.273123E-02,0.000000E+00,1.907797E+03,0.000000E+00,9.844489E-02,0.000000E+00,2.100991E+03,0.000000E+00,1.084144E-01,0.000000E+00,1.808282E+03,0.000000E+00,9.330928E-02,0.000000E+00,5.806613E+03,0.000000E+00,2.995001E-01,0.000000E+00
01:45:00,1.461931E+03,0.000000E+00,7.543541E-02,0.000000E+00,1.963532E+03,0.000000E+00,1.013207E-01,0.000000E+00,2.154939E+03,0.000000E+00,1.111978E-01,0.000000E+00,1.864664E+03,0.000000E+00,9.621846E-02,0.000000E+00,5.888560E+03,0.000000E+00,3.037254E-01,0.000000E+00
02:00:00,1.514753E+03,0.000000E+00,7.816021E-02,0.000000E+00,2.019359E+03,0.000000E+00,1.042011E-01,0.000000E+00,2.208906E+03,0.000000E+00,1.139823E-01,0.000000E+00,1.921221E+03,0.000000E+00,9.913667E-02,0.000000E+00,5.973774E+03,0.000000E+00,3.081275E-01,0.000000E+00
02:15:00,1.568730E+03,0.000000E+00,8.094496E-02,0.000000E+00,2.075329E+03,0.000000E+00,1.070890E-01,0.000000E+00,2.262957E+03,0.000000E+00,1.167711E-01,0.000000E+00,1.977991E+03,0.000000E+00,1.020658E-01,0.000000E+00,6.059736E+03,0.000000E+00,3.125764E-01,0.000000E+00
02:30:00,1.625154E+03,0.000000E+00,8.385642E-02,0.000000E+00,2.131420E+03,0.000000E+00,1.099832E-01,0.000000E+00,2.317078E+03,0.000000E+00,1.195636E-01,0.000000E+00,2.034940E+03,0.000000E+00,1.050043E-01,0.000000E+00,6.146269E+03,0.000000E+00,3.170510E-01,0.000000E+00
02:45:00,1.682908E+03,0.000000E+00,8.683717E-02,0.000000E+00,2.187608E+03,0.000000E+00,1.128824E-01,0.000000E+00,2.371253E+03,0.000000E+00,1.223590E-01,0.000000E+00,2.092038E+03,0.000000E+00,1.079506E-01,0.000000E+00,6.233422E+03,0.000000E+00,3.215542E-01,0.000000E+00
