Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.149264E+03,0.000000E+00,1.109113E-01,0.000000E+00,2.599261E+03,0.000000E+00,1.341333E-01,0.000000E+00,2.795664E+03,0.000000E+00,1.442685E-01,0.000000E+00,2.538904E+03,0.000000E+00,1.310186E-01,0.000000E+00,6.646956E+03,0.000000E+00,3.429840E-01,0.000000E+00
00:30:00,2.268326E+03,0.000000E+00,1.170532E-01,0.000000E+00,2.713133E+03,0.000000E+00,1.400071E-01,0.000000E+00,2.905870E+03,0.000000E+00,1.499530E-01,0.000000E+00,2.653083E+03,0.000000E+00,1.369083E-01,0.000000E+00,6.920556E+03,0.000000E+00,3.570923E-01,0.000000E+00
00:45:00,2.386445E+03,0.000000E+00,1.231466E-01,0.000000E+00,2.826101E+03,0.000000E+00,1.458343E-01,0.000000E+00,3.015186E+03,0.000000E+00,1.555916E-01,0.000000E+00,2.766375E+03,0.000000E+00,1.427522E-01,0.000000E+00,7.188352E+03,0.000000E+00,3.709010E-01,0.000000E+00
01:00:00,2.503553E+03,0.000000E+00,1.291876E-01,0.000000E+00,2.938104E+03,0.000000E+00,1.516117E-01,0.000000E+00,3.123551E+03,0.000000E+00,1.611810E-01,0.000000E+00,2.878717E+03,0.000000E+00,1.485472E-01,0.000000E+00,7.450292E+03,0.000000E+00,3.844072E-01,0.000000E+00
01:15:00,2.549737E+03,0.000000E+00,1.315707E-01,0.000000E+00,2.979683E+03,0.000000E+00,1.537571E-01,0.000000E+00,3.162507E+03,0.000000E+00,1.631910E-01,0.000000E+00,2.920972E+03,0.000000E+00,1.507274E-01,0.000000E+00,7.522344E+03,0.000000E+00,3.881234E-01,0.000000E+00
01:30:00,2.595770E+03,0.000000E+00,1.339457E-01,0.000000E+00,3.021179E+03,0.000000E+00,1.558979E-01,0.000000E+00,3.201403E+03,0.000000E+00,1.651976E-01,0.000000E+00,2.963160E+03,0.000000E+00,1.529040E-01,0.000000E+00,7.594675E+03,0.000000E+00,3.918529E-01,0.000000E+00
01:45:00,2.641628E+03,0.000000E+00,1.363116E-01,0.000000E+00,3.062574E+03,0.000000E+00,1.580335E-01,0.000000E+00,3.240219E+03,0.000000E+00,1.672000E-01,0.000000E+00,3.005261E+03,0.000000E+00,1.550760E-01,0.000000E+00,7.667272E+03,0.000000E+00,3.955963E-01,0.000000E+00
02:00:00,2.687274E+03,0.000000E+00,1.386665E-01,0.000000E+00,3.103842E+03,0.000000E+00,1.601624E-01,0.000000E+00,3.278926E+03,0.000000E+00,1.691967E-01,0.000000E+00,3.047244E+03,0.000000E+00,1.572419E-01,0.000000E+00,7.740087E+03,0.000000E+00,3.993513E-01,0.000000E+00
02:15:00,2.732874E+03,0.000000E+00,1.410191E-01,0.000000E+00,3.145157E+03,0.000000E+00,1.622939E-01,0.000000E+00,3.317690E+03,0.000000E+00,1.711965E-01,0.000000E+00,3.089282E+03,0.000000E+00,1.594107E-01,0.000000E+00,7.813060E+03,0.000000E+00,4.031150E-01,0.000000E+00
02:30:00,2.778401E+03,0.000000E+00,1.433681E-01,0.000000E+00,3.186503E+03,0.000000E+00,1.644272E-01,0.000000E+00,3.356483E+03,0.000000E+00,1.731979E-01,0.000000E+00,3.131357E+03,0.000000E+00,1.615815E-01,0.000000E+00,7.886148E+03,0.000000E+00,4.068853E-01,0.000000E+00
02:45:00,2.823828E+03,0.000000E+00,1.457120E-01,0.000000E+00,3.227862E+03,0.000000E+00,1.665611E-01,0.000000E+00,3.395250E+03,0.000000E+00,1.751980E-01,0.000000E+00,3.173448E+03,0.000000E+00,1.637533E-01,0.000000E+00,7.959311E+03,0.000000E+00,4.106594E-01,0.000000E+00
03:00:00,2.869126E+03,0.000000E+00,1.480491E-01,0.000000E+00,3.269217E+03,0.000000E+00,1.686949E-01,0.000000E+00,3.433984E+03,0.000000E+00,1.771964E-01,0.000000E+00,3.215538E+03,0.000000E+00,1.659250E-01,0.000000E+00,8.032522E+03,0.000000E+00,4.144361E-01,0.000000E+00
03:15:00,2.914162E+03,0.000000E+00,1.503728E-01,0.000000E+00,3.310452E+03,0.000000E+00,1.708225E-01,0.000000E+00,3.472621E+03,0.000000E+00,1.791897E-01,0.000000E+00,3.257509E+03,0.000000E+00,1.680906E-01,0.000000E+00,8.105749E+03,0.000000E+00,4.182136E-01,0.000000E+00
03:30:00,2.958894E+03,0.000000E+00,1.526808E-01,0.000000E+00,3.351556E+03,0.000000E+00,1.729433E-01,0.000000E+00,3.511174E+03,0.000000E+00,1.811788E-01,0.000000E+00,3.299350E+03,0.000000E+00,1.702494E-01,0.000000E+00,8.178980E+03,0.000000E+00,4.219913E-01,0.000000E+00
03:45:00,3.003239E+03,0.000000E+00,1.549687E-01,0.000000E+00,3.392520E+03,0.000000E+00,1.750568E-01,0.000000E+00,3.549687E+03,0.000000E+00,1.831658E-01,0.000000E+00,3.341052E+03,0.000000E+00,1.724011E-01,0.000000E+00,8.252204E+03,0.000000E+00,4.257682E-01,0.000000E+00
04:00:00,3.047292E+03,0.000000E+00,1.572413E-01,0.000000E+00,3.433340E+03,0.000000E+00,1.771627E-01,0.000000E+00,3.588164E+03,0.000000E+00,1.851510E-01,0.000000E+00,3.382613E+03,0.000000E+00,1.745452E-01,0.000000E+00,8.325421E+03,0.000000E+00,4.295441E-01,0.000000E+00
04:15:00,3.091206E+03,0.000000E+00,1.595068E-01,0.000000E+00,3.474014E+03,0.000000E+00,1.792610E-01,0.000000E+00,3.626576E+03,0.000000E+00,1.871326E-01,0.000000E+00,3.424031E+03,0.000000E+00,1.766820E-01,0.000000E+00,8.398654E+03,0.000000E+00,4.333203E-01,0.000000E+00
04:30:00,3.135062E+03,0.000000E+00,1.617691E-01,0.000000E+00,3.514533E+03,0.000000E+00,1.813511E-01,0.000000E+00,3.664921E+03,0.000000E+00,1.891106E-01,0.000000E+00,3.465305E+03,0.000000E+00,1.788110E-01,0.000000E+00,8.471903E+03,0.000000E+00,4.370966E-01,0.000000E+00
