Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.119275E+02,0.000000E+00,4.706060E-02,0.000000E+00,1.414747E+03,0.000000E+00,7.300645E-02,0.000000E+00,1.823027E+03,0.000000E+00,9.407551E-02,0.000000E+00,1.318577E+03,0.000000E+00,6.804292E-02,0.000000E+00,4.844346E+03,0.000000E+00,2.499401E-01,0.000000E+00
00:30:00,1.042385E+03,0.000000E+00,5.379127E-02,0.000000E+00,1.541810E+03,0.000000E+00,7.956191E-02,0.000000E+00,1.948979E+03,0.000000E+00,1.005733E-01,0.000000E+00,1.443967E+03,0.000000E+00,7.451219E-02,0.000000E+00,5.120851E+03,0.000000E+00,2.641875E-01,0.000000E+00
00:45:00,1.171306E+03,0.000000E+00,6.044259E-02,0.000000E+00,1.668887E+03,0.000000E+00,8.611807E-02,0.000000E+00,2.074517E+03,0.000000E+00,1.070497E-01,0.000000E+00,1.569820E+03,0.000000E+00,8.100537E-02,0.000000E+00,5.389345E+03,0.000000E+00,2.780179E-01,0.000000E+00
01:00:00,1.298503E+03,0.000000E+00,6.700473E-02,0.000000E+00,1.795880E+03,0.000000E+00,9.266990E-02,0.000000E+00,2.199603E+03,0.000000E+00,1.135027E-01,0.000000E+00,1.695937E+03,0.000000E+00,8.751212E-02,0.000000E+00,5.651473E+03,0.000000E+00,2.915115E-01,0.000000E+00
01:15:00,1.353056E+03,0.000000E+00,6.981928E-02,0.000000E+00,1.850815E+03,0.000000E+00,9.550462E-02,0.000000E+00,2.253150E+03,0.000000E+00,1.162658E-01,0.000000E+00,1.751325E+03,0.000000E+00,9.037025E-02,0.000000E+00,5.728298E+03,0.000000E+00,2.954620E-01,0.000000E+00
01:30:00,1.405633E+03,0.000000E+00,7.253157E-02,0.000000E+00,1.905972E+03,0.000000E+00,9.835063E-02,0.000000E+00,2.306797E+03,0.000000E+00,1.190338E-01,0.000000E+00,1.807044E+03,0.000000E+00,9.324534E-02,0.000000E+00,5.807385E+03,0.000000E+00,2.995359E-01,0.000000E+00
01:45:00,1.457626E+03,0.000000E+00,7.521319E-02,0.000000E+00,1.961285E+03,0.000000E+00,1.012046E-01,0.000000E+00,2.360489E+03,0.000000E+00,1.218040E-01,0.000000E+00,1.863014E+03,0.000000E+00,9.613327E-02,0.000000E+00,5.889773E+03,0.000000E+00,3.037877E-01,0.000000E+00
02:00:00,1.510005E+03,0.000000E+00,7.791511E-02,0.000000E+00,2.016687E+03,0.000000E+00,1.040632E-01,0.000000E+00,2.414168E+03,0.000000E+00,1.245735E-01,0.000000E+00,1.919154E+03,0.000000E+00,9.902996E-02,0.000000E+00,5.973916E+03,0.000000E+00,3.081413E-01,0.000000E+00
02:15:00,1.563527E+03,0.000000E+00,8.067640E-02,0.000000E+00,2.072229E+03,0.000000E+00,1.069290E-01,0.000000E+00,2.467908E+03,0.000000E+00,1.273463E-01,0.000000E+00,1.975502E+03,0.000000E+00,1.019373E-01,0.000000E+00,6.058625E+03,0.000000E+00,3.125235E-01,0.000000E+00
02:30:00,1.619469E+03,0.000000E+00,8.356296E-02,0.000000E+00,2.127890E+03,0.000000E+00,1.098010E-01,0.000000E+00,2.521697E+03,0.000000E+00,1.301216E-01,0.000000E+00,2.032025E+03,0.000000E+00,1.048539E-01,0.000000E+00,6.143923E+03,0.000000E+00,3.169324E-01,0.000000E+00
