Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.365159E+02,0.000000E+00,4.833008E-02,0.000000E+00,1.505771E+03,0.000000E+00,7.770476E-02,0.000000E+00,1.806231E+03,0.000000E+00,9.321027E-02,0.000000E+00,1.398070E+03,0.000000E+00,7.214618E-02,0.000000E+00,4.742210E+03,0.000000E+00,2.446958E-01,0.000000E+00
00:30:00,1.085972E+03,0.000000E+00,5.604130E-02,0.000000E+00,1.651563E+03,0.000000E+00,8.522680E-02,0.000000E+00,1.951275E+03,0.000000E+00,1.006934E-01,0.000000E+00,1.541658E+03,0.000000E+00,7.955463E-02,0.000000E+00,5.083048E+03,0.000000E+00,2.622704E-01,0.000000E+00
00:45:00,1.234013E+03,0.000000E+00,6.367937E-02,0.000000E+00,1.797704E+03,0.000000E+00,9.276680E-02,0.000000E+00,2.096201E+03,0.000000E+00,1.081705E-01,0.000000E+00,1.686151E+03,0.000000E+00,8.700981E-02,0.000000E+00,5.417671E+03,0.000000E+00,2.795230E-01,0.000000E+00
01:00:00,1.380264E+03,0.000000E+00,7.122500E-02,0.000000E+00,1.943970E+03,0.000000E+00,1.003133E-01,0.000000E+00,2.240853E+03,0.000000E+00,1.156334E-01,0.000000E+00,1.831220E+03,0.000000E+00,9.449459E-02,0.000000E+00,5.744836E+03,0.000000E+00,2.963887E-01,0.000000E+00
01:15:00,1.444892E+03,0.000000E+00,7.455952E-02,0.000000E+00,2.009351E+03,0.000000E+00,1.036871E-01,0.000000E+00,2.304747E+03,0.000000E+00,1.189305E-01,0.000000E+00,1.897068E+03,0.000000E+00,9.789257E-02,0.000000E+00,5.855680E+03,0.000000E+00,3.020987E-01,0.000000E+00
01:30:00,1.507320E+03,0.000000E+00,7.778024E-02,0.000000E+00,2.074992E+03,0.000000E+00,1.070742E-01,0.000000E+00,2.368778E+03,0.000000E+00,1.222345E-01,0.000000E+00,1.963309E+03,0.000000E+00,1.013107E-01,0.000000E+00,5.968291E+03,0.000000E+00,3.078980E-01,0.000000E+00
01:45:00,1.569958E+03,0.000000E+00,8.101150E-02,0.000000E+00,2.140811E+03,0.000000E+00,1.104704E-01,0.000000E+00,2.432878E+03,0.000000E+00,1.255419E-01,0.000000E+00,2.029843E+03,0.000000E+00,1.047438E-01,0.000000E+00,6.083506E+03,0.000000E+00,3.138364E-01,0.000000E+00
02:00:00,1.633273E+03,0.000000E+00,8.427802E-02,0.000000E+00,2.206723E+03,0.000000E+00,1.138714E-01,0.000000E+00,2.496973E+03,0.000000E+00,1.288491E-01,0.000000E+00,2.096568E+03,0.000000E+00,1.081868E-01,0.000000E+00,6.202719E+03,0.000000E+00,3.199857E-01,0.000000E+00
02:15:00,1.698317E+03,0.000000E+00,8.763415E-02,0.000000E+00,2.272878E+03,0.000000E+00,1.172849E-01,0.000000E+00,2.561229E+03,0.000000E+00,1.321645E-01,0.000000E+00,2.163618E+03,0.000000E+00,1.116465E-01,0.000000E+00,6.326715E+03,0.000000E+00,3.263873E-01,0.000000E+00
02:30:00,1.766305E+03,0.000000E+00,9.114248E-02,0.000000E+00,2.339208E+03,0.000000E+00,1.207075E-01,0.000000E+00,2.625587E+03,0.000000E+00,1.354853E-01,0.000000E+00,2.230914E+03,0.000000E+00,1.151190E-01,0.000000E+00,6.452419E+03,0.000000E+00,3.328805E-01,0.000000E+00
