Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.429380E+03,0.000000E+00,1.253682E-01,0.000000E+00,2.936527E+03,0.000000E+00,1.515395E-01,0.000000E+00,3.239457E+03,0.000000E+00,1.671717E-01,0.000000E+00,2.869207E+03,0.000000E+00,1.480655E-01,0.000000E+00,7.866225E+03,0.000000E+00,4.059087E-01,0.000000E+00
00:30:00,2.563826E+03,0.000000E+00,1.323040E-01,0.000000E+00,3.065025E+03,0.000000E+00,1.581681E-01,0.000000E+00,3.362981E+03,0.000000E+00,1.735432E-01,0.000000E+00,2.998043E+03,0.000000E+00,1.547115E-01,0.000000E+00,8.189854E+03,0.000000E+00,4.225983E-01,0.000000E+00
00:45:00,2.697363E+03,0.000000E+00,1.391929E-01,0.000000E+00,3.192662E+03,0.000000E+00,1.647522E-01,0.000000E+00,3.485683E+03,0.000000E+00,1.798723E-01,0.000000E+00,3.126047E+03,0.000000E+00,1.613146E-01,0.000000E+00,8.508679E+03,0.000000E+00,4.390400E-01,0.000000E+00
01:00:00,2.829907E+03,0.000000E+00,1.460305E-01,0.000000E+00,3.319363E+03,0.000000E+00,1.712879E-01,0.000000E+00,3.607514E+03,0.000000E+00,1.861564E-01,0.000000E+00,3.253142E+03,0.000000E+00,1.678708E-01,0.000000E+00,8.822612E+03,0.000000E+00,4.552289E-01,0.000000E+00
01:15:00,2.883315E+03,0.000000E+00,1.487863E-01,0.000000E+00,3.367596E+03,0.000000E+00,1.737767E-01,0.000000E+00,3.652769E+03,0.000000E+00,1.884916E-01,0.000000E+00,3.302164E+03,0.000000E+00,1.704003E-01,0.000000E+00,8.921725E+03,0.000000E+00,4.603418E-01,0.000000E+00
01:30:00,2.936521E+03,0.000000E+00,1.515315E-01,0.000000E+00,3.415703E+03,0.000000E+00,1.762587E-01,0.000000E+00,3.697997E+03,0.000000E+00,1.908251E-01,0.000000E+00,3.351087E+03,0.000000E+00,1.729245E-01,0.000000E+00,9.021278E+03,0.000000E+00,4.654762E-01,0.000000E+00
01:45:00,2.989489E+03,0.000000E+00,1.542644E-01,0.000000E+00,3.463655E+03,0.000000E+00,1.787326E-01,0.000000E+00,3.743176E+03,0.000000E+00,1.931560E-01,0.000000E+00,3.399883E+03,0.000000E+00,1.754419E-01,0.000000E+00,9.121218E+03,0.000000E+00,4.706304E-01,0.000000E+00
02:00:00,3.042174E+03,0.000000E+00,1.569825E-01,0.000000E+00,3.511408E+03,0.000000E+00,1.811962E-01,0.000000E+00,3.788269E+03,0.000000E+00,1.954824E-01,0.000000E+00,3.448511E+03,0.000000E+00,1.779507E-01,0.000000E+00,9.221461E+03,0.000000E+00,4.758005E-01,0.000000E+00
02:15:00,3.094761E+03,0.000000E+00,1.596957E-01,0.000000E+00,3.559147E+03,0.000000E+00,1.836591E-01,0.000000E+00,3.833479E+03,0.000000E+00,1.978150E-01,0.000000E+00,3.497165E+03,0.000000E+00,1.804609E-01,0.000000E+00,9.321911E+03,0.000000E+00,4.809819E-01,0.000000E+00
02:30:00,3.147210E+03,0.000000E+00,1.624018E-01,0.000000E+00,3.606797E+03,0.000000E+00,1.861175E-01,0.000000E+00,3.878783E+03,0.000000E+00,2.001525E-01,0.000000E+00,3.545814E+03,0.000000E+00,1.829709E-01,0.000000E+00,9.422494E+03,0.000000E+00,4.861707E-01,0.000000E+00
02:45:00,3.199469E+03,0.000000E+00,1.650982E-01,0.000000E+00,3.654332E+03,0.000000E+00,1.885700E-01,0.000000E+00,3.924157E+03,0.000000E+00,2.024938E-01,0.000000E+00,3.594418E+03,0.000000E+00,1.854787E-01,0.000000E+00,9.523139E+03,0.000000E+00,4.913629E-01,0.000000E+00
03:00:00,3.251468E+03,0.000000E+00,1.677812E-01,0.000000E+00,3.701827E+03,0.000000E+00,1.910205E-01,0.000000E+00,3.969582E+03,0.000000E+00,2.048377E-01,0.000000E+00,3.642929E+03,0.000000E+00,1.879817E-01,0.000000E+00,9.623798E+03,0.000000E+00,4.965559E-01,0.000000E+00
03:15:00,3.302960E+03,0.000000E+00,1.704379E-01,0.000000E+00,3.749189E+03,0.000000E+00,1.934641E-01,0.000000E+00,4.014922E+03,0.000000E+00,2.071772E-01,0.000000E+00,3.691115E+03,0.000000E+00,1.904678E-01,0.000000E+00,9.724422E+03,0.000000E+00,5.017470E-01,0.000000E+00
03:30:00,3.354239E+03,0.000000E+00,1.730837E-01,0.000000E+00,3.796486E+03,0.000000E+00,1.959045E-01,0.000000E+00,4.060164E+03,0.000000E+00,2.095117E-01,0.000000E+00,3.739092E+03,0.000000E+00,1.929431E-01,0.000000E+00,9.824989E+03,0.000000E+00,5.069352E-01,0.000000E+00
03:45:00,3.405372E+03,0.000000E+00,1.757219E-01,0.000000E+00,3.843740E+03,0.000000E+00,1.983427E-01,0.000000E+00,4.105302E+03,0.000000E+00,2.118407E-01,0.000000E+00,3.786891E+03,0.000000E+00,1.954092E-01,0.000000E+00,9.925483E+03,0.000000E+00,5.121193E-01,0.000000E+00
04:00:00,3.456468E+03,0.000000E+00,1.783582E-01,0.000000E+00,3.890887E+03,0.000000E+00,2.007753E-01,0.000000E+00,4.150332E+03,0.000000E+00,2.141640E-01,0.000000E+00,3.834564E+03,0.000000E+00,1.978687E-01,0.000000E+00,1.002590E+04,0.000000E+00,5.172990E-01,0.000000E+00
04:15:00,3.507701E+03,0.000000E+00,1.810015E-01,0.000000E+00,3.937928E+03,0.000000E+00,2.032023E-01,0.000000E+00,4.195260E+03,0.000000E+00,2.164819E-01,0.000000E+00,3.882235E+03,0.000000E+00,2.003281E-01,0.000000E+00,1.012627E+04,0.000000E+00,5.224752E-01,0.000000E+00
