Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.283816E+02,0.000000E+00,4.791018E-02,0.000000E+00,1.479685E+03,0.000000E+00,7.635833E-02,0.000000E+00,1.696419E+03,0.000000E+00,8.754321E-02,0.000000E+00,1.375020E+03,0.000000E+00,7.095640E-02,0.000000E+00,4.768151E+03,0.000000E+00,2.460293E-01,0.000000E+00
00:30:00,1.072950E+03,0.000000E+00,5.536914E-02,0.000000E+00,1.620595E+03,0.000000E+00,8.362842E-02,0.000000E+00,1.836770E+03,0.000000E+00,9.478426E-02,0.000000E+00,1.513808E+03,0.000000E+00,7.811718E-02,0.000000E+00,5.090755E+03,0.000000E+00,2.626618E-01,0.000000E+00
00:45:00,1.216085E+03,0.000000E+00,6.275405E-02,0.000000E+00,1.761781E+03,0.000000E+00,9.091276E-02,0.000000E+00,1.976985E+03,0.000000E+00,1.020183E-01,0.000000E+00,1.653423E+03,0.000000E+00,8.532055E-02,0.000000E+00,5.406936E+03,0.000000E+00,2.789613E-01,0.000000E+00
01:00:00,1.357435E+03,0.000000E+00,7.004667E-02,0.000000E+00,1.903034E+03,0.000000E+00,9.820045E-02,0.000000E+00,2.116913E+03,0.000000E+00,1.092375E-01,0.000000E+00,1.793533E+03,0.000000E+00,9.254943E-02,0.000000E+00,5.715467E+03,0.000000E+00,2.948637E-01,0.000000E+00
01:15:00,1.419504E+03,0.000000E+00,7.324916E-02,0.000000E+00,1.965700E+03,0.000000E+00,1.014342E-01,0.000000E+00,2.177975E+03,0.000000E+00,1.123884E-01,0.000000E+00,1.856654E+03,0.000000E+00,9.580672E-02,0.000000E+00,5.815974E+03,0.000000E+00,3.000388E-01,0.000000E+00
01:30:00,1.479131E+03,0.000000E+00,7.632529E-02,0.000000E+00,2.028618E+03,0.000000E+00,1.046808E-01,0.000000E+00,2.239185E+03,0.000000E+00,1.155468E-01,0.000000E+00,1.920156E+03,0.000000E+00,9.908348E-02,0.000000E+00,5.918211E+03,0.000000E+00,3.053020E-01,0.000000E+00
01:45:00,1.539007E+03,0.000000E+00,7.941383E-02,0.000000E+00,2.091711E+03,0.000000E+00,1.079363E-01,0.000000E+00,2.300477E+03,0.000000E+00,1.187093E-01,0.000000E+00,1.983943E+03,0.000000E+00,1.023748E-01,0.000000E+00,6.022929E+03,0.000000E+00,3.106986E-01,0.000000E+00
02:00:00,1.599457E+03,0.000000E+00,8.253247E-02,0.000000E+00,2.154898E+03,0.000000E+00,1.111966E-01,0.000000E+00,2.361784E+03,0.000000E+00,1.218726E-01,0.000000E+00,2.047919E+03,0.000000E+00,1.056759E-01,0.000000E+00,6.131427E+03,0.000000E+00,3.162955E-01,0.000000E+00
02:15:00,1.661476E+03,0.000000E+00,8.573242E-02,0.000000E+00,2.218323E+03,0.000000E+00,1.144692E-01,0.000000E+00,2.423258E+03,0.000000E+00,1.250445E-01,0.000000E+00,2.112212E+03,0.000000E+00,1.089934E-01,0.000000E+00,6.243868E+03,0.000000E+00,3.221022E-01,0.000000E+00
02:30:00,1.726517E+03,0.000000E+00,8.908865E-02,0.000000E+00,2.281835E+03,0.000000E+00,1.177464E-01,0.000000E+00,2.484764E+03,0.000000E+00,1.282181E-01,0.000000E+00,2.176659E+03,0.000000E+00,1.123188E-01,0.000000E+00,6.357576E+03,0.000000E+00,3.279774E-01,0.000000E+00
