Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.352238E+03,0.000000E+00,1.213869E-01,0.000000E+00,2.844470E+03,0.000000E+00,1.467885E-01,0.000000E+00,3.062535E+03,0.000000E+00,1.580416E-01,0.000000E+00,2.778948E+03,0.000000E+00,1.434072E-01,0.000000E+00,7.508118E+03,0.000000E+00,3.874274E-01,0.000000E+00
00:30:00,2.482575E+03,0.000000E+00,1.281106E-01,0.000000E+00,2.969061E+03,0.000000E+00,1.532154E-01,0.000000E+00,3.183007E+03,0.000000E+00,1.642557E-01,0.000000E+00,2.903863E+03,0.000000E+00,1.498509E-01,0.000000E+00,7.816813E+03,0.000000E+00,4.033465E-01,0.000000E+00
00:45:00,2.611994E+03,0.000000E+00,1.347870E-01,0.000000E+00,3.092781E+03,0.000000E+00,1.595974E-01,0.000000E+00,3.302572E+03,0.000000E+00,1.704230E-01,0.000000E+00,3.027934E+03,0.000000E+00,1.562511E-01,0.000000E+00,8.120410E+03,0.000000E+00,4.190025E-01,0.000000E+00
01:00:00,2.740417E+03,0.000000E+00,1.414119E-01,0.000000E+00,3.215563E+03,0.000000E+00,1.659309E-01,0.000000E+00,3.421094E+03,0.000000E+00,1.765364E-01,0.000000E+00,3.151087E+03,0.000000E+00,1.626038E-01,0.000000E+00,8.418834E+03,0.000000E+00,4.343912E-01,0.000000E+00
01:15:00,2.791891E+03,0.000000E+00,1.440680E-01,0.000000E+00,3.262026E+03,0.000000E+00,1.683284E-01,0.000000E+00,3.464479E+03,0.000000E+00,1.787747E-01,0.000000E+00,3.198302E+03,0.000000E+00,1.650401E-01,0.000000E+00,8.509845E+03,0.000000E+00,4.390859E-01,0.000000E+00
01:30:00,2.843179E+03,0.000000E+00,1.467142E-01,0.000000E+00,3.308380E+03,0.000000E+00,1.707200E-01,0.000000E+00,3.507797E+03,0.000000E+00,1.810094E-01,0.000000E+00,3.245431E+03,0.000000E+00,1.674717E-01,0.000000E+00,8.601251E+03,0.000000E+00,4.437999E-01,0.000000E+00
01:45:00,2.894247E+03,0.000000E+00,1.493490E-01,0.000000E+00,3.354601E+03,0.000000E+00,1.731045E-01,0.000000E+00,3.551063E+03,0.000000E+00,1.832414E-01,0.000000E+00,3.292446E+03,0.000000E+00,1.698972E-01,0.000000E+00,8.693011E+03,0.000000E+00,4.485320E-01,0.000000E+00
02:00:00,2.945053E+03,0.000000E+00,1.519702E-01,0.000000E+00,3.400652E+03,0.000000E+00,1.754803E-01,0.000000E+00,3.594330E+03,0.000000E+00,1.854735E-01,0.000000E+00,3.339311E+03,0.000000E+00,1.723150E-01,0.000000E+00,8.785055E+03,0.000000E+00,4.532791E-01,0.000000E+00
02:15:00,2.995778E+03,0.000000E+00,1.545873E-01,0.000000E+00,3.446727E+03,0.000000E+00,1.778574E-01,0.000000E+00,3.637717E+03,0.000000E+00,1.877120E-01,0.000000E+00,3.386216E+03,0.000000E+00,1.747350E-01,0.000000E+00,8.877293E+03,0.000000E+00,4.580368E-01,0.000000E+00
02:30:00,3.046386E+03,0.000000E+00,1.571984E-01,0.000000E+00,3.492795E+03,0.000000E+00,1.802342E-01,0.000000E+00,3.681204E+03,0.000000E+00,1.899558E-01,0.000000E+00,3.433136E+03,0.000000E+00,1.771559E-01,0.000000E+00,8.969664E+03,0.000000E+00,4.628019E-01,0.000000E+00
02:45:00,3.096834E+03,0.000000E+00,1.598014E-01,0.000000E+00,3.538822E+03,0.000000E+00,1.826090E-01,0.000000E+00,3.724767E+03,0.000000E+00,1.922036E-01,0.000000E+00,3.480043E+03,0.000000E+00,1.795760E-01,0.000000E+00,9.062104E+03,0.000000E+00,4.675708E-01,0.000000E+00
