Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.336688E+02,0.000000E+00,3.270131E-02,0.000000E+00,9.420111E+02,0.000000E+00,4.860748E-02,0.000000E+00,1.073163E+03,0.000000E+00,5.537774E-02,0.000000E+00,9.215808E+02,0.000000E+00,4.755391E-02,0.000000E+00,4.864049E+03,0.000000E+00,2.509096E-01,0.000000E+00
00:30:00,7.144781E+02,0.000000E+00,3.687058E-02,0.000000E+00,1.013007E+03,0.000000E+00,5.226980E-02,0.000000E+00,1.147912E+03,0.000000E+00,5.923370E-02,0.000000E+00,9.905061E+02,0.000000E+00,5.110884E-02,0.000000E+00,5.084353E+03,0.000000E+00,2.622559E-01,0.000000E+00
00:45:00,7.948145E+02,0.000000E+00,4.101537E-02,0.000000E+00,1.084735E+03,0.000000E+00,5.597004E-02,0.000000E+00,1.222421E+03,0.000000E+00,6.307734E-02,0.000000E+00,1.059395E+03,0.000000E+00,5.466206E-02,0.000000E+00,5.297823E+03,0.000000E+00,2.732488E-01,0.000000E+00
01:00:00,8.745289E+02,0.000000E+00,4.512796E-02,0.000000E+00,1.156523E+03,0.000000E+00,5.967383E-02,0.000000E+00,1.296603E+03,0.000000E+00,6.690399E-02,0.000000E+00,1.128314E+03,0.000000E+00,5.821698E-02,0.000000E+00,5.504409E+03,0.000000E+00,2.838854E-01,0.000000E+00
01:15:00,9.067590E+02,0.000000E+00,4.679079E-02,0.000000E+00,1.184834E+03,0.000000E+00,6.113479E-02,0.000000E+00,1.325539E+03,0.000000E+00,6.839709E-02,0.000000E+00,1.155926E+03,0.000000E+00,5.964211E-02,0.000000E+00,5.549002E+03,0.000000E+00,2.861797E-01,0.000000E+00
01:30:00,9.390660E+02,0.000000E+00,4.845747E-02,0.000000E+00,1.213625E+03,0.000000E+00,6.262033E-02,0.000000E+00,1.354798E+03,0.000000E+00,6.990661E-02,0.000000E+00,1.184088E+03,0.000000E+00,6.109530E-02,0.000000E+00,5.593690E+03,0.000000E+00,2.884768E-01,0.000000E+00
01:45:00,9.713724E+02,0.000000E+00,5.012403E-02,0.000000E+00,1.242876E+03,0.000000E+00,6.412958E-02,0.000000E+00,1.384339E+03,0.000000E+00,7.143069E-02,0.000000E+00,1.212752E+03,0.000000E+00,6.257436E-02,0.000000E+00,5.638436E+03,0.000000E+00,2.907768E-01,0.000000E+00
02:00:00,1.003596E+03,0.000000E+00,5.178626E-02,0.000000E+00,1.272538E+03,0.000000E+00,6.566003E-02,0.000000E+00,1.414124E+03,0.000000E+00,7.296735E-02,0.000000E+00,1.241886E+03,0.000000E+00,6.407759E-02,0.000000E+00,5.683213E+03,0.000000E+00,2.930784E-01,0.000000E+00
02:15:00,1.035703E+03,0.000000E+00,5.344244E-02,0.000000E+00,1.302586E+03,0.000000E+00,6.721045E-02,0.000000E+00,1.444174E+03,0.000000E+00,7.451773E-02,0.000000E+00,1.271526E+03,0.000000E+00,6.560703E-02,0.000000E+00,5.727974E+03,0.000000E+00,2.953793E-01,0.000000E+00
02:30:00,1.067590E+03,0.000000E+00,5.508723E-02,0.000000E+00,1.332977E+03,0.000000E+00,6.877858E-02,0.000000E+00,1.474455E+03,0.000000E+00,7.608006E-02,0.000000E+00,1.301568E+03,0.000000E+00,6.715721E-02,0.000000E+00,5.772688E+03,0.000000E+00,2.976774E-01,0.000000E+00
