Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.363259E+03,0.000000E+00,7.034829E-02,0.000000E+00,1.646362E+03,0.000000E+00,8.495755E-02,0.000000E+00,1.792088E+03,0.000000E+00,9.247764E-02,0.000000E+00,1.623362E+03,0.000000E+00,8.377061E-02,0.000000E+00,5.184234E+03,0.000000E+00,2.674806E-01,0.000000E+00
00:30:00,1.435411E+03,0.000000E+00,7.406991E-02,0.000000E+00,1.717330E+03,0.000000E+00,8.861789E-02,0.000000E+00,1.861416E+03,0.000000E+00,9.605327E-02,0.000000E+00,1.693554E+03,0.000000E+00,8.739097E-02,0.000000E+00,5.404838E+03,0.000000E+00,2.788519E-01,0.000000E+00
00:45:00,1.506803E+03,0.000000E+00,7.775239E-02,0.000000E+00,1.787514E+03,0.000000E+00,9.223781E-02,0.000000E+00,1.929960E+03,0.000000E+00,9.958847E-02,0.000000E+00,1.762998E+03,0.000000E+00,9.097273E-02,0.000000E+00,5.618530E+03,0.000000E+00,2.898664E-01,0.000000E+00
01:00:00,1.577408E+03,0.000000E+00,8.139416E-02,0.000000E+00,1.856891E+03,0.000000E+00,9.581606E-02,0.000000E+00,1.997697E+03,0.000000E+00,1.030820E-01,0.000000E+00,1.831666E+03,0.000000E+00,9.451440E-02,0.000000E+00,5.825295E+03,0.000000E+00,3.005231E-01,0.000000E+00
01:15:00,1.602602E+03,0.000000E+00,8.269404E-02,0.000000E+00,1.880622E+03,0.000000E+00,9.704043E-02,0.000000E+00,2.020269E+03,0.000000E+00,1.042465E-01,0.000000E+00,1.855252E+03,0.000000E+00,9.573128E-02,0.000000E+00,5.869073E+03,0.000000E+00,3.027798E-01,0.000000E+00
01:30:00,1.627920E+03,0.000000E+00,8.400013E-02,0.000000E+00,1.904467E+03,0.000000E+00,9.827047E-02,0.000000E+00,2.042959E+03,0.000000E+00,1.054169E-01,0.000000E+00,1.878982E+03,0.000000E+00,9.695539E-02,0.000000E+00,5.912934E+03,0.000000E+00,3.050396E-01,0.000000E+00
01:45:00,1.653344E+03,0.000000E+00,8.531162E-02,0.000000E+00,1.928413E+03,0.000000E+00,9.950566E-02,0.000000E+00,2.065753E+03,0.000000E+00,1.065927E-01,0.000000E+00,1.902840E+03,0.000000E+00,9.818602E-02,0.000000E+00,5.956907E+03,0.000000E+00,3.073055E-01,0.000000E+00
02:00:00,1.678851E+03,0.000000E+00,8.662741E-02,0.000000E+00,1.952440E+03,0.000000E+00,1.007451E-01,0.000000E+00,2.088631E+03,0.000000E+00,1.077728E-01,0.000000E+00,1.926803E+03,0.000000E+00,9.942215E-02,0.000000E+00,6.000983E+03,0.000000E+00,3.095773E-01,0.000000E+00
02:15:00,1.704478E+03,0.000000E+00,8.794945E-02,0.000000E+00,1.976593E+03,0.000000E+00,1.019911E-01,0.000000E+00,2.111637E+03,0.000000E+00,1.089596E-01,0.000000E+00,1.950911E+03,0.000000E+00,1.006659E-01,0.000000E+00,6.045138E+03,0.000000E+00,3.118536E-01,0.000000E+00
02:30:00,1.730204E+03,0.000000E+00,8.927668E-02,0.000000E+00,2.000852E+03,0.000000E+00,1.032427E-01,0.000000E+00,2.134752E+03,0.000000E+00,1.101521E-01,0.000000E+00,1.975147E+03,0.000000E+00,1.019162E-01,0.000000E+00,6.089363E+03,0.000000E+00,3.141343E-01,0.000000E+00
02:45:00,1.756008E+03,0.000000E+00,9.060803E-02,0.000000E+00,2.025203E+03,0.000000E+00,1.044990E-01,0.000000E+00,2.157959E+03,0.000000E+00,1.113494E-01,0.000000E+00,1.999489E+03,0.000000E+00,1.031721E-01,0.000000E+00,6.133643E+03,0.000000E+00,3.164179E-01,0.000000E+00
03:00:00,1.781875E+03,0.000000E+00,9.194255E-02,0.000000E+00,2.049630E+03,0.000000E+00,1.057593E-01,0.000000E+00,2.181245E+03,0.000000E+00,1.125508E-01,0.000000E+00,2.023925E+03,0.000000E+00,1.044329E-01,0.000000E+00,6.177975E+03,0.000000E+00,3.187040E-01,0.000000E+00
03:15:00,1.807753E+03,0.000000E+00,9.327773E-02,0.000000E+00,2.074089E+03,0.000000E+00,1.070213E-01,0.000000E+00,2.204564E+03,0.000000E+00,1.137539E-01,0.000000E+00,2.048405E+03,0.000000E+00,1.056959E-01,0.000000E+00,6.222339E+03,0.000000E+00,3.209919E-01,0.000000E+00
03:30:00,1.833632E+03,0.000000E+00,9.461291E-02,0.000000E+00,2.098570E+03,0.000000E+00,1.082844E-01,0.000000E+00,2.227906E+03,0.000000E+00,1.149582E-01,0.000000E+00,2.072919E+03,0.000000E+00,1.069607E-01,0.000000E+00,6.266734E+03,0.000000E+00,3.232814E-01,0.000000E+00
03:45:00,1.859500E+03,0.000000E+00,9.594746E-02,0.000000E+00,2.123066E+03,0.000000E+00,1.095482E-01,0.000000E+00,2.251263E+03,0.000000E+00,1.161633E-01,0.000000E+00,2.097459E+03,0.000000E+00,1.082268E-01,0.000000E+00,6.311150E+03,0.000000E+00,3.255714E-01,0.000000E+00
04:00:00,1.885349E+03,0.000000E+00,9.728093E-02,0.000000E+00,2.147572E+03,0.000000E+00,1.108124E-01,0.000000E+00,2.274633E+03,0.000000E+00,1.173689E-01,0.000000E+00,2.122020E+03,0.000000E+00,1.094938E-01,0.000000E+00,6.355587E+03,0.000000E+00,3.278618E-01,0.000000E+00
04:15:00,1.911175E+03,0.000000E+00,9.861312E-02,0.000000E+00,2.172090E+03,0.000000E+00,1.120771E-01,0.000000E+00,2.298015E+03,0.000000E+00,1.185750E-01,0.000000E+00,2.146602E+03,0.000000E+00,1.107618E-01,0.000000E+00,6.400067E+03,0.000000E+00,3.301538E-01,0.000000E+00
04:30:00,1.936970E+03,0.000000E+00,9.994363E-02,0.000000E+00,2.196616E+03,0.000000E+00,1.133421E-01,0.000000E+00,2.321408E+03,0.000000E+00,1.197814E-01,0.000000E+00,2.171200E+03,0.000000E+00,1.120306E-01,0.000000E+00,6.444591E+03,0.000000E+00,3.324475E-01,0.000000E+00
04:45:00,1.962729E+03,0.000000E+00,1.012722E-01,0.000000E+00,2.221151E+03,0.000000E+00,1.146075E-01,0.000000E+00,2.344809E+03,0.000000E+00,1.209884E-01,0.000000E+00,2.195814E+03,0.000000E+00,1.133001E-01,0.000000E+00,6.489173E+03,0.000000E+00,3.347441E-01,0.000000E+00
05:00:00,1.988442E+03,0.000000E+00,1.025983E-01,0.000000E+00,2.245690E+03,0.000000E+00,1.158732E-01,0.000000E+00,2.368218E+03,0.000000E+00,1.221956E-01,0.000000E+00,2.220440E+03,0.000000E+00,1.145702E-01,0.000000E+00,6.533810E+03,0.000000E+00,3.370438E-01,0.000000E+00
05:15:00,2.014024E+03,0.000000E+00,1.039178E-01,0.000000E+00,2.270161E+03,0.000000E+00,1.171353E-01,0.000000E+00,2.391558E+03,0.000000E+00,1.233994E-01,0.000000E+00,2.245003E+03,0.000000E+00,1.158371E-01,0.000000E+00,6.578103E+03,0.000000E+00,3.393259E-01,0.000000E+00
05:30:00,2.039459E+03,0.000000E+00,1.052297E-01,0.000000E+00,2.294559E+03,0.000000E+00,1.183937E-01,0.000000E+00,2.414828E+03,0.000000E+00,1.245996E-01,0.000000E+00,2.269500E+03,0.000000E+00,1.171007E-01,0.000000E+00,6.622046E+03,0.000000E+00,3.415902E-01,0.000000E+00
05:45:00,2.064720E+03,0.000000E+00,1.065326E-01,0.000000E+00,2.318881E+03,0.000000E+00,1.196482E-01,0.000000E+00,2.438023E+03,0.000000E+00,1.257959E-01,0.000000E+00,2.293926E+03,0.000000E+00,1.183605E-01,0.000000E+00,6.665630E+03,0.000000E+00,3.438360E-01,0.000000E+00
06:00:00,2.089740E+03,0.000000E+00,1.078230E-01,0.000000E+00,2.343123E+03,0.000000E+00,1.208986E-01,0.000000E+00,2.461140E+03,0.000000E+00,1.269883E-01,0.000000E+00,2.318277E+03,0.000000E+00,1.196165E-01,0.000000E+00,6.708850E+03,0.000000E+00,3.460630E-01,0.000000E+00
06:15:00,1.842793E+03,0.000000E+00,9.508102E-02,0.000000E+00,2.095450E+03,0.000000E+00,1.081191E-01,0.000000E+00,2.212345E+03,0.000000E+00,1.141508E-01,0.000000E+00,2.070717E+03,0.000000E+00,1.068429E-01,0.000000E+00,5.156053E+03,0.000000E+00,2.659639E-01,0.000000E+00
06:30:00,1.593632E+03,0.000000E+00,8.222705E-02,0.000000E+00,1.845520E+03,0.000000E+00,9.522535E-02,0.000000E+00,1.961303E+03,0.000000E+00,1.011996E-01,0.000000E+00,1.820906E+03,0.000000E+00,9.395525E-02,0.000000E+00,3.594464E+03,0.000000E+00,1.854152E-01,0.000000E+00
06:45:00,1.342236E+03,0.000000E+00,6.925880E-02,0.000000E+00,1.593271E+03,0.000000E+00,8.221324E-02,0.000000E+00,1.707955E+03,0.000000E+00,8.813103E-02,0.000000E+00,1.568778E+03,0.000000E+00,8.094938E-02,0.000000E+00,2.022978E+03,0.000000E+00,1.043567E-01,0.000000E+00
07:00:00,1.088710E+03,0.000000E+00,5.618142E-02,0.000000E+00,1.338692E+03,0.000000E+00,6.908192E-02,0.000000E+00,1.452283E+03,0.000000E+00,7.494368E-02,0.000000E+00,1.314325E+03,0.000000E+00,6.782450E-02,0.000000E+00,4.417481E+02,0.000000E+00,2.279633E-02,0.000000E+00
07:15:00,1.104826E+03,0.000000E+00,5.701708E-02,0.000000E+00,1.353628E+03,0.000000E+00,6.985743E-02,0.000000E+00,1.466131E+03,0.000000E+00,7.566342E-02,0.000000E+00,1.329391E+03,0.000000E+00,6.860660E-02,0.000000E+00,4.468286E+02,0.000000E+00,2.306193E-02,0.000000E+00
07:30:00,1.119572E+03,0.000000E+00,5.778028E-02,0.000000E+00,1.366582E+03,0.000000E+00,7.052893E-02,0.000000E+00,1.478997E+03,0.000000E+00,7.633086E-02,0.000000E+00,1.343471E+03,0.000000E+00,6.933614E-02,0.000000E+00,4.509880E+02,0.000000E+00,2.327688E-02,0.000000E+00
07:45:00,1.128640E+03,0.000000E+00,5.824980E-02,0.000000E+00,1.370327E+03,0.000000E+00,7.072420E-02,0.000000E+00,1.490370E+03,0.000000E+00,7.692007E-02,0.000000E+00,1.356062E+03,0.000000E+00,6.998792E-02,0.000000E+00,4.552750E+02,0.000000E+00,2.349830E-02,0.000000E+00
08:00:00,1.130142E+03,0.000000E+00,5.832848E-02,0.000000E+00,1.364030E+03,0.000000E+00,7.040059E-02,0.000000E+00,1.499579E+03,0.000000E+00,7.739686E-02,0.000000E+00,1.366523E+03,0.000000E+00,7.052922E-02,0.000000E+00,4.593452E+02,0.000000E+00,2.370849E-02,0.000000E+00
08:15:00,1.123429E+03,1.363528E+03,5.798283E-02,1.012041E-01,1.347534E+03,1.341662E+03,6.955007E-02,9.882520E-02,1.506207E+03,1.366832E+03,7.773994E-02,1.014082E-01,1.374559E+03,1.389849E+03,7.094486E-02,1.024615E-01,4.630754E+02,1.802444E+03,2.390109E-02,1.555707E-01
08:30:00,1.108927E+03,3.140848E+03,5.723495E-02,2.733050E-01,1.322015E+03,3.250321E+03,6.823359E-02,2.836482E-01,1.510731E+03,3.148044E+03,7.797402E-02,2.738710E-01,1.380726E+03,3.234379E+03,7.126378E-02,2.809091E-01,4.665123E+02,4.162446E+03,2.407854E-02,3.858387E-01
08:45:00,1.089947E+03,4.687109E+03,5.625572E-02,4.242781E-01,1.294650E+03,4.916584E+03,6.682158E-02,4.463275E-01,1.513990E+03,4.697654E+03,7.814264E-02,4.251653E-01,1.385820E+03,4.838260E+03,7.152714E-02,4.374440E-01,4.697218E+02,6.212628E+03,2.424423E-02,5.865500E-01
09:00:00,1.068251E+03,6.146171E+03,5.513624E-02,5.670695E-01,1.267374E+03,6.495350E+03,6.541402E-02,6.008227E-01,1.516784E+03,6.159618E+03,7.828711E-02,5.682385E-01,1.390511E+03,6.351732E+03,7.176957E-02,5.855346E-01,4.728083E+02,8.146459E+03,2.440356E-02,7.759951E-01
09:15:00,1.040730E+03,6.176899E+03,5.371598E-02,6.024286E-01,1.237391E+03,6.666248E+03,6.386665E-02,6.501418E-01,1.516492E+03,6.189558E+03,7.827223E-02,6.036391E-01,1.391950E+03,6.408073E+03,7.184398E-02,6.247132E-01,4.757446E+02,8.181774E+03,2.455513E-02,8.004812E-01
09:30:00,1.007616E+03,5.745952E+03,5.200695E-02,5.622394E-01,1.205748E+03,6.220668E+03,6.223348E-02,6.086617E-01,1.513291E+03,5.756928E+03,7.810708E-02,5.633043E-01,1.390161E+03,5.959909E+03,7.175179E-02,5.830719E-01,4.783248E+02,7.583313E+03,2.468832E-02,7.428064E-01
09:45:00,9.720223E+02,5.508749E+03,5.016992E-02,5.395354E-01,1.175880E+03,5.977400E+03,6.069196E-02,5.854139E-01,1.506810E+03,5.518319E+03,7.777266E-02,5.404693E-01,1.384753E+03,5.713469E+03,7.147276E-02,5.595454E-01,4.803681E+02,7.231327E+03,2.479379E-02,7.084827E-01
10:00:00,9.344816E+02,5.328799E+03,4.823235E-02,5.220832E-01,1.147909E+03,5.788357E+03,5.924831E-02,5.670956E-01,1.496585E+03,5.337164E+03,7.724496E-02,5.229015E-01,1.375288E+03,5.526088E+03,7.098428E-02,5.413967E-01,4.817897E+02,6.941656E+03,2.486717E-02,6.801309E-01
10:15:00,8.987788E+02,5.188903E+03,4.638963E-02,5.084354E-01,1.125278E+03,5.637298E+03,5.808024E-02,5.523650E-01,1.484985E+03,5.196205E+03,7.664623E-02,5.091505E-01,1.364189E+03,5.379971E+03,7.041146E-02,5.271510E-01,4.825354E+02,6.700921E+03,2.490566E-02,6.565492E-01
10:30:00,8.647491E+02,5.075964E+03,4.463325E-02,4.973890E-01,1.107325E+03,5.510871E+03,5.715366E-02,5.400013E-01,1.471832E+03,5.082262E+03,7.596740E-02,4.980060E-01,1.351329E+03,5.261583E+03,6.974771E-02,5.155750E-01,4.825610E+02,6.494411E+03,2.490699E-02,6.363166E-01
10:45:00,8.308698E+02,4.982232E+03,4.288462E-02,4.882114E-01,1.091140E+03,5.402621E+03,5.631828E-02,5.294028E-01,1.456761E+03,4.987556E+03,7.518951E-02,4.887330E-01,1.336390E+03,5.162940E+03,6.897666E-02,5.059177E-01,4.818145E+02,6.313155E+03,2.486846E-02,6.185576E-01
11:00:00,7.965225E+02,4.902363E+03,4.111182E-02,4.803877E-01,1.075130E+03,5.308130E+03,5.549195E-02,5.201470E-01,1.439505E+03,4.906726E+03,7.429885E-02,4.808151E-01,1.319171E+03,5.078552E+03,6.808789E-02,4.976517E-01,4.802396E+02,6.151290E+03,2.478717E-02,6.026983E-01
11:15:00,7.619541E+02,4.832880E+03,3.932761E-02,4.735802E-01,1.058550E+03,5.223293E+03,5.463617E-02,5.118353E-01,1.419728E+03,4.836288E+03,7.327811E-02,4.739141E-01,1.299571E+03,5.004858E+03,6.707629E-02,4.904318E-01,4.777941E+02,6.004036E+03,2.466095E-02,5.882706E-01
11:30:00,7.269754E+02,4.771315E+03,3.752222E-02,4.675480E-01,1.042026E+03,5.143039E+03,5.378331E-02,5.039719E-01,1.397323E+03,4.773784E+03,7.212168E-02,4.677899E-01,1.277340E+03,4.939335E+03,6.592883E-02,4.840119E-01,4.744583E+02,5.868042E+03,2.448878E-02,5.749461E-01
11:45:00,6.910718E+02,4.715756E+03,3.566909E-02,4.621042E-01,1.027287E+03,5.061617E+03,5.302257E-02,4.959937E-01,1.372206E+03,4.717304E+03,7.082527E-02,4.622558E-01,1.252373E+03,4.880023E+03,6.464018E-02,4.782003E-01,4.702342E+02,5.740608E+03,2.427075E-02,5.624602E-01
12:00:00,6.540152E+02,4.665042E+03,3.375645E-02,4.571350E-01,1.017607E+03,4.973956E+03,5.252297E-02,4.874040E-01,1.344539E+03,4.665694E+03,6.939727E-02,4.571989E-01,1.224735E+03,4.825737E+03,6.321367E-02,4.728812E-01,4.651446E+02,5.619835E+03,2.400806E-02,5.506271E-01
12:15:00,6.169927E+02,4.618683E+03,3.184557E-02,4.525926E-01,1.016854E+03,4.880143E+03,5.248410E-02,4.782115E-01,1.316518E+03,4.618469E+03,6.795100E-02,4.525715E-01,1.196426E+03,4.775972E+03,6.175252E-02,4.680049E-01,4.592366E+02,5.504865E+03,2.370312E-02,5.393624E-01
12:30:00,5.807840E+02,4.576099E+03,2.997668E-02,4.484199E-01,1.021475E+03,4.791462E+03,5.272261E-02,4.695217E-01,1.288320E+03,4.575054E+03,6.649559E-02,4.483175E-01,1.167746E+03,4.730229E+03,6.027225E-02,4.635227E-01,4.525766E+02,5.395277E+03,2.335937E-02,5.286252E-01
12:45:00,5.455499E+02,4.536848E+03,2.815811E-02,4.445739E-01,1.023153E+03,4.715548E+03,5.280919E-02,4.620832E-01,1.260054E+03,4.535032E+03,6.503665E-02,4.443959E-01,1.133987E+03,4.688210E+03,5.852981E-02,4.594055E-01,4.452066E+02,5.290674E+03,2.297897E-02,5.183763E-01
13:00:00,5.116620E+02,4.500607E+03,2.640901E-02,4.410228E-01,1.016797E+03,4.656607E+03,5.248117E-02,4.563079E-01,1.231634E+03,4.498088E+03,6.356976E-02,4.407759E-01,1.089617E+03,4.649621E+03,5.623968E-02,4.556243E-01,4.371688E+02,5.190343E+03,2.256411E-02,5.085460E-01
