Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.309335E+03,0.000000E+00,1.191689E-01,0.000000E+00,2.635058E+03,0.000000E+00,1.359777E-01,0.000000E+00,2.720014E+03,0.000000E+00,1.403619E-01,0.000000E+00,2.692929E+03,0.000000E+00,1.389639E-01,0.000000E+00,5.789313E+03,0.000000E+00,2.987167E-01,0.000000E+00
00:30:00,2.386518E+03,0.000000E+00,1.231494E-01,0.000000E+00,2.707812E+03,0.000000E+00,1.397295E-01,0.000000E+00,2.786517E+03,0.000000E+00,1.437911E-01,0.000000E+00,2.771499E+03,0.000000E+00,1.430157E-01,0.000000E+00,6.009564E+03,0.000000E+00,3.100714E-01,0.000000E+00
00:45:00,2.462666E+03,0.000000E+00,1.270764E-01,0.000000E+00,2.779628E+03,0.000000E+00,1.434328E-01,0.000000E+00,2.852183E+03,0.000000E+00,1.471770E-01,0.000000E+00,2.849023E+03,0.000000E+00,1.470135E-01,0.000000E+00,6.223019E+03,0.000000E+00,3.210752E-01,0.000000E+00
01:00:00,2.537733E+03,0.000000E+00,1.309477E-01,0.000000E+00,2.850468E+03,0.000000E+00,1.470858E-01,0.000000E+00,2.916974E+03,0.000000E+00,1.505177E-01,0.000000E+00,2.925456E+03,0.000000E+00,1.509550E-01,0.000000E+00,6.429659E+03,0.000000E+00,3.317270E-01,0.000000E+00
01:15:00,2.561199E+03,0.000000E+00,1.321583E-01,0.000000E+00,2.870431E+03,0.000000E+00,1.481157E-01,0.000000E+00,2.934051E+03,0.000000E+00,1.513987E-01,0.000000E+00,2.947705E+03,0.000000E+00,1.521028E-01,0.000000E+00,6.472287E+03,0.000000E+00,3.339247E-01,0.000000E+00
01:30:00,2.584668E+03,0.000000E+00,1.333687E-01,0.000000E+00,2.890479E+03,0.000000E+00,1.491496E-01,0.000000E+00,2.951259E+03,0.000000E+00,1.522861E-01,0.000000E+00,2.969997E+03,0.000000E+00,1.532525E-01,0.000000E+00,6.515041E+03,0.000000E+00,3.361277E-01,0.000000E+00
01:45:00,2.608100E+03,0.000000E+00,1.345773E-01,0.000000E+00,2.910589E+03,0.000000E+00,1.501867E-01,0.000000E+00,2.968579E+03,0.000000E+00,1.531792E-01,0.000000E+00,2.992307E+03,0.000000E+00,1.544031E-01,0.000000E+00,6.557942E+03,0.000000E+00,3.383386E-01,0.000000E+00
02:00:00,2.631470E+03,0.000000E+00,1.357826E-01,0.000000E+00,2.930748E+03,0.000000E+00,1.512264E-01,0.000000E+00,2.985997E+03,0.000000E+00,1.540774E-01,0.000000E+00,3.014621E+03,0.000000E+00,1.555540E-01,0.000000E+00,6.600975E+03,0.000000E+00,3.405569E-01,0.000000E+00
02:15:00,2.654874E+03,0.000000E+00,1.369898E-01,0.000000E+00,2.951071E+03,0.000000E+00,1.522746E-01,0.000000E+00,3.003603E+03,0.000000E+00,1.549855E-01,0.000000E+00,3.037086E+03,0.000000E+00,1.567128E-01,0.000000E+00,6.644115E+03,0.000000E+00,3.427811E-01,0.000000E+00
02:30:00,2.678251E+03,0.000000E+00,1.381957E-01,0.000000E+00,2.971551E+03,0.000000E+00,1.533312E-01,0.000000E+00,3.021386E+03,0.000000E+00,1.559029E-01,0.000000E+00,3.059696E+03,0.000000E+00,1.578793E-01,0.000000E+00,6.687351E+03,0.000000E+00,3.450109E-01,0.000000E+00
02:45:00,2.701665E+03,0.000000E+00,1.394035E-01,0.000000E+00,2.992179E+03,0.000000E+00,1.543954E-01,0.000000E+00,3.039335E+03,0.000000E+00,1.568289E-01,0.000000E+00,3.082445E+03,0.000000E+00,1.590529E-01,0.000000E+00,6.730666E+03,0.000000E+00,3.472449E-01,0.000000E+00
03:00:00,2.725196E+03,0.000000E+00,1.406175E-01,0.000000E+00,3.012946E+03,0.000000E+00,1.554668E-01,0.000000E+00,3.057440E+03,0.000000E+00,1.577629E-01,0.000000E+00,3.105322E+03,0.000000E+00,1.602332E-01,0.000000E+00,6.774057E+03,0.000000E+00,3.494828E-01,0.000000E+00
03:15:00,2.748819E+03,0.000000E+00,1.418363E-01,0.000000E+00,3.033775E+03,0.000000E+00,1.565415E-01,0.000000E+00,3.075635E+03,0.000000E+00,1.587016E-01,0.000000E+00,3.128239E+03,0.000000E+00,1.614156E-01,0.000000E+00,6.817506E+03,0.000000E+00,3.517236E-01,0.000000E+00
03:30:00,2.772610E+03,0.000000E+00,1.430638E-01,0.000000E+00,3.054660E+03,0.000000E+00,1.576190E-01,0.000000E+00,3.093912E+03,0.000000E+00,1.596446E-01,0.000000E+00,3.151185E+03,0.000000E+00,1.625994E-01,0.000000E+00,6.861011E+03,0.000000E+00,3.539673E-01,0.000000E+00
03:45:00,2.796522E+03,0.000000E+00,1.442975E-01,0.000000E+00,3.075594E+03,0.000000E+00,1.586990E-01,0.000000E+00,3.112266E+03,0.000000E+00,1.605914E-01,0.000000E+00,3.174154E+03,0.000000E+00,1.637844E-01,0.000000E+00,6.904562E+03,0.000000E+00,3.562129E-01,0.000000E+00
04:00:00,2.820499E+03,0.000000E+00,1.455345E-01,0.000000E+00,3.096577E+03,0.000000E+00,1.597813E-01,0.000000E+00,3.130694E+03,0.000000E+00,1.615419E-01,0.000000E+00,3.197145E+03,0.000000E+00,1.649703E-01,0.000000E+00,6.948161E+03,0.000000E+00,3.584603E-01,0.000000E+00
04:15:00,2.844539E+03,0.000000E+00,1.467746E-01,0.000000E+00,3.117610E+03,0.000000E+00,1.608660E-01,0.000000E+00,3.149199E+03,0.000000E+00,1.624961E-01,0.000000E+00,3.220162E+03,0.000000E+00,1.661574E-01,0.000000E+00,6.991832E+03,0.000000E+00,3.607109E-01,0.000000E+00
04:30:00,2.868636E+03,0.000000E+00,1.480174E-01,0.000000E+00,3.138694E+03,0.000000E+00,1.619532E-01,0.000000E+00,3.167780E+03,0.000000E+00,1.634542E-01,0.000000E+00,3.243203E+03,0.000000E+00,1.673455E-01,0.000000E+00,7.035577E+03,0.000000E+00,3.629647E-01,0.000000E+00
04:45:00,2.892785E+03,0.000000E+00,1.492628E-01,0.000000E+00,3.159831E+03,0.000000E+00,1.630431E-01,0.000000E+00,3.186437E+03,0.000000E+00,1.644162E-01,0.000000E+00,3.266270E+03,0.000000E+00,1.685350E-01,0.000000E+00,7.079408E+03,0.000000E+00,3.652229E-01,0.000000E+00
