Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.344878E+02,0.000000E+00,4.823288E-02,0.000000E+00,6.572886E+02,0.000000E+00,3.392029E-02,0.000000E+00,7.606211E+02,0.000000E+00,3.925202E-02,0.000000E+00,6.773538E+02,0.000000E+00,3.495575E-02,0.000000E+00,4.382931E+03,0.000000E+00,2.261562E-01,0.000000E+00
00:30:00,1.015348E+03,0.000000E+00,5.240897E-02,0.000000E+00,7.541807E+02,0.000000E+00,3.891931E-02,0.000000E+00,8.456978E+02,0.000000E+00,4.364103E-02,0.000000E+00,7.818600E+02,0.000000E+00,4.034765E-02,0.000000E+00,4.617067E+03,0.000000E+00,2.382291E-01,0.000000E+00
00:45:00,1.066762E+03,0.000000E+00,5.506513E-02,0.000000E+00,8.483844E+02,0.000000E+00,4.377951E-02,0.000000E+00,9.283751E+02,0.000000E+00,4.790613E-02,0.000000E+00,8.834177E+02,0.000000E+00,4.558728E-02,0.000000E+00,4.843918E+03,0.000000E+00,2.499257E-01,0.000000E+00
01:00:00,1.114921E+03,0.000000E+00,5.755312E-02,0.000000E+00,9.397472E+02,0.000000E+00,4.849298E-02,0.000000E+00,1.008446E+03,0.000000E+00,5.203662E-02,0.000000E+00,9.818745E+02,0.000000E+00,5.066675E-02,0.000000E+00,5.063403E+03,0.000000E+00,2.612419E-01,0.000000E+00
01:15:00,1.108274E+03,0.000000E+00,5.721003E-02,0.000000E+00,9.733565E+02,0.000000E+00,5.022684E-02,0.000000E+00,1.036342E+03,0.000000E+00,5.347554E-02,0.000000E+00,1.018599E+03,0.000000E+00,5.256132E-02,0.000000E+00,5.115243E+03,0.000000E+00,2.639144E-01,0.000000E+00
01:30:00,1.098917E+03,0.000000E+00,5.672678E-02,0.000000E+00,1.005523E+03,0.000000E+00,5.188611E-02,0.000000E+00,1.063685E+03,0.000000E+00,5.488580E-02,0.000000E+00,1.053780E+03,0.000000E+00,5.437607E-02,0.000000E+00,5.166587E+03,0.000000E+00,2.665605E-01,0.000000E+00
01:45:00,1.117519E+03,0.000000E+00,5.768676E-02,0.000000E+00,1.037005E+03,0.000000E+00,5.350994E-02,0.000000E+00,1.091732E+03,0.000000E+00,5.633226E-02,0.000000E+00,1.087868E+03,0.000000E+00,5.613430E-02,0.000000E+00,5.218478E+03,0.000000E+00,2.692349E-01,0.000000E+00
02:00:00,1.137750E+03,0.000000E+00,5.873092E-02,0.000000E+00,1.069090E+03,0.000000E+00,5.516486E-02,0.000000E+00,1.120791E+03,0.000000E+00,5.783095E-02,0.000000E+00,1.122391E+03,0.000000E+00,5.791500E-02,0.000000E+00,5.271118E+03,0.000000E+00,2.719484E-01,0.000000E+00
02:15:00,1.159076E+03,0.000000E+00,5.983154E-02,0.000000E+00,1.102265E+03,0.000000E+00,5.687605E-02,0.000000E+00,1.151690E+03,0.000000E+00,5.942459E-02,0.000000E+00,1.157819E+03,0.000000E+00,5.974234E-02,0.000000E+00,5.324719E+03,0.000000E+00,2.747119E-01,0.000000E+00
02:30:00,1.217224E+03,0.000000E+00,6.283290E-02,0.000000E+00,1.136900E+03,0.000000E+00,5.866257E-02,0.000000E+00,1.183834E+03,0.000000E+00,6.108248E-02,0.000000E+00,1.194579E+03,0.000000E+00,6.163843E-02,0.000000E+00,5.379566E+03,0.000000E+00,2.775401E-01,0.000000E+00
02:45:00,1.281159E+03,0.000000E+00,6.613305E-02,0.000000E+00,1.172574E+03,0.000000E+00,6.050263E-02,0.000000E+00,1.216100E+03,0.000000E+00,6.274660E-02,0.000000E+00,1.232545E+03,0.000000E+00,6.359673E-02,0.000000E+00,5.434850E+03,0.000000E+00,2.803910E-01,0.000000E+00
03:00:00,1.348632E+03,0.000000E+00,6.961573E-02,0.000000E+00,1.208203E+03,0.000000E+00,6.234023E-02,0.000000E+00,1.247692E+03,0.000000E+00,6.437573E-02,0.000000E+00,1.270241E+03,0.000000E+00,6.554097E-02,0.000000E+00,5.490484E+03,0.000000E+00,2.832597E-01,0.000000E+00
03:15:00,1.415928E+03,0.000000E+00,7.308915E-02,0.000000E+00,1.243520E+03,0.000000E+00,6.416156E-02,0.000000E+00,1.280044E+03,0.000000E+00,6.604343E-02,0.000000E+00,1.307117E+03,0.000000E+00,6.744262E-02,0.000000E+00,5.546362E+03,0.000000E+00,2.861409E-01,0.000000E+00
03:30:00,1.447083E+03,0.000000E+00,7.469687E-02,0.000000E+00,1.278147E+03,0.000000E+00,6.594717E-02,0.000000E+00,1.313323E+03,0.000000E+00,6.775984E-02,0.000000E+00,1.342562E+03,0.000000E+00,6.927010E-02,0.000000E+00,5.602479E+03,0.000000E+00,2.890344E-01,0.000000E+00
03:45:00,1.433213E+03,0.000000E+00,7.398030E-02,0.000000E+00,1.311881E+03,0.000000E+00,6.768632E-02,0.000000E+00,1.347862E+03,0.000000E+00,6.954175E-02,0.000000E+00,1.378287E+03,0.000000E+00,7.111150E-02,0.000000E+00,5.658690E+03,0.000000E+00,2.919322E-01,0.000000E+00
04:00:00,1.412582E+03,0.000000E+00,7.291467E-02,0.000000E+00,1.346053E+03,0.000000E+00,6.944805E-02,0.000000E+00,1.384584E+03,0.000000E+00,7.143684E-02,0.000000E+00,1.414550E+03,0.000000E+00,7.298143E-02,0.000000E+00,5.714903E+03,0.000000E+00,2.948294E-01,0.000000E+00
04:15:00,1.389446E+03,0.000000E+00,7.171994E-02,0.000000E+00,1.381013E+03,0.000000E+00,7.125101E-02,0.000000E+00,1.421920E+03,0.000000E+00,7.336448E-02,0.000000E+00,1.452284E+03,0.000000E+00,7.492774E-02,0.000000E+00,5.771143E+03,0.000000E+00,2.977273E-01,0.000000E+00
