Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.786997E+02,0.000000E+00,9.223097E-03,0.000000E+00,5.091185E+02,0.000000E+00,2.627528E-02,0.000000E+00,1.675131E+02,0.000000E+00,8.646762E-03,0.000000E+00,2.646203E+03,0.000000E+00,1.365626E-01,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.966085E+02,0.000000E+00,1.530830E-02,0.000000E+00,5.935933E+02,0.000000E+00,3.063472E-02,0.000000E+00,2.571218E+02,0.000000E+00,1.327053E-02,0.000000E+00,2.751215E+03,0.000000E+00,1.419829E-01,0.000000E+00
00:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.003271E+02,0.000000E+00,2.066116E-02,0.000000E+00,6.682226E+02,0.000000E+00,3.448614E-02,0.000000E+00,3.332925E+02,0.000000E+00,1.720168E-02,0.000000E+00,2.824006E+03,0.000000E+00,1.457407E-01,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.914019E+02,0.000000E+00,2.536140E-02,0.000000E+00,7.334203E+02,0.000000E+00,3.785089E-02,0.000000E+00,3.966297E+02,0.000000E+00,2.047045E-02,0.000000E+00,2.864667E+03,0.000000E+00,1.478409E-01,0.000000E+00
01:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.305721E+02,0.000000E+00,2.738294E-02,0.000000E+00,7.684704E+02,0.000000E+00,3.965982E-02,0.000000E+00,4.378951E+02,0.000000E+00,2.260013E-02,0.000000E+00,2.911356E+03,0.000000E+00,1.502507E-01,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.720068E+02,0.000000E+00,2.952134E-02,0.000000E+00,8.049309E+02,0.000000E+00,4.154152E-02,0.000000E+00,4.811654E+02,0.000000E+00,2.483328E-02,0.000000E+00,2.960533E+03,0.000000E+00,1.527887E-01,0.000000E+00
01:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.166128E+02,0.000000E+00,3.182341E-02,0.000000E+00,8.422343E+02,0.000000E+00,4.346667E-02,0.000000E+00,5.272458E+02,0.000000E+00,2.721144E-02,0.000000E+00,3.010142E+03,0.000000E+00,1.553490E-01,0.000000E+00
02:00:00,1.416334E+01,0.000000E+00,7.313758E-04,0.000000E+00,6.616188E+02,0.000000E+00,3.414611E-02,0.000000E+00,8.800821E+02,0.000000E+00,4.541988E-02,0.000000E+00,5.749693E+02,0.000000E+00,2.967440E-02,0.000000E+00,3.060134E+03,0.000000E+00,1.579289E-01,0.000000E+00
02:15:00,4.761054E+01,0.000000E+00,2.457713E-03,0.000000E+00,7.084949E+02,0.000000E+00,3.656530E-02,0.000000E+00,9.193868E+02,0.000000E+00,4.744825E-02,0.000000E+00,6.246539E+02,0.000000E+00,3.223855E-02,0.000000E+00,3.120088E+03,0.000000E+00,1.610231E-01,0.000000E+00
02:30:00,9.937283E+01,0.000000E+00,5.129328E-03,0.000000E+00,7.569899E+02,0.000000E+00,3.906802E-02,0.000000E+00,9.599216E+02,0.000000E+00,4.954007E-02,0.000000E+00,6.761201E+02,0.000000E+00,3.489463E-02,0.000000E+00,3.189855E+03,0.000000E+00,1.646235E-01,0.000000E+00
02:45:00,1.689252E+02,0.000000E+00,8.719109E-03,0.000000E+00,8.069191E+02,0.000000E+00,4.164472E-02,0.000000E+00,1.001599E+03,0.000000E+00,5.169078E-02,0.000000E+00,7.291856E+02,0.000000E+00,3.763322E-02,0.000000E+00,3.269321E+03,0.000000E+00,1.687243E-01,0.000000E+00
03:00:00,2.417442E+02,0.000000E+00,1.247708E-02,0.000000E+00,8.581118E+02,0.000000E+00,4.428659E-02,0.000000E+00,1.044346E+03,0.000000E+00,5.389660E-02,0.000000E+00,7.836995E+02,0.000000E+00,4.044652E-02,0.000000E+00,3.358411E+03,0.000000E+00,1.733215E-01,0.000000E+00
03:15:00,3.102295E+02,0.000000E+00,1.601164E-02,0.000000E+00,9.065763E+02,0.000000E+00,4.678758E-02,0.000000E+00,1.084177E+03,0.000000E+00,5.595183E-02,0.000000E+00,8.355048E+02,0.000000E+00,4.311997E-02,0.000000E+00,3.444687E+03,0.000000E+00,1.777731E-01,0.000000E+00
