Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.100227E+02,0.000000E+00,4.696251E-02,0.000000E+00,1.433497E+03,0.000000E+00,7.397430E-02,0.000000E+00,1.638753E+03,0.000000E+00,8.456682E-02,0.000000E+00,1.334540E+03,0.000000E+00,6.886690E-02,0.000000E+00,4.816398E+03,0.000000E+00,2.485070E-01,0.000000E+00
00:30:00,1.045441E+03,0.000000E+00,5.394927E-02,0.000000E+00,1.565184E+03,0.000000E+00,8.076838E-02,0.000000E+00,1.769670E+03,0.000000E+00,9.132100E-02,0.000000E+00,1.464324E+03,0.000000E+00,7.556299E-02,0.000000E+00,5.107791E+03,0.000000E+00,2.635258E-01,0.000000E+00
00:45:00,1.179402E+03,0.000000E+00,6.086068E-02,0.000000E+00,1.697004E+03,0.000000E+00,8.756933E-02,0.000000E+00,1.900344E+03,0.000000E+00,9.806269E-02,0.000000E+00,1.594753E+03,0.000000E+00,8.229234E-02,0.000000E+00,5.392275E+03,0.000000E+00,2.781858E-01,0.000000E+00
01:00:00,1.311596E+03,0.000000E+00,6.768078E-02,0.000000E+00,1.828769E+03,0.000000E+00,9.436745E-02,0.000000E+00,2.030641E+03,0.000000E+00,1.047848E-01,0.000000E+00,1.725515E+03,0.000000E+00,8.903879E-02,0.000000E+00,5.667738E+03,0.000000E+00,2.923767E-01,0.000000E+00
01:15:00,1.368932E+03,0.000000E+00,7.063899E-02,0.000000E+00,1.886326E+03,0.000000E+00,9.733749E-02,0.000000E+00,2.086578E+03,0.000000E+00,1.076712E-01,0.000000E+00,1.783514E+03,0.000000E+00,9.203168E-02,0.000000E+00,5.751117E+03,0.000000E+00,2.966578E-01,0.000000E+00
01:30:00,1.424329E+03,0.000000E+00,7.349684E-02,0.000000E+00,1.944118E+03,0.000000E+00,1.003195E-01,0.000000E+00,2.142654E+03,0.000000E+00,1.105647E-01,0.000000E+00,1.841865E+03,0.000000E+00,9.504260E-02,0.000000E+00,5.836583E+03,0.000000E+00,3.010545E-01,0.000000E+00
01:45:00,1.478982E+03,0.000000E+00,7.631584E-02,0.000000E+00,2.002074E+03,0.000000E+00,1.033099E-01,0.000000E+00,2.198810E+03,0.000000E+00,1.134621E-01,0.000000E+00,1.900482E+03,0.000000E+00,9.806717E-02,0.000000E+00,5.924570E+03,0.000000E+00,3.055893E-01,0.000000E+00
02:00:00,1.534009E+03,0.000000E+00,7.915441E-02,0.000000E+00,2.060123E+03,0.000000E+00,1.063051E-01,0.000000E+00,2.254985E+03,0.000000E+00,1.163605E-01,0.000000E+00,1.959280E+03,0.000000E+00,1.011010E-01,0.000000E+00,6.017071E+03,0.000000E+00,3.103642E-01,0.000000E+00
02:15:00,1.590259E+03,0.000000E+00,8.205650E-02,0.000000E+00,2.118401E+03,0.000000E+00,1.093120E-01,0.000000E+00,2.311321E+03,0.000000E+00,1.192673E-01,0.000000E+00,2.018378E+03,0.000000E+00,1.041504E-01,0.000000E+00,6.110590E+03,0.000000E+00,3.152058E-01,0.000000E+00
02:30:00,1.648869E+03,0.000000E+00,8.508072E-02,0.000000E+00,2.176767E+03,0.000000E+00,1.123236E-01,0.000000E+00,2.367695E+03,0.000000E+00,1.221760E-01,0.000000E+00,2.077627E+03,0.000000E+00,1.072075E-01,0.000000E+00,6.204691E+03,0.000000E+00,3.200720E-01,0.000000E+00
