Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.203615E+03,0.000000E+00,1.137164E-01,0.000000E+00,2.673267E+03,0.000000E+00,1.379527E-01,0.000000E+00,2.876068E+03,0.000000E+00,1.484181E-01,0.000000E+00,2.611309E+03,0.000000E+00,1.347554E-01,0.000000E+00,6.890777E+03,0.000000E+00,3.555674E-01,0.000000E+00
00:30:00,2.326127E+03,0.000000E+00,1.200364E-01,0.000000E+00,2.790393E+03,0.000000E+00,1.439944E-01,0.000000E+00,2.989405E+03,0.000000E+00,1.542641E-01,0.000000E+00,2.728743E+03,0.000000E+00,1.408131E-01,0.000000E+00,7.174108E+03,0.000000E+00,3.701778E-01,0.000000E+00
00:45:00,2.447706E+03,0.000000E+00,1.263082E-01,0.000000E+00,2.906626E+03,0.000000E+00,1.499901E-01,0.000000E+00,3.101861E+03,0.000000E+00,1.600647E-01,0.000000E+00,2.845305E+03,0.000000E+00,1.468257E-01,0.000000E+00,7.451835E+03,0.000000E+00,3.844989E-01,0.000000E+00
01:00:00,2.568279E+03,0.000000E+00,1.325281E-01,0.000000E+00,3.021903E+03,0.000000E+00,1.559364E-01,0.000000E+00,3.213369E+03,0.000000E+00,1.658163E-01,0.000000E+00,2.960928E+03,0.000000E+00,1.527899E-01,0.000000E+00,7.723898E+03,0.000000E+00,3.985275E-01,0.000000E+00
01:15:00,2.616084E+03,0.000000E+00,1.349948E-01,0.000000E+00,3.064969E+03,0.000000E+00,1.581585E-01,0.000000E+00,3.253722E+03,0.000000E+00,1.678984E-01,0.000000E+00,3.004690E+03,0.000000E+00,1.550480E-01,0.000000E+00,7.801200E+03,0.000000E+00,4.025147E-01,0.000000E+00
01:30:00,2.663729E+03,0.000000E+00,1.374530E-01,0.000000E+00,3.107944E+03,0.000000E+00,1.603757E-01,0.000000E+00,3.294001E+03,0.000000E+00,1.699763E-01,0.000000E+00,3.048381E+03,0.000000E+00,1.573021E-01,0.000000E+00,7.878815E+03,0.000000E+00,4.065169E-01,0.000000E+00
01:45:00,2.711185E+03,0.000000E+00,1.399014E-01,0.000000E+00,3.150811E+03,0.000000E+00,1.625872E-01,0.000000E+00,3.334179E+03,0.000000E+00,1.720490E-01,0.000000E+00,3.091977E+03,0.000000E+00,1.595513E-01,0.000000E+00,7.956723E+03,0.000000E+00,4.105343E-01,0.000000E+00
02:00:00,2.758416E+03,0.000000E+00,1.423381E-01,0.000000E+00,3.193540E+03,0.000000E+00,1.647916E-01,0.000000E+00,3.374211E+03,0.000000E+00,1.741141E-01,0.000000E+00,3.135447E+03,0.000000E+00,1.617939E-01,0.000000E+00,8.034869E+03,0.000000E+00,4.145644E-01,0.000000E+00
02:15:00,2.805591E+03,0.000000E+00,1.447720E-01,0.000000E+00,3.236313E+03,0.000000E+00,1.669983E-01,0.000000E+00,3.414220E+03,0.000000E+00,1.761780E-01,0.000000E+00,3.178970E+03,0.000000E+00,1.640393E-01,0.000000E+00,8.113185E+03,0.000000E+00,4.186037E-01,0.000000E+00
02:30:00,2.852682E+03,0.000000E+00,1.472017E-01,0.000000E+00,3.279111E+03,0.000000E+00,1.692065E-01,0.000000E+00,3.454267E+03,0.000000E+00,1.782440E-01,0.000000E+00,3.222525E+03,0.000000E+00,1.662866E-01,0.000000E+00,8.191624E+03,0.000000E+00,4.226500E-01,0.000000E+00
02:45:00,2.899657E+03,0.000000E+00,1.496254E-01,0.000000E+00,3.321914E+03,0.000000E+00,1.714149E-01,0.000000E+00,3.494352E+03,0.000000E+00,1.803121E-01,0.000000E+00,3.266091E+03,0.000000E+00,1.685344E-01,0.000000E+00,8.270137E+03,0.000000E+00,4.267003E-01,0.000000E+00
03:00:00,2.946484E+03,0.000000E+00,1.520415E-01,0.000000E+00,3.364703E+03,0.000000E+00,1.736227E-01,0.000000E+00,3.534492E+03,0.000000E+00,1.823830E-01,0.000000E+00,3.309648E+03,0.000000E+00,1.707818E-01,0.000000E+00,8.348695E+03,0.000000E+00,4.307529E-01,0.000000E+00
03:15:00,2.993017E+03,0.000000E+00,1.544424E-01,0.000000E+00,3.407357E+03,0.000000E+00,1.758235E-01,0.000000E+00,3.574637E+03,0.000000E+00,1.844544E-01,0.000000E+00,3.353074E+03,0.000000E+00,1.730225E-01,0.000000E+00,8.427262E+03,0.000000E+00,4.348059E-01,0.000000E+00
03:30:00,3.039196E+03,0.000000E+00,1.568250E-01,0.000000E+00,3.449859E+03,0.000000E+00,1.780164E-01,0.000000E+00,3.614715E+03,0.000000E+00,1.865224E-01,0.000000E+00,3.396355E+03,0.000000E+00,1.752556E-01,0.000000E+00,8.505824E+03,0.000000E+00,4.388587E-01,0.000000E+00
03:45:00,3.084959E+03,0.000000E+00,1.591861E-01,0.000000E+00,3.492197E+03,0.000000E+00,1.802008E-01,0.000000E+00,3.654719E+03,0.000000E+00,1.885866E-01,0.000000E+00,3.439481E+03,0.000000E+00,1.774807E-01,0.000000E+00,8.584369E+03,0.000000E+00,4.429101E-01,0.000000E+00
04:00:00,3.130546E+03,0.000000E+00,1.615379E-01,0.000000E+00,3.534357E+03,0.000000E+00,1.823759E-01,0.000000E+00,3.694647E+03,0.000000E+00,1.906466E-01,0.000000E+00,3.482447E+03,0.000000E+00,1.796974E-01,0.000000E+00,8.662896E+03,0.000000E+00,4.469601E-01,0.000000E+00
04:15:00,3.176030E+03,0.000000E+00,1.638844E-01,0.000000E+00,3.576303E+03,0.000000E+00,1.845397E-01,0.000000E+00,3.734501E+03,0.000000E+00,1.927027E-01,0.000000E+00,3.525248E+03,0.000000E+00,1.819054E-01,0.000000E+00,8.741429E+03,0.000000E+00,4.510097E-01,0.000000E+00
04:30:00,3.221516E+03,0.000000E+00,1.662309E-01,0.000000E+00,3.618027E+03,0.000000E+00,1.866918E-01,0.000000E+00,3.774280E+03,0.000000E+00,1.947547E-01,0.000000E+00,3.567874E+03,0.000000E+00,1.841042E-01,0.000000E+00,8.819968E+03,0.000000E+00,4.550590E-01,0.000000E+00
04:45:00,3.267111E+03,0.000000E+00,1.685830E-01,0.000000E+00,3.659604E+03,0.000000E+00,1.888362E-01,0.000000E+00,3.813984E+03,0.000000E+00,1.968027E-01,0.000000E+00,3.610299E+03,0.000000E+00,1.862926E-01,0.000000E+00,8.898521E+03,0.000000E+00,4.591090E-01,0.000000E+00
05:00:00,3.312629E+03,0.000000E+00,1.709313E-01,0.000000E+00,3.701062E+03,0.000000E+00,1.909746E-01,0.000000E+00,3.853611E+03,0.000000E+00,1.988468E-01,0.000000E+00,3.652461E+03,0.000000E+00,1.884672E-01,0.000000E+00,8.977084E+03,0.000000E+00,4.631597E-01,0.000000E+00
05:15:00,3.357983E+03,0.000000E+00,1.732710E-01,0.000000E+00,3.742378E+03,0.000000E+00,1.931057E-01,0.000000E+00,3.893079E+03,0.000000E+00,2.008827E-01,0.000000E+00,3.694376E+03,0.000000E+00,1.906291E-01,0.000000E+00,9.055255E+03,0.000000E+00,4.671902E-01,0.000000E+00
05:30:00,3.403156E+03,0.000000E+00,1.756015E-01,0.000000E+00,3.783578E+03,0.000000E+00,1.952310E-01,0.000000E+00,3.932386E+03,0.000000E+00,2.029103E-01,0.000000E+00,3.736070E+03,0.000000E+00,1.927796E-01,0.000000E+00,9.133023E+03,0.000000E+00,4.712002E-01,0.000000E+00
05:45:00,3.448138E+03,0.000000E+00,1.779220E-01,0.000000E+00,3.824606E+03,0.000000E+00,1.973476E-01,0.000000E+00,3.971527E+03,0.000000E+00,2.049294E-01,0.000000E+00,3.777583E+03,0.000000E+00,1.949209E-01,0.000000E+00,9.210376E+03,0.000000E+00,4.751887E-01,0.000000E+00
