Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,5.867340E+02,0.000000E+00,3.027980E-02,0.000000E+00,9.546241E+02,0.000000E+00,4.926084E-02,0.000000E+00,1.099214E+03,0.000000E+00,5.672314E-02,0.000000E+00,9.283853E+02,0.000000E+00,4.790666E-02,0.000000E+00,4.791463E+03,0.000000E+00,2.472040E-01,0.000000E+00
00:30:00,6.805045E+02,0.000000E+00,3.511812E-02,0.000000E+00,1.035203E+03,0.000000E+00,5.341755E-02,0.000000E+00,1.185245E+03,0.000000E+00,6.116143E-02,0.000000E+00,1.007312E+03,0.000000E+00,5.197773E-02,0.000000E+00,5.031324E+03,0.000000E+00,2.595644E-01,0.000000E+00
00:45:00,7.739611E+02,0.000000E+00,3.994017E-02,0.000000E+00,1.116315E+03,0.000000E+00,5.760190E-02,0.000000E+00,1.271390E+03,0.000000E+00,6.560560E-02,0.000000E+00,1.086339E+03,0.000000E+00,5.605415E-02,0.000000E+00,5.264879E+03,0.000000E+00,2.715984E-01,0.000000E+00
01:00:00,8.669923E+02,0.000000E+00,4.474017E-02,0.000000E+00,1.198196E+03,0.000000E+00,6.182607E-02,0.000000E+00,1.357523E+03,0.000000E+00,7.004913E-02,0.000000E+00,1.165507E+03,0.000000E+00,6.013796E-02,0.000000E+00,5.492017E+03,0.000000E+00,2.833002E-01,0.000000E+00
01:15:00,9.067318E+02,0.000000E+00,4.679057E-02,0.000000E+00,1.233077E+03,0.000000E+00,6.362610E-02,0.000000E+00,1.393363E+03,0.000000E+00,7.189849E-02,0.000000E+00,1.199432E+03,0.000000E+00,6.188901E-02,0.000000E+00,5.548433E+03,0.000000E+00,2.862052E-01,0.000000E+00
01:30:00,9.465515E+02,0.000000E+00,4.884501E-02,0.000000E+00,1.268605E+03,0.000000E+00,6.545932E-02,0.000000E+00,1.429624E+03,0.000000E+00,7.376944E-02,0.000000E+00,1.234117E+03,0.000000E+00,6.367892E-02,0.000000E+00,5.605048E+03,0.000000E+00,2.891186E-01,0.000000E+00
01:45:00,9.863412E+02,0.000000E+00,5.089782E-02,0.000000E+00,1.304741E+03,0.000000E+00,6.732389E-02,0.000000E+00,1.466251E+03,0.000000E+00,7.565923E-02,0.000000E+00,1.269487E+03,0.000000E+00,6.550405E-02,0.000000E+00,5.661785E+03,0.000000E+00,2.920381E-01,0.000000E+00
02:00:00,1.025979E+03,0.000000E+00,5.294274E-02,0.000000E+00,1.341412E+03,0.000000E+00,6.921606E-02,0.000000E+00,1.503191E+03,0.000000E+00,7.756510E-02,0.000000E+00,1.305487E+03,0.000000E+00,6.736164E-02,0.000000E+00,5.718515E+03,0.000000E+00,2.949569E-01,0.000000E+00
02:15:00,1.065382E+03,0.000000E+00,5.497544E-02,0.000000E+00,1.378580E+03,0.000000E+00,7.113386E-02,0.000000E+00,1.540463E+03,0.000000E+00,7.948816E-02,0.000000E+00,1.342130E+03,0.000000E+00,6.925245E-02,0.000000E+00,5.775098E+03,0.000000E+00,2.978677E-01,0.000000E+00
02:30:00,1.104564E+03,0.000000E+00,5.699673E-02,0.000000E+00,1.416182E+03,0.000000E+00,7.307411E-02,0.000000E+00,1.578021E+03,0.000000E+00,8.142604E-02,0.000000E+00,1.379289E+03,0.000000E+00,7.116991E-02,0.000000E+00,5.831378E+03,0.000000E+00,3.007618E-01,0.000000E+00
