,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,516.84,0.00,882.13,0.00,60.93,0.00,790.74,0.00,0.00,0.00,0.00,0.00,0.00
February,470.08,0.00,787.24,0.00,17.17,0.00,169.50,49.20,0.00,0.00,0.00,0.00,0.00
March,539.29,0.00,886.80,0.00,40.94,0.00,23.98,554.45,0.00,0.00,0.00,0.00,0.00
April,472.26,0.00,818.13,0.00,112.14,0.00,0.00,1697.84,0.00,0.00,0.00,0.00,0.00
May,539.29,0.00,886.80,0.00,187.60,0.00,0.00,2921.06,0.00,0.00,0.00,0.00,0.00
June,516.22,0.00,853.61,0.00,200.95,0.00,0.00,3115.80,0.00,0.00,0.00,0.00,0.00
July,495.33,0.00,851.32,0.00,158.16,0.00,0.00,2344.69,0.00,0.00,0.00,0.00,0.00
August,539.29,0.00,886.80,0.00,158.04,0.00,0.00,2321.85,0.00,0.00,0.00,0.00,0.00
September,494.71,0.00,822.81,0.00,143.90,0.00,0.00,2125.33,0.00,0.00,0.00,0.00,0.00
October,516.84,0.00,882.13,0.00,72.19,0.00,0.00,1035.12,0.00,0.00,0.00,0.00,0.00
November,516.22,0.00,853.61,0.00,15.57,0.00,37.76,178.69,0.00,0.00,0.00,0.00,0.00
December,495.33,0.00,851.32,0.00,42.15,0.00,560.62,0.85,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,6111.70,,10262.69,,1209.74,,1582.60,16344.89,,,,,
Minimum of Months,470.08,0.00,787.24,0.00,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,539.29,0.00,886.80,0.00,200.95,0.00,790.74,3115.80,0.00,0.00,0.00,0.00,0.00
