Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.532037E+03,0.000000E+00,7.905910E-02,0.000000E+00,1.862807E+03,0.000000E+00,9.612823E-02,0.000000E+00,2.034007E+03,0.000000E+00,1.049630E-01,0.000000E+00,1.835259E+03,0.000000E+00,9.470663E-02,0.000000E+00,5.683644E+03,0.000000E+00,2.932662E-01,0.000000E+00
00:30:00,1.614363E+03,0.000000E+00,8.330581E-02,0.000000E+00,1.943696E+03,0.000000E+00,1.003005E-01,0.000000E+00,2.112954E+03,0.000000E+00,1.090349E-01,0.000000E+00,1.915218E+03,0.000000E+00,9.883095E-02,0.000000E+00,5.921232E+03,0.000000E+00,3.055158E-01,0.000000E+00
00:45:00,1.696060E+03,0.000000E+00,8.752002E-02,0.000000E+00,2.023934E+03,0.000000E+00,1.044393E-01,0.000000E+00,2.191252E+03,0.000000E+00,1.130734E-01,0.000000E+00,1.994570E+03,0.000000E+00,1.029240E-01,0.000000E+00,6.152335E+03,0.000000E+00,3.174306E-01,0.000000E+00
01:00:00,1.777086E+03,0.000000E+00,9.169957E-02,0.000000E+00,2.103489E+03,0.000000E+00,1.085427E-01,0.000000E+00,2.268867E+03,0.000000E+00,1.170766E-01,0.000000E+00,2.073277E+03,0.000000E+00,1.069837E-01,0.000000E+00,6.376926E+03,0.000000E+00,3.290091E-01,0.000000E+00
01:15:00,1.807579E+03,0.000000E+00,9.327289E-02,0.000000E+00,2.132276E+03,0.000000E+00,1.100280E-01,0.000000E+00,2.296297E+03,0.000000E+00,1.184919E-01,0.000000E+00,2.101901E+03,0.000000E+00,1.084605E-01,0.000000E+00,6.429956E+03,0.000000E+00,3.317436E-01,0.000000E+00
01:30:00,1.838213E+03,0.000000E+00,9.485333E-02,0.000000E+00,2.161200E+03,0.000000E+00,1.115202E-01,0.000000E+00,2.323869E+03,0.000000E+00,1.199142E-01,0.000000E+00,2.130697E+03,0.000000E+00,1.099461E-01,0.000000E+00,6.483188E+03,0.000000E+00,3.344874E-01,0.000000E+00
01:45:00,1.868962E+03,0.000000E+00,9.643962E-02,0.000000E+00,2.190241E+03,0.000000E+00,1.130183E-01,0.000000E+00,2.351563E+03,0.000000E+00,1.213428E-01,0.000000E+00,2.159644E+03,0.000000E+00,1.114394E-01,0.000000E+00,6.536635E+03,0.000000E+00,3.372426E-01,0.000000E+00
02:00:00,1.899794E+03,0.000000E+00,9.803024E-02,0.000000E+00,2.219374E+03,0.000000E+00,1.145212E-01,0.000000E+00,2.379353E+03,0.000000E+00,1.227764E-01,0.000000E+00,2.188712E+03,0.000000E+00,1.129390E-01,0.000000E+00,6.590272E+03,0.000000E+00,3.400080E-01,0.000000E+00
02:15:00,1.930754E+03,0.000000E+00,9.962748E-02,0.000000E+00,2.248650E+03,0.000000E+00,1.160315E-01,0.000000E+00,2.407290E+03,0.000000E+00,1.242177E-01,0.000000E+00,2.217948E+03,0.000000E+00,1.144473E-01,0.000000E+00,6.644060E+03,0.000000E+00,3.427818E-01,0.000000E+00
02:30:00,1.961814E+03,0.000000E+00,1.012299E-01,0.000000E+00,2.278045E+03,0.000000E+00,1.175482E-01,0.000000E+00,2.435350E+03,0.000000E+00,1.256654E-01,0.000000E+00,2.247327E+03,0.000000E+00,1.159630E-01,0.000000E+00,6.697978E+03,0.000000E+00,3.455629E-01,0.000000E+00
02:45:00,1.992946E+03,0.000000E+00,1.028362E-01,0.000000E+00,2.307539E+03,0.000000E+00,1.190699E-01,0.000000E+00,2.463512E+03,0.000000E+00,1.271184E-01,0.000000E+00,2.276826E+03,0.000000E+00,1.174850E-01,0.000000E+00,6.751999E+03,0.000000E+00,3.483493E-01,0.000000E+00
03:00:00,2.024127E+03,0.000000E+00,1.044449E-01,0.000000E+00,2.337114E+03,0.000000E+00,1.205958E-01,0.000000E+00,2.491757E+03,0.000000E+00,1.285757E-01,0.000000E+00,2.306422E+03,0.000000E+00,1.190121E-01,0.000000E+00,6.806111E+03,0.000000E+00,3.511404E-01,0.000000E+00
03:15:00,2.055296E+03,0.000000E+00,1.060531E-01,0.000000E+00,2.366712E+03,0.000000E+00,1.221230E-01,0.000000E+00,2.520029E+03,0.000000E+00,1.300344E-01,0.000000E+00,2.336060E+03,0.000000E+00,1.205412E-01,0.000000E+00,6.860288E+03,0.000000E+00,3.539348E-01,0.000000E+00
03:30:00,2.086434E+03,0.000000E+00,1.076596E-01,0.000000E+00,2.396322E+03,0.000000E+00,1.236507E-01,0.000000E+00,2.548315E+03,0.000000E+00,1.314938E-01,0.000000E+00,2.365724E+03,0.000000E+00,1.220718E-01,0.000000E+00,6.914522E+03,0.000000E+00,3.567323E-01,0.000000E+00
03:45:00,2.117526E+03,0.000000E+00,1.092638E-01,0.000000E+00,2.425936E+03,0.000000E+00,1.251786E-01,0.000000E+00,2.576607E+03,0.000000E+00,1.329535E-01,0.000000E+00,2.395404E+03,0.000000E+00,1.236031E-01,0.000000E+00,6.968801E+03,0.000000E+00,3.595314E-01,0.000000E+00
04:00:00,2.148558E+03,0.000000E+00,1.108647E-01,0.000000E+00,2.455547E+03,0.000000E+00,1.267063E-01,0.000000E+00,2.604900E+03,0.000000E+00,1.344131E-01,0.000000E+00,2.425095E+03,0.000000E+00,1.251349E-01,0.000000E+00,7.023123E+03,0.000000E+00,3.623323E-01,0.000000E+00
04:15:00,2.179520E+03,0.000000E+00,1.124619E-01,0.000000E+00,2.485157E+03,0.000000E+00,1.282338E-01,0.000000E+00,2.633193E+03,0.000000E+00,1.358726E-01,0.000000E+00,2.454794E+03,0.000000E+00,1.266670E-01,0.000000E+00,7.077511E+03,0.000000E+00,3.651360E-01,0.000000E+00
04:30:00,2.210396E+03,0.000000E+00,1.140545E-01,0.000000E+00,2.514761E+03,0.000000E+00,1.297608E-01,0.000000E+00,2.661484E+03,0.000000E+00,1.373319E-01,0.000000E+00,2.484498E+03,0.000000E+00,1.281992E-01,0.000000E+00,7.131963E+03,0.000000E+00,3.679424E-01,0.000000E+00
04:45:00,2.241163E+03,0.000000E+00,1.156415E-01,0.000000E+00,2.544359E+03,0.000000E+00,1.312875E-01,0.000000E+00,2.689770E+03,0.000000E+00,1.387909E-01,0.000000E+00,2.514204E+03,0.000000E+00,1.297315E-01,0.000000E+00,7.186491E+03,0.000000E+00,3.707528E-01,0.000000E+00
05:00:00,2.271779E+03,0.000000E+00,1.172207E-01,0.000000E+00,2.573948E+03,0.000000E+00,1.328137E-01,0.000000E+00,2.718050E+03,0.000000E+00,1.402495E-01,0.000000E+00,2.543909E+03,0.000000E+00,1.312637E-01,0.000000E+00,7.241090E+03,0.000000E+00,3.735670E-01,0.000000E+00
05:15:00,2.302075E+03,0.000000E+00,1.187832E-01,0.000000E+00,2.603452E+03,0.000000E+00,1.343356E-01,0.000000E+00,2.746247E+03,0.000000E+00,1.417039E-01,0.000000E+00,2.573537E+03,0.000000E+00,1.327919E-01,0.000000E+00,7.295360E+03,0.000000E+00,3.763643E-01,0.000000E+00
05:30:00,2.332294E+03,0.000000E+00,1.203418E-01,0.000000E+00,2.632867E+03,0.000000E+00,1.358528E-01,0.000000E+00,2.774359E+03,0.000000E+00,1.431539E-01,0.000000E+00,2.603082E+03,0.000000E+00,1.343159E-01,0.000000E+00,7.349292E+03,0.000000E+00,3.791444E-01,0.000000E+00
05:45:00,2.362482E+03,0.000000E+00,1.218989E-01,0.000000E+00,2.662189E+03,0.000000E+00,1.373654E-01,0.000000E+00,2.802380E+03,0.000000E+00,1.445992E-01,0.000000E+00,2.632541E+03,0.000000E+00,1.358355E-01,0.000000E+00,7.402877E+03,0.000000E+00,3.819066E-01,0.000000E+00
06:00:00,2.392715E+03,0.000000E+00,1.234584E-01,0.000000E+00,2.691415E+03,0.000000E+00,1.388729E-01,0.000000E+00,2.830308E+03,0.000000E+00,1.460398E-01,0.000000E+00,2.661909E+03,0.000000E+00,1.373504E-01,0.000000E+00,7.456106E+03,0.000000E+00,3.846506E-01,0.000000E+00
06:15:00,2.151193E+03,0.000000E+00,1.109962E-01,0.000000E+00,2.448593E+03,0.000000E+00,1.263433E-01,0.000000E+00,2.586195E+03,0.000000E+00,1.334435E-01,0.000000E+00,2.419235E+03,0.000000E+00,1.248284E-01,0.000000E+00,5.913327E+03,0.000000E+00,3.050596E-01,0.000000E+00
06:30:00,1.907433E+03,0.000000E+00,9.842081E-02,0.000000E+00,2.203438E+03,0.000000E+00,1.136956E-01,0.000000E+00,2.339755E+03,0.000000E+00,1.207295E-01,0.000000E+00,2.174234E+03,0.000000E+00,1.121887E-01,0.000000E+00,4.361584E+03,0.000000E+00,2.250131E-01,0.000000E+00
06:45:00,1.661340E+03,0.000000E+00,8.572617E-02,0.000000E+00,1.955864E+03,0.000000E+00,1.009247E-01,0.000000E+00,2.090908E+03,0.000000E+00,1.078931E-01,0.000000E+00,1.926817E+03,0.000000E+00,9.942582E-02,0.000000E+00,2.799946E+03,0.000000E+00,1.444573E-01,0.000000E+00
07:00:00,1.412871E+03,0.000000E+00,7.290980E-02,0.000000E+00,1.705828E+03,0.000000E+00,8.802790E-02,0.000000E+00,1.839607E+03,0.000000E+00,9.493148E-02,0.000000E+00,1.676944E+03,0.000000E+00,8.653735E-02,0.000000E+00,1.228546E+03,0.000000E+00,6.339883E-02,0.000000E+00
07:15:00,1.433950E+03,0.000000E+00,7.400204E-02,0.000000E+00,1.725269E+03,0.000000E+00,8.903653E-02,0.000000E+00,1.857789E+03,0.000000E+00,9.587559E-02,0.000000E+00,1.696552E+03,0.000000E+00,8.755450E-02,0.000000E+00,1.243416E+03,0.000000E+00,6.417366E-02,0.000000E+00
07:30:00,1.453150E+03,0.000000E+00,7.499568E-02,0.000000E+00,1.742156E+03,0.000000E+00,8.991177E-02,0.000000E+00,1.874649E+03,0.000000E+00,9.674997E-02,0.000000E+00,1.714808E+03,0.000000E+00,8.850033E-02,0.000000E+00,1.257386E+03,0.000000E+00,6.489604E-02,0.000000E+00
07:45:00,1.465181E+03,0.000000E+00,7.561867E-02,0.000000E+00,1.747750E+03,0.000000E+00,9.020307E-02,0.000000E+00,1.889629E+03,0.000000E+00,9.752599E-02,0.000000E+00,1.731165E+03,0.000000E+00,8.934703E-02,0.000000E+00,1.271303E+03,0.000000E+00,6.561513E-02,0.000000E+00
08:00:00,1.467732E+03,0.000000E+00,7.575182E-02,0.000000E+00,1.741047E+03,0.000000E+00,8.985894E-02,0.000000E+00,1.902024E+03,0.000000E+00,9.816765E-02,0.000000E+00,1.744952E+03,0.000000E+00,9.006043E-02,0.000000E+00,1.284615E+03,0.000000E+00,6.630283E-02,0.000000E+00
08:15:00,1.460228E+03,1.604120E+03,7.536560E-02,1.171527E-01,1.721725E+03,1.705846E+03,8.886291E-02,1.229292E-01,1.911383E+03,1.628264E+03,9.865200E-02,1.185726E-01,1.755853E+03,1.699938E+03,9.062428E-02,1.223178E-01,1.297080E+03,2.589311E+03,6.694665E-02,2.149146E-01
08:30:00,1.443379E+03,3.674214E+03,7.449683E-02,3.181518E-01,1.691427E+03,3.964679E+03,8.729994E-02,3.417817E-01,1.918371E+03,3.733037E+03,9.901354E-02,3.228405E-01,1.764637E+03,3.893241E+03,9.107847E-02,3.348220E-01,1.308854E+03,6.290213E+03,6.755468E-02,5.743732E-01
08:45:00,1.421230E+03,5.477598E+03,7.335424E-02,4.944453E-01,1.659092E+03,5.938765E+03,8.563159E-02,5.345646E-01,1.923922E+03,5.562651E+03,9.930059E-02,5.016586E-01,1.772195E+03,5.802758E+03,9.146918E-02,5.213115E-01,1.319969E+03,9.500579E+03,6.812857E-02,8.882590E-01
09:00:00,1.395966E+03,7.179586E+03,7.205064E-02,6.610836E-01,1.627121E+03,7.810306E+03,8.398184E-02,7.177230E-01,1.928881E+03,7.285084E+03,9.955694E-02,6.702836E-01,1.779239E+03,7.605994E+03,9.183316E-02,6.977931E-01,1.330567E+03,1.252302E+04,6.867575E-02,1.184248E+00
09:15:00,1.363550E+03,7.201920E+03,7.037786E-02,7.032624E-01,1.592194E+03,7.899407E+03,8.217935E-02,7.705997E-01,1.929978E+03,7.298256E+03,9.961381E-02,7.125046E-01,1.782241E+03,7.631188E+03,9.198837E-02,7.444474E-01,1.340506E+03,1.280403E+04,6.918885E-02,1.250536E+00
09:30:00,1.324140E+03,6.702477E+03,6.834396E-02,6.561596E-01,1.555394E+03,7.378741E+03,8.028007E-02,7.220444E-01,1.927354E+03,6.774669E+03,9.947852E-02,6.631631E-01,1.781186E+03,7.105621E+03,9.193411E-02,6.953421E-01,1.349271E+03,1.185485E+04,6.964135E-02,1.160688E+00
09:45:00,1.281555E+03,6.426075E+03,6.614608E-02,6.294944E-01,1.520575E+03,7.097104E+03,7.848305E-02,6.950988E-01,1.920523E+03,6.479863E+03,9.912605E-02,6.347394E-01,1.775563E+03,6.819297E+03,9.164398E-02,6.679049E-01,1.356404E+03,1.129928E+04,7.000958E-02,1.106922E+00
10:00:00,1.236395E+03,6.217160E+03,6.381530E-02,6.091658E-01,1.487789E+03,6.880284E+03,7.679090E-02,6.740880E-01,1.908883E+03,6.256049E+03,9.852534E-02,6.129674E-01,1.764797E+03,6.603604E+03,9.108837E-02,6.469886E-01,1.361640E+03,1.085022E+04,7.027985E-02,1.063076E+00
10:15:00,1.193243E+03,6.057248E+03,6.158812E-02,5.935456E-01,1.461204E+03,6.708248E+03,7.541875E-02,6.573152E-01,1.895267E+03,6.083721E+03,9.782257E-02,5.961363E-01,1.751786E+03,6.436590E+03,9.041690E-02,6.307010E-01,1.364771E+03,1.048328E+04,7.044145E-02,1.027159E+00
10:30:00,1.151878E+03,5.932346E+03,5.945311E-02,5.813240E-01,1.439991E+03,6.565121E+03,7.432388E-02,6.433211E-01,1.879429E+03,5.947280E+03,9.700513E-02,5.827860E-01,1.736339E+03,6.302126E+03,8.961967E-02,6.175528E-01,1.365610E+03,1.017342E+04,7.048479E-02,9.968067E-01
10:45:00,1.110393E+03,5.833998E+03,5.731194E-02,5.716933E-01,1.420591E+03,6.443460E+03,7.332259E-02,6.314109E-01,1.860904E+03,5.836151E+03,9.604903E-02,5.719036E-01,1.718043E+03,6.190726E+03,8.867534E-02,6.066469E-01,1.363961E+03,9.906058E+03,7.039971E-02,9.706120E-01
11:00:00,1.068032E+03,5.755057E+03,5.512554E-02,5.639604E-01,1.401052E+03,6.337824E+03,7.231411E-02,6.210640E-01,1.839363E+03,5.742672E+03,9.493721E-02,5.627464E-01,1.696634E+03,6.095939E+03,8.757036E-02,5.973626E-01,1.359632E+03,9.670258E+03,7.017627E-02,9.475088E-01
11:15:00,1.025097E+03,5.690291E+03,5.290949E-02,5.576152E-01,1.380454E+03,6.243435E+03,7.125097E-02,6.118165E-01,1.814399E+03,5.662481E+03,9.364870E-02,5.548897E-01,1.671979E+03,6.013612E+03,8.629782E-02,5.892969E-01,1.352483E+03,9.458358E+03,6.980729E-02,9.267469E-01
11:30:00,9.813369E+02,5.635111E+03,5.065087E-02,5.522087E-01,1.359551E+03,6.154309E+03,7.017212E-02,6.030839E-01,1.785886E+03,5.592215E+03,9.217705E-02,5.480049E-01,1.643775E+03,5.940804E+03,8.484208E-02,5.821633E-01,1.342449E+03,9.265042E+03,6.928939E-02,9.078057E-01
11:45:00,9.361068E+02,5.586891E+03,4.831637E-02,5.474840E-01,1.340435E+03,6.063434E+03,6.918544E-02,5.941794E-01,1.753733E+03,5.530073E+03,9.051750E-02,5.419160E-01,1.611903E+03,5.875254E+03,8.319704E-02,5.757405E-01,1.329532E+03,9.085398E+03,6.862271E-02,8.902042E-01
12:00:00,8.891261E+02,5.543824E+03,4.589150E-02,5.432641E-01,1.327067E+03,5.964991E+03,6.849547E-02,5.845331E-01,1.718156E+03,5.474859E+03,8.868122E-02,5.365059E-01,1.576466E+03,5.815578E+03,8.136801E-02,5.698931E-01,1.313802E+03,8.917326E+03,6.781082E-02,8.737365E-01
12:15:00,8.418457E+02,5.504025E+03,4.345117E-02,5.393644E-01,1.324116E+03,5.859062E+03,6.834313E-02,5.741531E-01,1.681808E+03,5.425116E+03,8.680513E-02,5.316318E-01,1.539901E+03,5.761193E+03,7.948072E-02,5.645641E-01,1.295397E+03,8.759128E+03,6.686085E-02,8.582362E-01
