Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.576872E+03,0.000000E+00,1.329758E-01,0.000000E+00,2.795388E+03,0.000000E+00,1.442527E-01,0.000000E+00,3.031086E+03,0.000000E+00,1.564156E-01,0.000000E+00,3.003504E+03,0.000000E+00,1.549919E-01,0.000000E+00,6.556834E+03,0.000000E+00,3.383285E-01,0.000000E+00
00:30:00,2.659623E+03,0.000000E+00,1.372435E-01,0.000000E+00,2.866611E+03,0.000000E+00,1.479255E-01,0.000000E+00,3.102032E+03,0.000000E+00,1.600738E-01,0.000000E+00,3.088019E+03,0.000000E+00,1.593503E-01,0.000000E+00,6.783876E+03,0.000000E+00,3.500340E-01,0.000000E+00
00:45:00,2.741360E+03,0.000000E+00,1.414589E-01,0.000000E+00,2.937104E+03,0.000000E+00,1.515605E-01,0.000000E+00,3.172217E+03,0.000000E+00,1.636928E-01,0.000000E+00,3.171527E+03,0.000000E+00,1.636568E-01,0.000000E+00,7.004436E+03,0.000000E+00,3.614047E-01,0.000000E+00
01:00:00,2.822024E+03,0.000000E+00,1.456187E-01,0.000000E+00,3.006828E+03,0.000000E+00,1.551559E-01,0.000000E+00,3.241596E+03,0.000000E+00,1.672701E-01,0.000000E+00,3.253975E+03,0.000000E+00,1.679085E-01,0.000000E+00,7.218485E+03,0.000000E+00,3.724392E-01,0.000000E+00
01:15:00,2.847437E+03,0.000000E+00,1.469299E-01,0.000000E+00,3.026612E+03,0.000000E+00,1.561766E-01,0.000000E+00,3.260152E+03,0.000000E+00,1.682273E-01,0.000000E+00,3.278267E+03,0.000000E+00,1.691618E-01,0.000000E+00,7.263872E+03,0.000000E+00,3.747793E-01,0.000000E+00
01:30:00,2.872811E+03,0.000000E+00,1.482386E-01,0.000000E+00,3.046564E+03,0.000000E+00,1.572056E-01,0.000000E+00,3.278865E+03,0.000000E+00,1.691924E-01,0.000000E+00,3.302615E+03,0.000000E+00,1.704175E-01,0.000000E+00,7.309482E+03,0.000000E+00,3.771298E-01,0.000000E+00
01:45:00,2.898017E+03,0.000000E+00,1.495386E-01,0.000000E+00,3.066655E+03,0.000000E+00,1.582418E-01,0.000000E+00,3.297715E+03,0.000000E+00,1.701644E-01,0.000000E+00,3.326987E+03,0.000000E+00,1.716745E-01,0.000000E+00,7.355328E+03,0.000000E+00,3.794928E-01,0.000000E+00
02:00:00,2.923245E+03,0.000000E+00,1.508396E-01,0.000000E+00,3.086867E+03,0.000000E+00,1.592842E-01,0.000000E+00,3.316681E+03,0.000000E+00,1.711425E-01,0.000000E+00,3.351365E+03,0.000000E+00,1.729318E-01,0.000000E+00,7.401384E+03,0.000000E+00,3.818671E-01,0.000000E+00
02:15:00,2.948656E+03,0.000000E+00,1.521504E-01,0.000000E+00,3.107285E+03,0.000000E+00,1.603374E-01,0.000000E+00,3.335863E+03,0.000000E+00,1.721319E-01,0.000000E+00,3.375912E+03,0.000000E+00,1.741980E-01,0.000000E+00,7.447615E+03,0.000000E+00,3.842510E-01,0.000000E+00
02:30:00,2.974304E+03,0.000000E+00,1.534736E-01,0.000000E+00,3.127893E+03,0.000000E+00,1.614005E-01,0.000000E+00,3.355249E+03,0.000000E+00,1.731319E-01,0.000000E+00,3.400619E+03,0.000000E+00,1.754725E-01,0.000000E+00,7.494002E+03,0.000000E+00,3.866435E-01,0.000000E+00
